company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,Certificates,,Other Certificates,supplier_url,exhibitor_url,Booth: 5B-B09   |   Electronics Components   |   ,Booth: 5B-C14   |   Printed Circuit Board & EMS   |   ,Booth: 5B-D01   |   Printed Circuit Board & EMS   |   ,Booth: 5B-C07   |   Electronics Components   |   ,Booth: 5B-C13   |   Electronics Components   |   ,Booth: 5B-D07   |   Printed Circuit Board & EMS   |   ,Booth: 5B-F05   |   Display Technology   |   ,Booth: 5B-B01   |   Electronics Components   |   ,Booth: 5B-A02   |   Electronics Components   |   
"China Zhenhua Electronics Group Co., LTD",Chinese Mainland,"China Zhenhua, a core subsidiary of China Electronics Corporation, has a registered capital of 2.473 billion yuan and total assets of 34.1 billion yuan. With 29 wholly-owned subsidiaries, it specializes in basic components, integrated circuits, electronic materials, and application development. It offers a complete range of basic components (including IGBT, SiC) and high-performance ICs (FPGA, analog, hybrid). The company has an annual production capacity of 200 billion units across nearly 100,000 specifications. In electronic materials, it mass-produces 76,000 tons of ultra-high nickel and sodium-ion battery cathodes yearly, with flexible capacity switching.",Manufacturer,"Logic Circuits, Resistor, Integrated Circuit ( IC ), Relay, Joystick, Microcontroller, Capacitor, Reed Switch, Inductor, Transistor, Logic Circuits, Resistor, Integrated Circuit ( IC ), Relay, Joystick, Microcontroller, Capacitor, Reed Switch, Inductor, Transistor","The firm offers basic components (IGBT, SiC) and high-performance ICs (FPGA, analog). It produces 20 billion units across 100k specs. It also mass-produces 76k tons of nickel and sodium-ion battery materials yearly with flexible capacity.","ODM, OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/China-Zhenhua-Electronics-Group-Co-LTD/1S00PERC9,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067V5Q?fairCode=electronicasia&locale=en,,,,,,,,,
"Fujian CNK Electronics Co., Ltd",Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fujian-CNK-Electronics-Co-Ltd/1S00OTJT2,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006806I?fairCode=electronicasia&locale=en,,,,,,,,,
Acoustic Dynamics Limited,Hong Kong    |    Factory in:  Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Acoustic-Dynamics-Limited/1X03SL81,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006673K?fairCode=electronicasia&locale=en,,,,,,,,,
Fai Wong Star Electronic Co Ltd,Hong Kong    |    Factory in:  Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/fai-wong-star-electronic-company-limited/1X06QWGW,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00667CT?fairCode=electronicasia&locale=en,,,,,,,,,
Hong Kong Lung Wah Company Limited,Hong Kong,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hong-Kong-Lung-Wah-Company-Limited/1S00OG02U,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0066785?fairCode=electronicasia&locale=en,,,,,,,,,
Changzhou Cre-sound Electronics Co Ltd,Chinese Mainland,,Manufacturer,"DDI & Other Network Technology Components Assemblies, Assemblies for Measurement Applications, Electronic Product Ceramic Part, DDI & Other Network Technology Components Assemblies, Assemblies for Measurement Applications, Electronic Product Ceramic Part","Cre-sound Electronic Co., is a professional manufacturer for the Buzzer, Speaker, Piezo element, was founded in 1996, have ISO9001,ISO14001,ISO13485,IATF16949 Certification and 6S management systems. All of the products are be RoHS complianced!",ODM,,www.cre-soundbuzzer.com,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2025,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Changzhou-Cre-sound-Electronics-Co-ltd/1S00P15A1,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006803R?fairCode=electronicasia&locale=en,,,,,,,,,
"Chengdu sinochips technology Co.,Ltd",Chinese Mainland    |    Factory in:  Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chengdu-sinochips-technology-Co-Ltd/1S00PF1TK,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0068JXQ?fairCode=electronicasia&locale=en,,,,,,,,,
"Chenzhou Haili Microelectronics Technology Co., Ltd.",Chinese Mainland    |    Factory in:  Chinese Mainland,"Chenzhou Haili Microelectronics Technology Co., Ltd;was founded in 2004, specializing the manufacturing and developing of liquid crystal display (LCD) ,LED backlight ,and liquid crystal display module (LCM), With a dedicated focus on LCD technology for 20 years, we provide a comprehensive range of displays including TN, HTN, STN, FSTN, DFSTN, VA,and other lcd panels and FOB ,COG, COB, TFT, and LED backlighting etc., with high quality and competitive price.Our factory covers an area of 20000 square meters, we have With over 400 professionally trained workers, and equipped with auto modern facilities, Haili has a remarkable production capacity of 800K-1, 000Kunits /yearly. Featuring a team of 60 skilled R&D professionals holding 45+ patents, we are recognized as National High-Tech Enterprise and provincial-level "" Little Giant"" enterprise in China .We also have passed ISO9001, ISO14001, IATF16949 and SGS .Our Products can be widely used in instrumentation, office equipments, industrial control, household appliances, weighing apparatus, telecommunications, medical treatment, military industry, bank display terminals, navigation and aerospace, automobiles central control, etc.Products are sold all over the country and Europe, the United States, Asia and other countries and regions.","Retailer, Manufacturer, Statutory Body, Wholesaler","Display Production Processing Material, Liquid Crystal Display (LCD)","Monochrome Lcd Display,COG Lcd Display,Led Backlight,Lcd Module,TFT Lcd Display,Segment LCD Display","OBM, OEM, Others, ODM",,www.haililcd.com,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2024,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chenzhou-Haili-Microelectronics-Technology-Co-Ltd-/1S00ON4JB,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067ZSP?fairCode=electronicasia&locale=en,,,,,,,,,
"Cixi Kefa Electronics Co., Ltd.",Chinese Mainland,,Exporter,"Assemblies for Measurement Applications, Assemblies for Measurement Applications, Assemblies for Measurement Applications, Assemblies for Measurement Applications",terminal block connector,OBM,,,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Autumn Edition) 2019 HKTDC Hong Kong Electronics Fair (Spring Edition) 2019 electronicAsia 2018 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Cixi-KEFA-Electronics-Co-Ltd-/1X03YYUC,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067ZVG?fairCode=electronicasia&locale=en,,,,,,,,,
"Focus Sensing and Control Technology Co.,LTD",Chinese Mainland,"Focus Sensing and Control Technology Co., LTDon the design, development, and manufacturing of thermal sensors and temperature sensor components. The company is located in the High tech Zone of Hefei City and was recognized as a national high-tech enterprise in 2020. It has independent patents and has passed ISO9001:2015certification. The company is committed to serving the diverse personalized product needs of users in the five major fields of automobiles, home furnishings, healthcare, industrial control, and the Internet of Things. Our main products include thermistors and temperature sensors with complete parameters and categories, mainly NTC, PTC, RTD, thermocouple thermistors, digital type, and other different temperature sensing types. In the field of new energy applications, the company's product performance meets the AECQ200 standard. The new energy vehicle powertrain battery pack, BMS, on-board charging system, charging station, charging gun, motor, cooling system, etc., as well as the car interior seats and steering wheel, all have a full series of standardized and customized products.",Manufacturer,"Industrial Testing Instrument & Equipment, Electronic Product Ceramic Part, Manufacturing & Industrial Engineering, Signal Influencing Components, Testing Instrument For Electrical / Electronic Product, Diode, Electronic Manufacturing Service, Electrical & Electronic Products Testing, Assemblies for Measurement Applications, Medical Analytical / Testing Instrument & Equipment, Industrial Testing Instrument & Equipment, Electronic Product Ceramic Part, Manufacturing & Industrial Engineering, Signal Influencing Components, Testing Instrument For Electrical / Electronic Product, Diode, Electronic Manufacturing Service, Electrical & Electronic Products Testing, Assemblies for Measurement Applications, Medical Analytical / Testing Instrument & Equipment","Our main products include thermistors and temperature sensors with complete parameters and categories, mainly NTC, PTC, RTD, thermocouple thermistors, digital type, and other different temperature sensing types.",ODM,,www.focusensing.com,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Focus-Sensing-and-Control-Technology-Co-LTD/1S00OWE3D,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067ZUJ?fairCode=electronicasia&locale=en,,,,,,,,,
"Guang Dong Sunran Electronic Technology Co., Ltd.",Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guang-Dong-Sunran-Electronic-Technology-Co-Ltd-/1S00PF3IF,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0068I2C?fairCode=electronicasia&locale=en,,,,,,,,,
"Guangzhou Chuangerli Electronics Co., Ltd",Chinese Mainland,,"Retailer, Manufacturer, Exporter","Reed Switch, Reed Switch, Reed Switch, Reed Switch",Membrane Silicone button switch Membrane panel Acrylic panel,"OBM, OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Chuangerli-Electronics-Co-Ltd/1S00PETE1,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067ZWD?fairCode=electronicasia&locale=en,,,,,,,,,
"GUANGZHOU HAINA IMP.&EXP.CO.,LTD",Chinese Mainland,,"Exporter, Wholesaler, Manufacturer",Printed Circuit Board (PCB),"Inverter Controller System,Household Controller System,Audio-Video Controller System",OBM,,,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/GUANGZHOU-HAINA-IMP-EXP-CO-LTD/1S00PEU4U,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0068I0I?fairCode=electronicasia&locale=en,,,,,,,,,
"JS Technology Co., Ltd.",Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/JS-Technology-Co-Ltd/1S00O64RN,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067ZQV?fairCode=electronicasia&locale=en,,,,,,,,,
"Jiangsu Zhongxinhua Electronic Technology Co., Ltd.",Chinese Mainland,,"Manufacturer, Exporter","Printed Circuit Board (PCB), Printed Circuit Board (PCB)",Focus on produce FR4 rigid PCB 2l and 4L,OEM,,,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 electronicAsia 2024 HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition),,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/JIANGSU-ZHONGXINHUA-ELECTRONIC-TECHNOLOGY-CO-LTD/1S00OI2B1,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006802U?fairCode=electronicasia&locale=en,,,,,,,,,
"Jiangxi Hechengda Technology Industrial Co.,Ltd",Chinese Mainland,"Jiangxi Hechengda Technology is a professional PCBA & SMT manufacturer offering one-stop services from component sourcing, PCB assembly, to final product testing. We specialize in custom R&D projects - from concept to fully functional product realization. Our products include PCBA, electronic components, cameras, projectors, and game consoles. Certified with ISO9001, we serve industrial control, medical, automotive, and IoT sectors with high quality and fast delivery.","Manufacturer, Exporter","LED Light Emitting Diode, Printed Circuit Board (PCB), Testing Instrument For Electrical / Electronic Product, System Integration & Development, Inductor, Microcontroller, Electronic Manufacturing Service, Capacitor, Assembly & Subsystem ( include PCB Assembly ), Integrated Circuit ( IC ), LED Light Emitting Diode, Printed Circuit Board (PCB), Testing Instrument For Electrical / Electronic Product, System Integration & Development, Inductor, Microcontroller, Electronic Manufacturing Service, Capacitor, Assembly & Subsystem ( include PCB Assembly ), Integrated Circuit ( IC )",PCBA & SMT assembly Electronic components Custom R&D from concept to final product Cameras Game consoles OEM/ODM services,"ODM, OEM",,www.hcdpcba.com,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangxi-Hechengda-Technology-Industrial-Co-Ltd/1S00PETIP,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00680A6?fairCode=electronicasia&locale=en,,,,,,,,,
"Ningbo Helishun Electron Co., Ltd.",Chinese Mainland    |    Factory in:  Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/NINGBO-HELISHUN-ELECTRON-CO-LTD/1S00ON2UG,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067ZTM?fairCode=electronicasia&locale=en,,,,,,,,,
Ningbo Xucheng Electronics Co Ltd,Chinese Mainland,,"Shopping Mall, Buying Cooperative, Distributor, Wholesaler, Buying Office, Importer, Manufacturer","Electrical Wire & Cable, Testing Instrument For Electrical / Electronic Product, Electrical Wire & Cable, Testing Instrument For Electrical / Electronic Product","Terminal blocks, wires and cables","OBM, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Xucheng-Electronics-Co-Ltd/1S00PC51S,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067ZPY?fairCode=electronicasia&locale=en,,,,,,,,,
"RH Circuits Technology (Shenzhen) Co., Ltd.",Chinese Mainland,,Exporter,"Electronic Manufacturing Service, Printed Circuit Board (PCB), Assembly & Subsystem ( include PCB Assembly ), Electronic Manufacturing Service, Printed Circuit Board (PCB), Assembly & Subsystem ( include PCB Assembly )","Copper-based PCB, Aluminum-based PCB, Ceramic PCB,High-Density Interconnect (HDI) PCB, High-Frequency PCB, High-Speed PCB, etc",OBM,,,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/RH-Circuits-Technology-Shenzhen-Co-Ltd-/1S00PETD4,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067ZRS?fairCode=electronicasia&locale=en,,,,,,,,,
"Sanwin (HONGKONG) electronic technology Co.,Ltd",Chinese Mainland,,"Distributor, Exporter, Wholesaler","Electrical Plug, Electronic Product Ceramic Part, BNC 50 Ω/ 75 Ω Coxial Connector, DDI & Other Network Technology Components Assemblies, Microcontroller, Inductor, Relay, Electronic Manufacturing Service, Capacitor, Semiconductor, Electrical Plug, Electronic Product Ceramic Part, BNC 50 Ω/ 75 Ω Coxial Connector, DDI & Other Network Technology Components Assemblies, Microcontroller, Inductor, Relay, Electronic Manufacturing Service, Capacitor, Semiconductor","switch,connector,jack","OBM, OEM",,www.sanwin.info,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sanwin-HONGKONG-Electronic-Technology-Co-Ltd/1S00PETHS,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0068099?fairCode=electronicasia&locale=en,,,,,,,,,
"Shenzhen Chengxing Electronic Technology Co., Ltd.",Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Chengxing-Electronic-Technology-Co-Ltd-/1S00P6AI8,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00680B3?fairCode=electronicasia&locale=en,,,,,,,,,
"Shenzhen Socay Electronics Co., Ltd.",Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Socay-Electronics-Co-Ltd-/1X09E9QJ,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00684NZ?fairCode=electronicasia&locale=en,,,,,,,,,
"Shenzhen Yccfan Technology Co., Ltd",Chinese Mainland,"YCCFAN was founded in 2011 and located in Shenzhen of China.Since we established, we are always focusing on the R&D,production and selling the cooling fans,and committed to becoming the top brand in Chinese cooling fan industry.Now,we have the independent plant with 300,000m2,1300 staffs,daily production capacity more than 250,000 pieces. We had built the complete product R&D and production system,such as:Reliability Laboratory,Noise Testing Room,Air Flow&Pressure Testing Chamber,Mold Manufacturing, Plastic Injection,Auto-Production and Auto-Inspection;meanwhile,we passed and manage company with the ISO9001,ISO14001and IATF16949. Our products passed UL/CUL/TUV/CE/SGS/CCC certificates,the size from 20mm to 250mm are wildly sold in China,Europe,U.S.A.,South Korea,Japan,Russia,Ukraine etc.,used for Power Supplier,Vehicle-mounted,Communication,Telecomm,Home Appliances,Medical Treatment etc.We also accept ODM,OEM customized projects. We follow the business principle of Customer First,People Oriented base on integrity principle,Innovation attitude,provide valuable products and cooling solutions for each customer!",Manufacturer,"Electronic Manufacturing Service, PC Card, Integrated Circuit ( IC ), Diode, Industrial Testing Instrument & Equipment, Reed Switch, Testing Instrument For Electrical / Electronic Product, Information and Communications Technology, UPS / Power Supply, Semiconductor, Electronic Manufacturing Service, PC Card, Integrated Circuit ( IC ), Diode, Industrial Testing Instrument & Equipment, Reed Switch, Testing Instrument For Electrical / Electronic Product, Information and Communications Technology, UPS / Power Supply, Semiconductor, Electronic Manufacturing Service, PC Card, Integrated Circuit ( IC ), Diode, Industrial Testing Instrument & Equipment, Reed Switch, Testing Instrument For Electrical / Electronic Product, Information and Communications Technology, UPS / Power Supply, Semiconductor",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Yccfan-Technology-Co-Ltd/1X088L72,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067V6N?fairCode=electronicasia&locale=en,,,,,,,,,
Tailor Pixels Technology CO LTD,Chinese Mainland    |    Factory in:  Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/TAILOR-PIXELS-TECHNOLOGY-CO-LTD-/1S00PAPLK,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006808C?fairCode=electronicasia&locale=en,,,,,,,,,
Wenzhou Stpete Electronic Technology Co Ltd,Chinese Mainland,,Exporter,"DDI & Other Network Technology Components Assemblies, DDI & Other Network Technology Components Assemblies","Precision connectors, automotive connectors, shielding covers, heat sinks, and optical module accessories.",OEM,,,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wenzhou-Stpete-Electronic-Technology-Co-Ltd/1S00PETGV,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0068000?fairCode=electronicasia&locale=en,,,,,,,,,
"Xiamen Zettler Electronics Co., Ltd.",Chinese Mainland    |    Factory in:  Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Zettler-Electronics-Co-Ltd/1X06TCHJ,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0068FPI?fairCode=electronicasia&locale=en,,,,,,,,,
Yangzhou Positioning Tech Co Ltd,Chinese Mainland    |    Factory in:  Chinese Mainland,"YZPST Group Power Electronic Components Manufacturer 33 years' experience 500+ employees 300,000+ successful cases from 160 countries & regions. AEO UL ISO9001 REACH ROHS","Buying Office, Export Agent, Manufacturer, Distributor, Buying Cooperative","Capacitor, Resistor, Integrated Circuit ( IC ), Semiconductor, Electrical Wire & Cable, Motors, Transistor, Capacitor, Resistor, Integrated Circuit ( IC ), Semiconductor, Electrical Wire & Cable, Motors, Transistor, Capacitor, Resistor, Integrated Circuit ( IC ), Semiconductor, Electrical Wire & Cable, Motors, Transistor","THYRISTOR,transistor,IGBT,Module,Bridge Rectifier",OEM,YZPST,yzpst.net,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 electronicAsia 2024 electronicAsia 2023 HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 electronicAsia 2019 HKTDC Hong Kong Gifts & Premium Fair 2019 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yangzhou-Positioning-Tech-Co-Ltd/1X0AV2VZ,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00680EU?fairCode=electronicasia&locale=en,,,,,,,,,
HCC International Limited,Chinese Mainland,,Manufacturer,"Integrated Circuit ( IC ), Capacitor, Resistor, Inductor, Integrated Circuit ( IC ), Capacitor, Resistor, Inductor","PCBA,PCB assembly","OBM, Others, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 electronicAsia 2025 electronicAsia 2024 electronicAsia 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/HCC-International-Limited/1S00P65JA,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067PHW?fairCode=electronicasia&locale=en,,,,,,,,,
"Ecolite Energy (Hong Kong) Co., Limited",Hong Kong,,Manufacturer,"UPS / Power Supply, UPS / Power Supply, UPS / Power Supply, UPS / Power Supply, UPS / Power Supply, UPS / Power Supply, UPS / Power Supply","lithium battery , lithium-ion hybrid capacitor, sodium-ion hybrid capacitor",OBM,,,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026,,,,N/A,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00667BW?fairCode=electronicasia&locale=en,,,,,,,,,
