Event Title,Event Date,Event City,Event Country,Event Description,Event More Description,Event URL
Disney in Concert 2026,28.October2026, Frankfurt/Main, DEU,Die Jubiläumstournee,show,https://festhalle.messefrankfurt.com/frankfurt/de/veranstaltungen/disneyinconcert26.html
Discovery Art Fair Frankfurt,30.October–01.November2026, Frankfurt/Main, DEU,,exhibition open to the public,https://discoveryartfair.com/de/fairs/frankfurt/
Marteria,30.October2026, Frankfurt/Main, DEU,Zum Glück in die Zukunft Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/marteria.html
Stuzubi Studien- und Ausbildungsmesse Frankfurt,31.October2026, Frankfurt/Main, DEU,,conference and exhibition,https://stuzubi.de/messen/frankfurt/
Tokio Hotel,05.November2026, Frankfurt/Main, DEU,Arena Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/veranstaltungen/tokiohotel.html
Deep Purple,06.November2026, Frankfurt/Main, DEU,,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/deeppurple.html
Nico Santos,07.November2026, Frankfurt/Main, DEU,Arena Tour 2026,concert,http://festhalle.messefrankfurt.com/nicosantos
Automechanika Dubai,10.–12.November2026, Dubai, ARE,"The Middle East’s leading international trade fair for the automotive service industry targeting trade visitors from Western Asia, Eastern Europe, the CIS and Africa",international trade fair Mobility & Logistics,https://automechanika-dubai.ae.messefrankfurt.com/dubai/en.html?utm_source=online&utm_medium=website&utm_campaign=am-global
"ASFW (Texworld, Apparel Sourcing, Texprocess)",12.–15.November2026, Addis Abeba, ETH,,international trade fair Textiles & Textile Technologies,http://asfw-online.com
Berq,14.November2026, Frankfurt/Main, DEU,Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/berq.html
Formnext,17.–20.November2026, Frankfurt/Main, DEU,International exhibition and convention on the next generation of manufacturing technologies,international exhibition and conference Manufacturing Technologies & Components,https://formnext.mesago.com
Food Ingredients Europe,17.–19.November2026, Frankfurt/Main, DEU,,international trade fair,https://www.figlobal.com/fie-next-year/en/home.html
Secutech Thailand,18.–20.November2026, Bangkok, THA,,"international exhibition and conference Safety, Security & Fire",https://secutechthailand.tw.messefrankfurt.com
Child Edu & Care Japan,19.–20.November2026, Tokyo, JPN,Trade Fair for Products and Services around Childcare and Education,trade fair Consumer Goods,https://hoikuhaku.jp.messefrankfurt.com/tokyo/en.html
Beautyworld Tashkent licensed to LLC BMC-LLP,19.–21.November2026, Tashkent, UZB,The key beauty event for Central Asia,trade fair Consumer Goods,http://www.beautyworld.uz/maineng
Paperworld China,20.–22.November2026, Shanghai, CHN,China International Stationery & Office Supplies Exhibition,international trade fair Consumer Goods,http://www.paperworldchina.com
Festival of Motoring Sydney,20.–22.November2026, Sydney, AUS,,trade fair open to the public Mobility & Logistics,N/A
Let's Dance,20.–21.November2026, Frankfurt/Main, DEU,Die Live Tour 2026,show,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/letsdance2026.html
SPS - Smart Production Solutions,24.–26.November2026, Nuremberg, DEU,35th international trade fair for industrial automation,international trade fair Electronics & Automation Technologies,https://sps.mesago.com
Light + Intelligent Building Istanbul,26.–28.November2026, Istanbul, TUR,,trade fair Building Technologies,https://light-building-istanbul.tr.messefrankfurt.com/istanbul/en.html
ITCS Frankfurt,27.November2026, Frankfurt/Main, DEU,IT & Career Summit,international trade fair,https://www.it-cs.io/
Night of the Proms 2026,01.–02.December2026, Frankfurt/Main, DEU,Klassik trifft Pop,concert,http://festhalle.messefrankfurt.com/notp
Automechanika Shanghai,02.–05.December2026, Shanghai, CHN,"Shanghai International trade fair for automotive parts, equipment and service suppliers",international trade fair Mobility & Logistics,http://automechanika-shanghai.hk.messefrankfurt.com
ARCHITECT@WORK,02.–03.December2026, Frankfurt/Main, DEU,,international trade fair,https://frankfurt.architectatwork.de/
NIMO,04.December2026, Frankfurt/Main, DEU,Home Sweet Home Arena Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/nimo.html
Die Schlagernacht des Jahres 2026,05.December2026, Frankfurt/Main, DEU,Das Original,concert,http://festhalle.messefrankfurt.com/schlagernacht
BAP,06.December2026, Frankfurt/Main, DEU,Fünfzig Jahre - Das Jubiläumskonzert 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/bap.html
PCIM Asia New Delphi conference,09.–10.December2026, New Delhi, IND,,conference Electronics & Automation Technologies,http://www.pcim.in
Light+LED Expo Delhi,17.–19.December2026, New Delhi, IND,India´s no.1 exhibition on LED Lighting products&technologies,international trade fair Building Technologies,N/A
Unheilig & Special Guests,30.December2026, Frankfurt/Main, DEU,"Liebe, Glaube, Monster Tour 2026/27",concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/unheilig.html
Feuerwerk der Turnkunst,03.January2027, Frankfurt/Main, DEU,hope Tournee 2027,show,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/feuerwerk-der-turnkunst.html
Die Fantastischen Vier,05.–06.January2027, Frankfurt/Main, DEU,DER LETZTE BUS – FINAL TOUR 26-28,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/fanta4.html
Hong Kong International Stationery & School Supplies Fair,11.–14.January2027, Hong Kong, HKG,,international trade fair Consumer Goods,http://www.hkstationeryfair.com
Light + Intelligent Building Middle East,12.–14.January2027, Dubai, ARE,MENA region's leading exhibition for Lighting and Building Services Technology,international exhibition and conference Building Technologies,https://light-intelligentbuildingme.com
Heimtextil,12.–15.January2027, Frankfurt/Main, DEU,International trade fair for home and contract textiles,international trade fair Textiles & Textile Technologies,http://heimtextil.messefrankfurt.com
Intersec Global,12.–14.January2027, Dubai, ARE,"The world's leading exhibition for Safety, Security and Resilience","international exhibition and conference Safety, Security & Fire",http://intersecglobal.com
Holiday on Ice,13.–17.January2027, Frankfurt/Main, DEU,Neue Show 2027,show,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/holiday-on-ice.html
Beautyworld Fukuoka,08.–10.February2027, Fukuoka, JPN,Leading beauty event in the Kyushu region,trade fair Consumer Goods,https://beautyworld-japan-fukuoka.jp.messefrankfurt.com
CAVALLUNA,26.–28.February2027, Frankfurt/Main, DEU,Die Farben des Lebens,show,https://festhalle.messefrankfurt.com/cavalluna
Automechanika Baku,03.–05.March2027, Baku, AZE,Azerbaijan’s Leading Regional Trade Fair for the Automotive Service Industry targeting Trade Visitors from The Caucasus region,regional trade fair Mobility & Logistics,https://automechanika.az/
Meat Pro Asia,10.–12.March2027, Bangkok, THA,,trade fair Food Technologies,https://meatpro-asia.hk.messefrankfurt.com/bangkok/en.html
ISH,15.–19.March2027, Frankfurt/Main, DEU,World’s leading trade fair HVAC + Water,international trade fair Building Technologies,http://ish.messefrankfurt.com
Light+Intelligent Building North America,15.–18.March2027, Las Vegas, USA,Flipping the Switch on the Future.,trade fair Building Technologies,https://lightintelligentbuildingna.us.messefrankfurt.com/
Clean India Show,17.–19.March2027, Mumbai, IND,Co-located Show Laundrex India,"trade fair Textile Care, Cleaning & Cleanroom Technologies",https://cleanindiashow.in.messefrankfurt.com/mumbai/en.html
TASH SULTANA,25.March2027, Frankfurt/Main, DEU,Return To The Roots,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/tashsultana.html
Secutech,21.–23.April2027, Taipei, TWN,"International Exhibition and Conference for Security, Smart building, Mobility, Fire and Safety and disaster recovery","international exhibition and conference Safety, Security & Fire",https://secutech.tw.messefrankfurt.com
EMV,27.–29.April2027, Stuttgart, DEU,International Exhibition and Conference on Electromagnetic Compatibility (EMC),international exhibition and conference Electronics & Automation Technologies,http://e-emv.com
Texprocess Americas,11.–13.May2027, Atlanta, USA,"Equipment and Technology for the Development, Sourcing, and Production of Sewn Products",international trade fair Textiles & Textile Technologies,http://texprocess-americas.us.messefrankfurt.com
Techtextil North America,11.–13.May2027, Atlanta, USA,International Trade Fair for Technical Textiles and Nonwovens,international trade fair Textiles & Textile Technologies,http://techtextil-north-america.us.messefrankfurt.com
PCIM,11.–13.May2027, Nuremberg, DEU,"International Exhibition and Conference for Power Electronics, Intelligent Motion, Renewable Energy and Energy Management",international exhibition and conference Electronics & Automation Technologies,https://pcim.mesago.com
Arminera,19.–21.May2027, Buenos Aires, ARG,International Mining Industry Exhibition,international exhibition and conference Mobility & Logistics,http://arminera.com.ar
Automechanika Birmingham,01.–03.June2027, Birmingham, GBR,The UK’s leading exhibition for the automotive aftermarket and vehicle production industry targeting trade visitors from the UK.,international trade fair Mobility & Logistics,https://automechanika-birmingham.uk.messefrankfurt.com/birmingham/en.html
ACHEMA,14.–18.June2027, Frankfurt/Main, DEU,World Forum and Leading Show for Life Science and Process Industries,international trade fair,http://www.achema.de/de/home.html
INA PAACE Automechanika Mexico City,07.–09.July2027, Mexico City, MEX,Mexico´s leading international trade fair for the automotive service industry targeting trade visitors from Latin and Central America,international trade fair Mobility & Logistics,https://paace-automechanika-mexico.us.messefrankfurt.com
The Clean Show,15.–18.July2027, Las Vegas, USA,,"international trade fair Textile Care, Cleaning & Cleanroom Technologies",https://the-clean-show.us.messefrankfurt.com/us/en.html
SPS - Smart Production Solutions Atlanta,14.–16.September2027, Atlanta, USA,,international trade fair Electronics & Automation Technologies,https://us.messefrankfurt.com/atlanta/en/SPS.html
Automechanika Tashkent licensed to LLC BMC-LLP,20.–22.October2027, Tashkent, UZB,Uzbekistan´s leading regional trade fair for the automotive service industry targeting trade visitors from Central Asia,trade fair Mobility & Logistics,https://www.automechanika.uz/eng
Formnext,26.–29.October2027, Frankfurt/Main, DEU,International exhibition and convention on the next generation of manufacturing technologies,international exhibition and conference Manufacturing Technologies & Components,https://formnext.mesago.com
"Equipment, Automation, and Technology Show for Food & Beverage",26.–28.October2027, Chicago, USA,"Equipment, Automation, and Technology Show for Food & Beverage",international trade fair Food Technologies,https://www.theeatsshow.us.messefrankfurt.com/
SPS - Smart Production Solutions,23.–25.November2027, Nuremberg, DEU,36th international trade fair for industrial automation,international trade fair Electronics & Automation Technologies,https://sps.mesago.com
Automechanika Shanghai,02.–05.December2027, Shanghai, CHN,"Shanghai International trade fair for automotive parts, equipment and service suppliers",international trade fair Mobility & Logistics,http://automechanika-shanghai.hk.messefrankfurt.com
Texprocess,04.–07.April2028, Frankfurt/Main, DEU,Leading International Trade Fair for Processing Textile and Flexible Materials,international trade fair Textiles & Textile Technologies,https://texprocess.messefrankfurt.com
Techtextil,04.–07.April2028, Frankfurt/Main, DEU,Leading International Trade Fair for Technical Textiles and Nonwovens,international trade fair Textiles & Textile Technologies,https://techtextil.messefrankfurt.com
IFFA,13.–18.May2028, Frankfurt/Main, DEU,Technology for Meat and Alternative Proteins,international trade fair Food Technologies,http://iffa.com
Texcare International,08.–11.November2028, Frankfurt/Main, DEU,World Market for Modern Textile Care,"international trade fair Textile Care, Cleaning & Cleanroom Technologies",http://texcare.com
