company name,location,supplier_url,exhibitor_url,,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,HKTDC Events,Company Website,Company Background,Brand Name
Calm Candles Essential Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064E0M?fairCode=hkbeautyexpo&locale=en,,"Wholesaler, Manufacturer, Exporter, Shopping Mall, Retailer, Department Store","Aroma Diffuser, Perfume, Scented Candle, Personal Care Product, Smart Healthcare Electronics, Skin Care, Scented Body Care, Home Fragrance, Spa & Massage Treatments, Aroma Oil & Incense Stick","Premium scented candles, essential oils, and aroma diffusers crafted with natural ingredients. Calm Candles Essential delivers long-lasting fragrances that promote relaxation, wellness, and a luxurious home ambiance.",OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Home Delights Expo 2025,https://calmcandlessential.store/,,
Citiscent Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064DYT?fairCode=hkbeautyexpo&locale=en,,Retailer,"Perfume, Perfume, Perfume, Perfume","Fragrance products inspired by Hong Kong four seasons, day and night, hope that in addition to using fragrance to evoke Hong Kong people fond memories of the city, people from different places can feel the rhythm and charm of Hong Kong.",OBM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 HKTDC Beauty & Wellness Expo 2025,www.citiscent.com,"Fragrance products inspired by Hong Kong four seasons, day and night, hope that in addition to using fragrance to evoke Hong Kong people fond memories of the city, people from different places can feel the rhythm and charm of Hong Kong. All products are in compliance with IFRA safety guidelines and EU standards.",CitiScent
Crystal Wonderland,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065R8L?fairCode=hkbeautyexpo&locale=en,,Retailer,"Spiritual & Metaphysical Product, Spiritual & Metaphysical Product, Spiritual & Metaphysical Product, Spiritual & Metaphysical Product",Natural rough crystal and handmade crystal bracelets,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025,crystalwonderland.store,"Collect different rare crystals and handicrafts from all over the world. Add your own and local concepts, Design different types of handmade crystal bracelets.",Crystal Wonderland 水晶上腦
Do Re Mi,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RC9?fairCode=hkbeautyexpo&locale=en,,"Wholesaler, Retailer, Private Individual","Hair Accessories, Hair Accessories, Hair Accessories","希望可以透過鉤針和一些彩色的線,將生活中點點滴滴編織出,將美 好的事物紀錄保存,每一件作品都蘊含著獨特的情感,不單是止手工藝更是一種表達情感和傳達記憶的方式,希望可以幫助大家將自己的祝福無限傳遞,帶大家遊走鉤針世界中,暫時遠離喧囂,享受寧靜的鉤針世界.",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026,,,
Dr. Hair & Beauty Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064D72?fairCode=hkbeautyexpo&locale=en,,"Retailer, Private Individual, Import Agent","Skin Care, Manicure Supplies, Hair Care, Hair Styling Tools, Skin Care, Manicure Supplies, Hair Care, Hair Styling Tools",Specialty Nail Products Personal Care Hair Care,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025,,The company was founded in 2022.Acting as an agent of German Credo nail tools and Cehko hair products.,
EXD Event Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0066P25?fairCode=hkbeautyexpo&locale=en,,Others,,展銷/市集 活動策劃,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 HKTDC World of Snacks 2026 HKTDC Beauty & Wellness Expo 2025,,,
Evertop Overseas (Asia) Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S006420Y?fairCode=hkbeautyexpo&locale=en,,Distributor,Health Supplement,Health supplement,OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Food Expo 2026 HKTDC World of Snacks 2026 HKTDC Food Expo 2025 HKTDC World of Snacks 2025 HKTDC Food Expo 2023 HKTDC World of Snacks 2023 HKTDC Food Expo 2022 Show More,,,
Federation of Beauty Industry,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00664GK?fairCode=hkbeautyexpo&locale=en,,Professional Association,,為了保持美容行業的健康可持續發展，我們需要團結起來，得到行業的廣泛支援。 無論公司規模和行業如何，歡迎您作為我們的會員加入，,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025,fbihk.org,"The Federation of Beauty Industry(HK) is a non-profit, membership-based beauty industry organization established in July 2004. Its mission is to unite the Hong Kong beauty industry and enhance the professional qualifications, ethics, and social status of beauty practitioners.",
Green Miles Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RAF?fairCode=hkbeautyexpo&locale=en,,Buying Office,"Physiotherapy Treatment, Physiotherapy Treatment, Physiotherapy Treatment, Physiotherapy Treatment","schwa, nasara, mediflex",ODM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 HKTDC Beauty & Wellness Expo 2025 HKTDC Hong Kong Sports and Leisure Expo 2025 HKTDC Beauty & Wellness Expo 2024 HKTDC Hong Kong Sports and Leisure Expo 2024 HKTDC Beauty & Wellness Expo 2023 HKTDC Hong Kong Sports and Leisure Expo 2023 Show More,www.accompanymedical.com,,"nasara,mediflex,schwa"
Hong Kong China Federation of Bodybuilding & Fitness,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0066P18?fairCode=hkbeautyexpo&locale=en,,Professional Association,Fitness Equipment,"Hong Kong China Federation of Bodybuilding & Fitness (HKFBF) is the only recognized legal organization in Hong Kong China regional of International Federation of Bodybuilding & Fitness (IFBB), which is the member of International Olympic Committee.",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 HKTDC Beauty & Wellness Expo 2025 HKTDC Hong Kong Sports and Leisure Expo 2025 HKTDC Beauty & Wellness Expo 2024 HKTDC Hong Kong Sports and Leisure Expo 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Beauty & Wellness Expo 2023 Show More,,HKFBF-C000001,
Hosanna Wind Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RO9?fairCode=hkbeautyexpo&locale=en,,"Charity / Welfare Organisation, Department Store, Chain Store, Consulate and Trade Commission, Distributor","Aroma Diffuser, Cosmetics, Health Drink, Aroma Oil & Incense Stick, Health Supplement, Skin Care, Personal Care Product, Online Shopping Platform, Oral Care, Anti-Aging Supplement, Sports Nutrition, Scented Body Care, Organic Beauty Product, Slimming Product, Health Food, Healthcare Product, Healing Products & Experience, Elderly Care Product, Perfume, Hair Care, Aroma Diffuser, Cosmetics, Health Drink, Aroma Oil & Incense Stick, Health Supplement, Skin Care, Personal Care Product, Online Shopping Platform, Oral Care, Anti-Aging Supplement, Sports Nutrition, Scented Body Care, Organic Beauty Product, Slimming Product, Health Food, Healthcare Product, Healing Products & Experience, Elderly Care Product, Perfume, Hair Care, Aroma Diffuser, Cosmetics, Health Drink, Aroma Oil & Incense Stick, Health Supplement, Skin Care, Personal Care Product, Online Shopping Platform, Oral Care, Anti-Aging Supplement, Sports Nutrition, Scented Body Care, Organic Beauty Product, Slimming Product, Health Food, Healthcare Product, Healing Products & Experience, Elderly Care Product, Perfume, Hair Care, Aroma Diffuser, Cosmetics, Health Drink, Aroma Oil & Incense Stick, Health Supplement, Skin Care, Personal Care Product, Online Shopping Platform, Oral Care, Anti-Aging Supplement, Sports Nutrition, Scented Body Care, Organic Beauty Product, Slimming Product, Health Food, Healthcare Product, Healing Products & Experience, Elderly Care Product, Perfume, Hair Care","Moringa seed oil, Moringa leaf powder, Essential Oil & Hydrosal from Europe, Aromatheraphy consultation services. Moringa, also known as the 'tree of life', is rich in proteins, vitamins and 46 antioxidants.","Others, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2021,www.hosannawind.com,"HosannaWind dedicated to holistic mind body spirit wellness. Through health education and natural nutritional solutions, we aim to impart a lifestyle wisdom of ""returning to nature."" In an era filled with stress and chemical additive, we are committed to awakening public awareness of natural care and holistic health, retoring the balance of our original creation. Combining Aromatheraphy with Moringa - the Miracle Tree""- we provide effective restoration for both body and mind, helping individuals reclaim their vital life energy from the inside out.",
Ingrid Millet Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065WC4?fairCode=hkbeautyexpo&locale=en,,Retailer,"Skin Care, Health Supplement, Spa & Massage Treatments",We provide the best and safest medical aesthetic service to our customers according to their different needs.,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025 HKTDC Beauty & Wellness Expo 2024 HKTDC Beauty & Wellness Expo 2023 HKTDC Beauty & Wellness Expo 2022 HKTDC Simply Shopping Fest 2022 HKTDC Beauty & Wellness Expo 2021 HKTDC Beauty & Wellness Expo 2019 Show More,,"In 1959, French cosmetologist Madame Ingrid Millet formed INGRID MILLET Paris. The first branch marched in Hong Kong in 1989. Today, INGRID MILLET Paris provides a high-performance skincare and body care ranges to the needs of each woman. True to INGRID MILLET Paris mission, constantly strive to remain at the forefront of the new technological advances, and focus our efforts in the area of medical beauty.",
International Beauty & Health General Union Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00663GL?fairCode=hkbeautyexpo&locale=en,,Professional Association,"Skin Care, Skin Care",國際美容健康總聯合會(I.B.H.)是一個領導美麗和健康生活的組織，。I.B.H.旗下權威認證機構International Beauty and Health License Association (B.H.L)致力提高全球美容健康行業水平,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025,www.ibhgu.org,,
Keep Moving Trading Company Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064WLD?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
La Vie En Rose Workshop Co.,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RD6?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
Live Love Company,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RGX?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
Lush Asia Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064WO4?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
Me Paincare Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064DI5?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
Name One HK Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064E2G?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
Night Fever Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RIR?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
Nitrend International Company Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064D8Z?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
"Physical Fitness Association of Hong Kong, China Limited",Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065B2J?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
Pop2make,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RP6?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
Power Sunny Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RQ3?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
Pra Energy Center Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065R7O?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
ProFone (Hong Kong) Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064DDK?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
St.James' Settlement,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064DXW?fairCode=hkbeautyexpo&locale=en,,Charity / Welfare Organisation,"Elderly Care Product, Elderly Care Product",HUBBA Lab是備有嶄新、富挑戰、具啟發性的體驗平台，讓50–68歲人士擴闊視野，增強自信， 鼓勵他們開拓多姿多彩的第二人生。中心備有不同種類例的體驗式活動提升身心靈健康，亦提 供為50+人士設計的義工訓練及服務配對。,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 DesignInspire, Hong Kong, 2025 HKTDC Beauty & Wellness Expo 2025 HKTDC International ICT Expo 2021",www.facebook.com/HUBBALAB/,,
The Cosmetic & Perfumery Association of Hong Kong Ltd,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00664HH?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
The Scentist Hong Kong Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0066P32?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
YSH Technology Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S006428A?fairCode=hkbeautyexpo&locale=en,,"Manufacturer, Retailer","Healthcare Product, Health Supplement, Anti-Aging Supplement","COMPREHENSIVE NUTRITION AGING PREVENTION CHRONIC DISEASE MANAGEMENT SYSTEMIC INTERVENTION MODERN LIFE SCIENCES, PREVENTIVE MEDICINE, NUTRITIONAL GENMICS",OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024,www.timeshop.com.hk,"TIMESHOP's One Time All Nutrition is a cutting-edge health concept based on modern life sciences, preventive medicine andnutritional genomics. Its core is to combine holistic nutritionwith anti-aging interventions to prevent chronic diseases and delay the aging process while maintaining long-term stability of body functions, thereby extending healthy longevity.",
Yours,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RBC?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
