company name,location,Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   ,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,,HKTDC Events,Certificates,Verified Certificates,Other Certificates,supplier_url,exhibitor_url,Booth: 3-A05   |   DeLuxe PrintPack Hong Kong   |   ,Brand Name,Company Website,Booth: 3-B02   |   DeLuxe PrintPack Hong Kong   |   ,Booth: 3-A11   |   DeLuxe PrintPack Hong Kong   |   ,Booth: 3-B01   |   DeLuxe PrintPack Hong Kong   |   ,Booth: 3-A02   |   DeLuxe PrintPack Hong Kong   |   ,Booth: 3-C18   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global,Booth: 3-B29   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global,Booth: 3-C04   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global,Booth: 3-A10   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global,Booth: 3-C05   |   DeLuxe PrintPack Hong Kong   |   
Guangzhou Yonglin Printing & Packaging Co Ltd,Chinese Mainland    |    Factory in Chinese Mainland,,"Founded in 2003, GuangzhouYonglin printing & packaging Co., Ltd. is located in Yonglin Industrial Park, Jianggao Town, Baiyun District, Guangzhou. It is a modern large-scale packaging and printing enterprise integrating creative design, structural design, plate making. The company possesses advanced production equipment such as ROLAND 700 Evolution Speed printing machine, automatic box-making machines for standard and irregular shapes, automatic die-cutting machines, laminating machines, leather case machines, UV machines, and hot stamping machines. From fully automated mass production to craftsmanship by skilled artisans, we cater to the diverse needs of our clients.",Manufacturer,"Label and Tag, Presentation Box, Bag and Pouch, Packaging Design, Luxury Packaging, Tubes Packaging, Cosmetics Packaging, Wine Packaging, Phials and Monodoses Bottle, Watch Packaging","Paper box & paper bag,cosmetic box, perfume box, wine box,chocolate box,gift box,shoes box...",OEM,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017 HKTDC Hong Kong International Printing & Packaging Fair 2010 Show More,,,ISO 9001:2000 Issued By - Type ISO_9001 Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Yonglin-Printing-Packaging-Co-Ltd/1X00GC9R,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005L26G,,"sabon,morrocanoil,skii",www.gzylcy.com,,,,,,,,,
"DongGuan Crown Win Package Co., Ltd.",Chinese Mainland,,,,"Metal Box & Can,Presentation Box,Bag and Pouch,Bottle and Can,Label and Tag,Packaging Design,Cosmetics Packaging,Luxury Packaging,Jewelry Packaging & Display,Tubes Packaging","Package boxes, paper bags, tube boxes","ODM, OEM, OBM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Crown-Win-Package-Co-Ltd-/1X09ZUXL,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005L2A4,,CrownWin,,,,,,,,,,
"Dongguan Detai Paper Products Co., Ltd.",Chinese Mainland,,,,"Metal Box & Can,Presentation Box,Bag and Pouch,Bottle and Can,Label and Tag,Packaging Design,Cosmetics Packaging,Luxury Packaging,Jewelry Packaging & Display,Tubes Packaging",Paper tube & Paper box & Paper bag,"OEM, ODM, OBM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024,,,ISO9001 Issued By - Type ISO_9001 Valid Date (N/A) - (N/A) Disney supplier certification Issued By - Type - Valid Date (N/A) - (N/A) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Detai-Paper-Products-Co-Ltd/1X05WKOO,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005L2ES,,Paper Packaging,,,,,,,,,,
Dongguan Fullbright Industry Company Limited,Chinese Mainland,,,Manufacturer,"Cigar Packaging, Silk Box / Bag, Jewelry Packaging & Display, Luxury Packaging, Cosmetics Packaging, Watch Packaging, Paper Decoration, Presentation Box, Bag and Pouch, Packaging Design","Paper bag, shopping bag, paper gift bag; paper box, paper gift box, paper lid and bottom box, cosmetics box, paper jewelry box, paper hang tag",OEM,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017 HKTDC Hong Kong Gifts & Premium Fair 2016 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Fullbright-Printing-Industry-Company/1X08HJA5,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LMNH,,Fullbright,www.fullbrightpack.com,,,,,,,,,
Dongguan Jolly Industries Limited,Chinese Mainland,,,Manufacturer,"Presentation Box,Silk Boxes/Bags,Velvet Boxes/Bags,Wine Packaging,Luxury Packaging,Jewelry Packaging & Display,Watch Packaging,Cigar Packaging","Cosmetics box, jewelry box, watch box, OEM ODM","ODM, OEM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 DeLuxe PrintPack Hong Kong 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong International Jewellery Show 2024,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Jolly-Industries-Limited/1S00OQRUR,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005L22S,,,,,,,,,,,,
"Dongguan Lucky Color Industry Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,,Manufacturer,"Presentation Box,Bag and Pouch,Velvet Boxes/Bags,Perfume Bottle,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Jewelry Packaging & Display,Tubes Packaging","Cosmetic box packaging, jewelry boxes, liquor packaging. One For All Solution For Gustom Printed Packaging","ODM, OEM, Others, OBM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017 HKTDC Hong Kong International Printing and Packaging Fair 2016,,,"GB/T19001-2016/ISO9001:2015 Issued By Shenzhen Modi International Testing Certification Co., Ltd. Type ISO_9001 Valid Date 10 Mar 2025 - 09 Mar 2028 GB/T24001-2016/ISO14001:2015 Issued By Shenzhen Modi International Testing Certification Co., Ltd. Type ISO_14001 Valid Date 10 Mar 2025 - 09 Mar 2028 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Lucky-Color-Industry-Co-Ltd-/1X09FV78,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005L1Y5,,lucky color,,,,,,,,,,
"Dongguan New Start Hardware Technology Co., Ltd.",Chinese Mainland,,"DongGuan New start Hardware Technology is set up in 2012.expert in customizingg PERFUME LABEL ,WINE LABEL &etc..Our factory have 3800sqm.We have more than 100 machines like Japanese offset printer,punching.Automatic drawing,Mirror plosihing.CNC and Fine Engraving.Also have rroms of high-tech molding and complete inspectioN.From tooling and products are finished in the plant.NewStart is an enterprise with high-tech metal surface treatment.Our team have more than 15years experience of customizing labels(Aluminium,Copper,Nickel,stainlessstell,Alloy zinc)which widely used on the luxury&delicated packing boxes.And our efficient&lean services,fair price and higher cost perfomance win our customer's Support &Trust","Others, Exporter, Manufacturer","Label and Tag,Wine Packaging,Luxury Packaging","Metals(aluminium,copper,stainless steel,zinc alloys)Namplates,marks,for Perfume,Wine bottle,Wood boxes and other packing.Process:Dioxide,multi-color oxidization,corrosion,brushing,highlight,CD pattern,antique copper process,oil injection,.",Others,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023,,,"GB/T19001-2016/ISO9001:2015 Issued By Kaixin Certification (Beijing) Co., Ltd. Type ISO_9001 Valid Date 21 Apr 2022 - 20 Apr 2025",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-New-Start-Hardware-Technology-Co-Ltd-/1S00O7TFY,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005L24M,,,,,,,,,,,,
"Dongguan Nodiman Packaging Co., Ltd.",Chinese Mainland,,"Dongguan Nodiman Packaging Co., Ltd. is a benchmark enterprise in the packaging industry, focusing on high-grade packaging for more than 20 years. Is a collection of product design, development, production, sales, service as one of the ""one-stop"" enterprise.","Department Store, Manufacturer, Export Agent, Wholesaler, Exporter","Wooden Box and Case,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Jewelry Packaging & Display,Watch Packaging,Cigar Packaging,Art Printing","We serve watch, jewelry, perfume, cosmetics, tobacco, alcohol, health care products, gifts, electronic products and other industries, we provide wooden boxes, handmade packaging boxes and printing folding boxes, each product has a milestone manufactu","OBM, ODM, OEM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 HKTDC Hong Kong Watch & Clock Fair 2010 HKTDC Hong Kong Watch & Clock Fair 2009,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Nodiman-Present-Packaging-Plant/1X04PGPZ,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005L1TK,,,,,,,,,,,,
"Dongguan Pengcheng JES Packaging Product Co., Ltd.",Chinese Mainland,,"JES Packaging is an international producer of more competitive paper boxes, paper cylinders, paper bags, and molded pulp.Founded in 2001, over 500 workers, 28,000m workshops with various auto-machines, FSC, and ISO9001, ISO14000 certificated. we combine great products with a creative and knowledgeable total-service team to provide ideas and solutions for any paper packaging need.",Manufacturer,"Paper Decoration,Presentation Box,Bag and Pouch,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Jewelry Packaging & Display,Watch Packaging","Paper boxes, paper cylinders, paper bags, and molded pulp",OBM,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 HK Int'l Printing & Packaging Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Pengcheng-JES-Packaging-Product-Co-Ltd-/1S00P0QGY,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LMOE,,,,,,,,,,,,
"Dongguan XinYu Tin Can Manufactory Co, Ltd",Chinese Mainland,,,,"Perfume Bottle,Luxury Packaging",CR tin box & Tea tin box & Cookie tin box & Gift tin box,"ODM, OBM, OEM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017 HKTDC Hong Kong International Printing and Packaging Fair 2016,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-City-XinYu-Tin-Can-Manufactory-Co-Ltd/1X09FZW7,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005L2CY,,Tin Box,,,,,,,,,,
"Dongguan Zhizun Industrial Co., Ltd.",Chinese Mainland,,"Dongguan Zhizun Industrial CO.,Ltd was found in Nov 1995, which is principally engaged in development and manufacture of printed packages and gift boxes. Covering an area of 6000 square meters, we now have over 300 employees and are currently exporting 80% of our production worldwide. We not only have modern semi-automatic and automatic equipment, like vision detection and location machine, die cutting machine, Heidelberger printing presses. But we also have received ISO9001:2008 International Quality System certification and SA8000:2008, SEDEX, FSC certification system. If you are interested in any of our products or would like to discuss a custom order, please feel free to contact us. We are looking forward to forming successful business relationships with new clients around the world in the near future.",Manufacturer,"Paper Decoration,Presentation Box,Bag and Pouch,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Jewelry Packaging & Display","Gift Box, Tubes, Paper Box, Paper Bag",OEM,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017 HKTDC Hong Kong International Printing and Packaging Fair 2016 HKTDC Hong Kong International Printing & Packaging Fair 2015 HKTDC Hong Kong International Printing and Packaging Fair 2014,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Zhizun-Industrial-Company-Limited/1X08JAES,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LMMK,,Zhizun,,,,,,,,,,
"Guangzhou Tianyi Metal Products Co., Ltd.",Chinese Mainland,,"Guangzhou Tianyi Metal Products Co.,Ltd. founded in 2015, produces square, round, and other shaped tin boxes for food and gift packaging. With 50k+ sqm of modernized workshop, 300+ skilled workers, and 15+ automatic production lines, we can produce over 5 million pcs of tin boxes each month. We offer excellent quality, competitive prices, and prompt delivery, ensuring client confidence. All products have FDA, LFGB, EN71-1,2,3, REACH, etc. certificates.","Wholesaler, Distributor, Exporter, Manufacturer","Metal Box & Can,Presentation Box,Bottle and Can,Packaging Design,Model Making,Packaging Cap and Closure,Authentication and Traceability,Luxury Packaging,Smart Packaging,Art Printing","Cookie tin box, Tea tin box, Candy tin box, gift tin box","OEM, OBM, ODM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2019,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Tianyi-Metal-Products-Co-Ltd-/1X0AQHI3,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005L1UH,,,,,,,,,,,,
Guangzhou Yameva Leather Manufacturer,Chinese Mainland,,"At Yameva, our engineering team understand your goals, challenges, individual needs, limitations. To design what is necessary for your packaging to perform at the best solution while taking full advantage of your budget. We have tailored quality assurance procedures to meet particular quality requirements. Our quality control teams are responsible for managing every project in quality expectations.",Manufacturer,"Wooden Box and Case,Presentation Box,Bag and Pouch,Wine Packaging,Luxury Packaging,Jewelry Packaging & Display",Luxury PU Packaging; Jewelry Packaging & Display; Cosmetics Packaging; Box & Case - Gift Packaging,"OEM, ODM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Yameva-Leather-Manufacture/1S00OO1OZ,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005L2FP,,Yameva,,,,,,,,,,
"Shanghai Xinxiang Package Co., Ltd.",Chinese Mainland,,,"Professional Association, Government, Charity / Welfare Organisation, Manufacturer, Shopping Mall, Consulate and Trade Commission, Distributor, Department Store, Chain Store, Trade/Industrial Organisation, Export Agent, Buying Office, Buying Cooperative, Exporter, Retailer","Presentation Box,Bag and Pouch,Packaging Design,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Watch Packaging","Luxury Paper Bag, Paper Gift Box, Rigid Box, Perfume Box, Fragrance Gift Box, Corrugated Paper Box, Cosmetic Gift Box, Luxury Jewelry Box. We tailor every aspect of our packaging solutions to align with the values and aesthetics of luxury brands.","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025,,,ISO9001 Issued By YOUKASI Type ISO_9001 Valid Date 07 Mar 2025 - (N/A) FSC Issued By FSC Type FSC Valid Date 15 Dec 2019 - (N/A) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SHANGHAI-XINXIANG-PACKAGE-CO-LTD-/1S00OVW6M,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LMQ8,,,,,,,,,,,,
"Shantou GLD Arts & Crafts Co., Ltd.",Chinese Mainland,,,,"Bag and Pouch,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Jewelry Packaging & Display,Watch Packaging","Printing paper boxes, pu leather boxes,jewelry boxes, cosmetic boxes,wine boxes,chocolate boxes, paper bag","OBM, ODM, OEM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 HKTDC Hong Kong Gifts & Premium Fair 2017 HKTDC Hong Kong Gifts & Premium Fair 2016 HKTDC Hong Kong International Printing and Packaging Fair 2016 HKTDC Hong Kong International Printing and Packaging Fair 2014 HKTDC Hong Kong Fashion Week for Fall/Winter 2011 HKTDC Hong Kong Fashion Week for Spring/Summer 2011 HKTDC Hong Kong Fashion Week for Fall/Winter 2010 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shantou-GLD-Arts-Crafts-Co-Ltd/1X00QCS8,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LRGX,,,,,,,,,,,,
"Shenzhen Xin Zesen Printing Co., Ltd.",Chinese Mainland,,,"Statutory Body, Importer, Wholesaler, Chain Store, Manufacturer, Shopping Mall, Retailer, Buying Office, Buying Cooperative","Presentation Box,Cosmetics Packaging,Luxury Packaging,Jewelry Packaging & Display","Gift boxes, jewelry boxes, color boxes",OEM,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC International Sourcing Show 2021 HKTDC Hong Kong International Printing and Packaging Fair 2020 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Electronics Fair (Spring Edition) 2019,,,FSC Issued By - Type - Valid Date (N/A) - (N/A) ISO9001 Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Xin-Zesen-Printing-Co-L-td-/1X0AQ36L,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005L28A,,,,,,,,,,,,
"XIAMEN BAG IMP. & EXP. CO., LTD.",Chinese Mainland,,,,"Bag and Pouch,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Jewelry Packaging & Display","CYR takes pride in providing a diverse range of eco-friendly, versatile packaging products. Our offerings, including eco paper bags, corrugated bags, boutique gift bags, and non - woven bags, meet the unique needs of various industries",Others,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 HKTDC Lifestyle Sourcing Show | Physical + Online HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2016 HKTDC Hong Kong International Printing & Packaging Fair 2015 HKTDC Hong Kong International Printing and Packaging Fair 2014 Hong Kong International Printing & Packaging Fair 2013,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Bag-Import-Export-Co-Ltd/1X07WJQP,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LRF0,,CYR,,,,,,,,,,
"Xiamen Packrich Imp. and Exp. Co., Ltd.",Chinese Mainland,,,,"Cosmetics Packaging,Wine Packaging,Luxury Packaging,Jewelry Packaging & Display","Shopping bag, Garment bag, Wedding Dress cover, Cotton bag , cosmetic bag, Paper bag, Paper box","Others, OEM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 HK Int'l Printing & Packaging Fair 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC International Sourcing Show 2021 HKTDC Hong Kong International Printing and Packaging Fair 2020 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Packrich-Imp-And-Exp-Co-Ltd/1X07WM24,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LRE3,,PACKRICH,,,,,,,,,,
Midas Printing International Limited,Hong Kong    |    Factory in Chinese Mainland,,"Leveraging our strengths in book printing, Midas ventured into the luxury packaging business in 2009. Over the past 10 years, we have produced many iconic projects for top international fashion, cosmetics, and jewelry brands, along with unique collaborations with hospitality, food, and beverage companies worldwide. With the growth of complexity and sophistication in packaging, we have invested heavily in areas such as precision engineering, automatic machinery, structural computer software, and enterprise systems, and we continuously work with industry experts to help us thrive in this ever-changing landscape.","Manufacturer, Exporter","Presentation Box,Bag and Pouch,Velvet Boxes/Bags,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Jewelry Packaging & Display,Tubes Packaging,Watch Packaging","Our skiful workers and advanced facilities provide an optimal platform and capability for packaging printing, such as gift boxes, packaging boxes, wrapping paper for consumer products like wines & spirits, cosmetics.",ODM,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Midas-Printing-International-Limited/1X09Z8UI,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005IT07,,,,,,,,,,,,
DONGGUAN TAILIAN PACKING LIMITED,Chinese Mainland,,,,"Handmade Paper,Special Paper and Materials,Presentation Box,Bag and Pouch,Packaging Cap and Closure,Luxury Packaging","With nearly 40 years of experience in the retail and luxury packaging trade, GoodBox’s self-owned global service network works with clients worldwide to provide a wide range of high-quality packaging options with unparalleled expertise and value.","OBM, OEM, ODM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Tailian-Packing-Limited/1S00O9XLC,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005L2HJ,,GoodBox,,,,,,,,,,
"Dongguan Shishangmei Printing Co., Ltd.",Chinese Mainland,,,,"Bag and Pouch,Jewelry Packaging & Display",We are the professional manufacturer with over 15 years experience focus on paper bag.,"OEM, OBM, ODM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017 HKTDC Hong Kong International Printing and Packaging Fair 2016 HKTDC Hong Kong International Printing & Packaging Fair 2015,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Shishangmei-printing-Co-Ltd/1X091H4H,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LRLI,,Paper bag,,,,,,,,,,
"Guangdong Bosing Paper Packaging & Printing Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,"Guangdong Bosing Paper Packaging&Printing Co., Ltd. Cake boxes Corrugated &Carton Boxes Food Packaging Box Gift Boxes Paper Bags Wine & Milk Box Mailer box Other Products","Wholesaler, Manufacturer, Exporter, Retailer","Presentation Box,Silk Boxes/Bags,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Watch Packaging,Art Printing",Cake boxes; Corrugated & Carton Boxes; Food Packaging Box Gift Boxes; Paper Bags; Wine & Milk Box; Mailer box & Other Products,"OEM, ODM, OBM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2016 HKTDC Hong Kong International Printing & Packaging Fair 2015,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Bosing-Paper-Printing-Packaging-Co-Ltd-/1X08ZWDZ,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005L1WB,,,,,,,,,,,,
Wenzhou Lovedoor Group Co Ltd,Chinese Mainland,,,,"Bag and Pouch, Glasses Packaging, Luxury Packaging, Velvet Box / Bag, Packaging Design, Jewelry Packaging & Display, Wooden Box and Case, Presentation Box, Wine Packaging, Watch Packaging",Bags / Pouches; Box - Presentation; Box & case-wood; Jewelry Packaging & Display; Labels / Tags; Packaging Design; Luxury Packaging; Luxury Packaging; ribbon (cut-Edge); Wine packaging,"OEM, OBM, ODM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 HKTDC Hong Kong International Optical Fair 2025 DeLuxe PrintPack Hong Kong 2025 HKTDC Hong Kong International Optical Fair 2024 HKTDC Hong Kong International Optical Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wenzhou-Lovedoor-Group-Co-Limited/1S00OGDBQ,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LRC9,,LOVEDOOR,www.lantupackaging.com,,,,,,,,,
"Yiwu Bravo paper products Co., Ltd.",Chinese Mainland,,,,"Handmade Paper,Special Paper and Materials,Presentation Box,Bag and Pouch,Packaging Design,Luxury Packaging","Craft paper boxes, gift boxes, jewelry boxes, cosmetics boxes, gift paper bags, printed ribbons","OBM, OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026 DeLuxe PrintPack Hong Kong 2025,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Bravo-paper-products-Co-Ltd-/1S00P0VJK,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LRNC,,Pack Packaging,,,,,,,,,,
Zenith Packaging Industry Limited,Chinese Mainland,,"Box-presentation ,Box&Case-Wood Cigar packaging","Government, Mail Order Co., Private Individual, Import Agent, Service Company, Distributor, Retailer, Department Store, Others, Buying Cooperative, Shopping Mall, Importer, Consulate and Trade Commission, Trade/Industrial Organisation, Manufacturer, Charity / Welfare Organisation, Religious Group, Chain Store, Professional Association, Wholesaler, Statutory Body, Buying Office","Wooden Box and Case,Silk Boxes/Bags,Velvet Boxes/Bags,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Watch Packaging,Cigar Packaging","Box-presentation ,Box&Case-Wood Cigar packaging","OBM, ODM, OEM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zenith-Packaging-Industry-Limited/1X0A04N1,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LMTZ,,,,,,,,,,,,
