[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ts/active-wsd-capital-works-contracts/index.html  | ✓ | ⏱: 11.00s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=47  | ✓ | ⏱: 0.95s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=47  | ✓ | ⏱: 7.79s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=48  | ✓ | ⏱: 0.32s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=48  | ✓ | ⏱: 8.08s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=49  | ✓ | ⏱: 6.47s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=49  | ✓ | ⏱: 0.55s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=49  | ✓ | ⏱: 0.13s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=49  | ✓ | ⏱: 7.21s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=50  | ✓ | ⏱: 6.47s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=50  | ✓ | ⏱: 0.37s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=5  | ✓ | ⏱: 7.24s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=5  | ✓ | ⏱: 0.45s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=50  | ✓ | ⏱: 0.49s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=50  | ✓ | ⏱: 7.38s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=5  | ✓ | ⏱: 0.19s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=5  | ✓ | ⏱: 7.92s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=51  | ✓ | ⏱: 6.44s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=51  | ✓ | ⏱: 0.81s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=52  | ✓ | ⏱: 7.04s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=52  | ✓ | ⏱: 0.44s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=51  | ✓ | ⏱: 0.45s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=51  | ✓ | ⏱: 7.81s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=52  | ✓ | ⏱: 0.17s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=52  | ✓ | ⏱: 7.70s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=53  | ✓ | ⏱: 5.97s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=53  | ✓ | ⏱: 0.30s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=53  | ✓ | ⏱: 0.72s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=53  | ✓ | ⏱: 7.13s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=55  | ✓ | ⏱: 6.72s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=55  | ✓ | ⏱: 0.27s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=54  | ✓ | ⏱: 7.23s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=54  | ✓ | ⏱: 0.52s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=55  | ✓ | ⏱: 0.54s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=55  | ✓ | ⏱: 7.67s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=54  | ✓ | ⏱: 0.41s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=54  | ✓ | ⏱: 8.27s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=56  | ✓ | ⏱: 6.31s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=56  | ✓ | ⏱: 0.57s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=57  | ✓ | ⏱: 6.72s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=57  | ✓ | ⏱: 0.67s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=56  | ✓ | ⏱: 0.68s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=56  | ✓ | ⏱: 7.66s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=57  | ✓ | ⏱: 0.23s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=57  | ✓ | ⏱: 7.68s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=58  | ✓ | ⏱: 5.59s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=58  | ✓ | ⏱: 0.29s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=58  | ✓ | ⏱: 0.11s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=58  | ✓ | ⏱: 6.04s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=59  | ✓ | ⏱: 6.70s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=59  | ✓ | ⏱: 0.35s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=59  | ✓ | ⏱: 0.14s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=59  | ✓ | ⏱: 7.28s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=6  | ✓ | ⏱: 6.94s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=6  | ✓ | ⏱: 0.25s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=6  | ✓ | ⏱: 0.30s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=6  | ✓ | ⏱: 7.54s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=60  | ✓ | ⏱: 4.58s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=60  | ✓ | ⏱: 0.23s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=60  | ✓ | ⏱: 0.11s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=60  | ✓ | ⏱: 4.98s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=61  | ✓ | ⏱: 6.08s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=61  | ✓ | ⏱: 0.98s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=61  | ✓ | ⏱: 0.43s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=61  | ✓ | ⏱: 7.67s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=62  | ✓ | ⏱: 7.12s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=62  | ✓ | ⏱: 0.40s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=62  | ✓ | ⏱: 0.18s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=62  | ✓ | ⏱: 7.77s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=63  | ✓ | ⏱: 6.97s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=63  | ✓ | ⏱: 0.34s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=63  | ✓ | ⏱: 0.22s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=63  | ✓ | ⏱: 7.58s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=64  | ✓ | ⏱: 7.24s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=64  | ✓ | ⏱: 0.25s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=65  | ✓ | ⏱: 6.95s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=65  | ✓ | ⏱: 0.44s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=64  | ✓ | ⏱: 0.45s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=64  | ✓ | ⏱: 8.00s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=65  | ✓ | ⏱: 0.20s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=65  | ✓ | ⏱: 7.64s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=66  | ✓ | ⏱: 5.36s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=66  | ✓ | ⏱: 0.22s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=66  | ✓ | ⏱: 0.11s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=66  | ✓ | ⏱: 5.74s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=67  | ✓ | ⏱: 6.07s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=67  | ✓ | ⏱: 1.47s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=67  | ✓ | ⏱: 0.85s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=67  | ✓ | ⏱: 8.48s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=68  | ✓ | ⏱: 7.58s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=68  | ✓ | ⏱: 0.30s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=7  | ✓ | ⏱: 7.77s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=7  | ✓ | ⏱: 0.29s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=68  | ✓ | ⏱: 0.37s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=68  | ✓ | ⏱: 8.33s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=69  | ✓ | ⏱: 8.20s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=69  | ✓ | ⏱: 0.32s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=7  | ✓ | ⏱: 0.52s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=7  | ✓ | ⏱: 8.66s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=70  | ✓ | ⏱: 7.25s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=70  | ✓ | ⏱: 0.33s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=69  | ✓ | ⏱: 0.42s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=69  | ✓ | ⏱: 9.01s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=70  | ✓ | ⏱: 0.19s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=70  | ✓ | ⏱: 7.84s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=71  | ✓ | ⏱: 5.01s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=71  | ✓ | ⏱: 0.29s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=71  | ✓ | ⏱: 0.12s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=71  | ✓ | ⏱: 5.49s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=72  | ✓ | ⏱: 5.90s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=72  | ✓ | ⏱: 0.26s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=73  | ✓ | ⏱: 5.38s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=73  | ✓ | ⏱: 0.32s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=72  | ✓ | ⏱: 0.44s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=72  | ✓ | ⏱: 6.63s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=74  | ✓ | ⏱: 5.86s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=74  | ✓ | ⏱: 0.33s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=73  | ✓ | ⏱: 0.76s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=73  | ✓ | ⏱: 6.51s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=75  | ✓ | ⏱: 6.26s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=75  | ✓ | ⏱: 0.30s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=74  | ✓ | ⏱: 0.45s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=74  | ✓ | ⏱: 6.69s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=75  | ✓ | ⏱: 0.22s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=75  | ✓ | ⏱: 6.86s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=76  | ✓ | ⏱: 6.21s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=76  | ✓ | ⏱: 0.39s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=76  | ✓ | ⏱: 0.44s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=76  | ✓ | ⏱: 7.08s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=77  | ✓ | ⏱: 5.99s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=77  | ✓ | ⏱: 0.25s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=77  | ✓ | ⏱: 0.09s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=77  | ✓ | ⏱: 6.38s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=8  | ✓ | ⏱: 5.67s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=8  | ✓ | ⏱: 0.19s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=8  | ✓ | ⏱: 0.09s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=8  | ✓ | ⏱: 5.99s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=9  | ✓ | ⏱: 5.92s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=9  | ✓ | ⏱: 0.25s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=9  | ✓ | ⏱: 0.10s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=9  | ✓ | ⏱: 6.32s 
