"group src","heading","web","web 2","list-group-item-text","sector_block","sector_block 2","sector_block 3","sector_block 4","btn href","sector_block 5","sector_block 6","sector_block 7","sector_block 8","sector_block 9","sector_block 10","sector_block_outer","sector_block_outer href"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57093/thumb_wubk1C2Yo8hI-1778736484.png","Blackhoods Inc","Stand No- H1.2-A20, 1.2","Republic Of Korea","Blackhoods Inc. is a South Korean B2B SaaS startup founded in 2023, operating CURI AI — an AI-powered 1:1 deep interview platform built on proprietary sLM, RAG technology.

CURI AI replaces traditional qualitative re ...","Artificial Intelligence","Big Data & Analytics","Business & professional services","Cloud Services","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/blackhoods-inc","Speech Recognition","Artificial Intelligence","Data Analytics","Digital Transformation","Visual Analytics","Platform as a Service - PaaS","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/blackhoods-inc"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56443/thumb_2054_56443_55347_9951.png","BLADE","Stand No- H2.2-A57, 2.2","Serbia","BLADE is an Autonomous Security Intelligence (ASI) platform designed to reduce SOC complexity at its core.

Unlike traditional SIEM, SOAR, or XDR solutions, BLADE eliminates up to 99% of log noise instead of generating ...","Cyber security","Big Data & Analytics","Analytics as a service","Artificial Intelligence","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/blade","Business Intelligence","Dashboard","Data Analytics","Data Visualisation","Deep Learning","Extract, transform, load - ETL","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/blade"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57280/thumb_Je4lC35ZpnFG-1779120335.png","blendX","Stand No- H2.2-D60, 2.2","Italy","blendX is a modular, AI-powered platform that enables complex organisations to manage their innovation processes — from collecting and classifying innovation needs to intrapreneurship initiatives, startup scouting, call4solution ...","Artificial Intelligence","Software Product","Software Services","Big Data & Analytics","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/blendx","Incubator/Accelerator/Investment","Data Extraction","Pattern Recognition","Planning and Optimization","Data Analytics","Data Management","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/blendx"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56659/thumb_O7qzW3LCEkmU-1777381686.png","BlueCat Networks","Stand No- H2.2-D10, 2.2","Canada","BlueCat helps enterprises modernize, secure, and optimize their networks through its Intelligent NetOps platform. It unifies core network services—DNS, DHCP, and IP address management (DDI)—to provide centralized control and a ...","Cyber security","Software Product","5G & Telecommunications","Networking & Infrastructure","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/bluecat-networks","Data Centres","Monitoring & Management Tools","Enterprise Software Application","Domain Name Systems","Connectivity","Network & Infrastructure Security","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/bluecat-networks"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57356/thumb_rmuhOfRp70s8-1779292522.png","Blum Institute","Stand No- H2.2-B90, 2.2","Bosnia and Herzegovina","Blum Institute for Artificial Intelligence Research is Bosnia and Herzegovina's first dedicated AI research institute, backed by Bloomteq (110+ engineers). Named after industrialist Emerik Blum, the Institute runs two specialized  ...","Artificial Intelligence","Big Data & Analytics","Blockchain","Coding and Development","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/blum-institute","Business & professional services","AI-optimized Hardware","Chatbots / Virtual Assistant","Computer Vision","Content Creation","Data Extraction","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/blum-institute"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54031/thumb_2054_54031_52952_5200.png","BOSTON LIMITED","Stand No- H1.2-05, 1.2","United Kingdom","Boston Limited is an engineering-led solutions company specialising in complex compute and data centre infrastructure. We work across AI, high-performance computing, storage and networking to co-design architectures that meet each ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/boston-limited","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57038/thumb_L31QrSXljfaK-1778159825.png","BotPenguin","Stand No- H4.2-C119, 4.2","India","BotPenguin is an omnichannel AI Automation Platform offering AI Agents, Voice Bots, and Chatbots that help businesses automate sales, marketing, customer support, and engagement across chat and voice. Companies can deploy them on  ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/botpenguin","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56893/thumb_D2K4C7A5t3Mq-1777289949.png","BOUDECHICHA IMADEDDINE","Stand No- H4.2-G36, 4.2","Algeria","I have not yet started the project we are on etude...
Our company is focused on: blockchain+ai","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/boudechicha-imadeddine","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54061/thumb_kW9cF0BL7neR-1779616821.png","Bridges","Stand No- H1.2-17, 1.2","Israel","Bridges is a software tool enhancing Knowledge-workers productivity and Data-driven decision making.
Bridges connects to all corporate systems, and enables immediate information access, to corporate data at a single click!","Artificial Intelligence","Software Product","Big Data & Analytics","Data Extraction","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/bridges","Planning and Optimization","Applications","Business Intelligence","Dashboard","Data Analytics","Data Architecture","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/bridges"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57206/thumb_URHnS7Z8ipz3-1779098178.png","BROME Consulting Et Technologie","Stand No- H2.2-A30, H2.2-A40, 2.2","France","BROME Consulting & Technology is a leading consulting firm specializing in management consulting, information systems, and digital transformation.

Built on the expertise of professionals in both consulting and technol ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/brome-consulting-et-technologie","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57067/thumb_pzehwclYgBkV-1779113863.png","BTU Cottbus-Senftenberg/Lausitz Science Park","Stand No- H4.2-B10, 4.2","Germany","Lausitz Science Park is an emerging innovation ecosystem in Lusatia, Germany, designed to connect science, business, startups and society to accelerate sustainable industrial transformation. Initiated by the Brandenburg University ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/btu-cottbus-senftenberglausitz-science-park","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/55566/thumb_wcNsISYnDzFZ-1779945399.png","Bulgarian SME Promotion Agency (BSMEPA","Stand No- H4.2-D80, 4.2","Bulgaria","BSMEPA is a governmental organization dedicated to supporting the development, competitiveness, and internationalization of Bulgarian SMEs.

BSMEPA promotes innovation, entrepreneurship, technology transfer, and sustai ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/bulgarian-sme-promotion-agency-bsmepa","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2054/07__GITEX_EUROPE_2026_NEW_LOGO_COLOR.png","Bundesdruckerei GmbH","Stand No- H4.2-B10, 4.2","Germany","","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/bundesdruckerei-gmbh","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/55562/thumb_2054_55562_54466_1955.png","Bundesverband Auswandererberatung & Aussenwirtschaftsfoerderung e.V","Stand No- H2.2-A50, 2.2","Germany","The Federal Association for Emigration Consulting  and Foreign Trade Promotion (BVAA) is the central organization of qualified emigration consultants and foreign trade experts who support German companies in their entry into the m ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/bundesverband-auswandererberatung-aussenwirtschaftsfoerderung-e-v","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57165/thumb_pDVTZmA6aMLO-1779368298.png","BUSAN TECHNOPARK","Stand No- H1.2-A20, 1.2","Republic Of Korea","As a regional hub for technological innovation, we create and support the growth engines for local SMEs to take the lead and secure a leading position during the era of major energy and digital transformations for carbon neutralit ...","Cyber security","Software Services","Blockchain","Coding and Development","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/busan-technopark","Incubator/Accelerator/Investment","Blockchain","Developer Tools / Platforms","Network & Infrastructure Security","Data Analytics & Automation","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57395/thumb_vI2iW3e9wYHa-1779890986.png","BusinessCode GmbH","Stand No- H2.2-D53, 2.2","Germany","BusinessCode is a trusted software partner for digital supply chain transformation. We design intelligent, scalable solutions that help companies optimize logistics, automate processes, and gain end-to-end visibility across comple ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/businesscode-gmbh","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57088/thumb_bhdkzgDWoCGQ-1778084612.png","BXT SRL","Stand No- H4.2-B60, 4.2","Italy","Penelope is an AI-native platform designed to meet the needs of a new generation of investors—demanding speed, transparency, and control.
It delivers short-term market predictions (1, 3, 5 days) across equities, forex, com ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/bxt-srl","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2054/07__GITEX_EUROPE_2026_NEW_LOGO_COLOR.png","Calibrion AI","Stand No- H4.2-G35, 4.2","Germany","","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/calibrion-ai","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54694/i0WTuXQPVbwF-1777887925.png","Carbonsate","Stand No- H4.2-G05, H4.2-G06, 4.2","Germany","Carbonsate builds the infrastructure for durable carbon removal from waste wood. Each year, millions of tons of wood residues are burned or left to decay, releasing CO?. We turn this underutilized resource into a climate solution  ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/carbonsate","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57163/thumb_9kXAGaLY8mWV-1778677674.png","CentraLogic","Stand No- H2.2-A84, 2.2","India","CentraLogic is an ISO 27001 certified global digital transformation company delivering secure, scalable and AI-driven technology solutions across India, UK, USA, Australia and the Gulf region. With 15+ years of experience and 200+ ...","Software Services","Coding and Development","Digital Finance","Retail Tech","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/centralogic","Creative Economy","Artificial Intelligence","Research and Development","Banking Solutions","Customer Experience & Retention - AI & Machine Learning","Supply Chain & Logistics - Automation","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/centralogic"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2054/07__GITEX_EUROPE_2026_NEW_LOGO_COLOR.png","Certum (Asseco Data Systems)","Stand No- H2.2-D65, 2.2","Poland","","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/certum-asseco-data-systems","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57052/thumb_lZx8Pw4DK53j-1779280730.png","Ch-Bioforce Oy","Stand No- H4.2-B70, 4.2","Finland","CH-Bioforce provides a sustainable, high?performance alternative to fossil?based raw materials at a time when industries face growing regulatory pressure, rising material costs, and increasing consumer demand for environmentally r ...","Sustainability & Green Climate - Tech","Food & Agriculture","Sustainable Systems - Recycling","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/ch-bioforce-oy","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56605/thumb_2054_56605_55509_5270.png","Chatdok","Stand No- H4.2-C60, 4.2","Germany","Chatdok is an AI-native health company building continuous, preventive cardiovascular care infrastructure powered by multimodal AI and intelligent agents. Chatdok closes the episodic chronic care gap with an AI platform that integ ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/chatdok","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57244/thumb_pNKB64a0ZYlo-1779283985.png","Chatislav - AI agents platform","Stand No- H1.2-C50, 1.2","Serbia","Meraxes Solutions & Services is a technology company with stong expertise in R&D of generative AI. It develops in-house LLM, TTS, ASR models and its own infrastructure. Meraxes flagship product is Chatislav - platform for building ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/chatislav-ai-agents-platform","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56746/thumb_1QJeHiNRqEOX-1778092906.png","CHECKSIG","Stand No- H4.2-B60, 4.2","Italy","CheckSig is an Italian fintech offering a regulated infrastructure for crypto-asset custody and trading for both financial institutions and private investors.

Our technology is designed to make digital assets safer, c ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/checksig","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57210/thumb_vgX2aO3hfr81-1778693360.png","CircularPlace","Stand No- H4.2-C85, H4.2-C86, 4.2","France","CircularPlace is a B2B SaaS platform that helps organizations activate the second life of professional assets. It gives companies visibility over available equipment, qualifies assets with AI-assisted photo recognition, and enable ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/circularplace","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57053/thumb_VA63CLu5jcyf-1779718496.png","Classiq Technologies Ltd","Stand No- H4.2-B70, 4.2","Israel","Classiq provides a high-level quantum software platform for enterprise-grade quantum software engineering, enabling teams to design, synthesize, and optimize scalable quantum applications across diverse quantum hardware architectu ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/classiq-technologies-ltd","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57434/thumb_oPeR5OnMNItQ-1779742254.png","CloudFerro","Stand No- H2.2-D65, 2.2","Poland","CloudFerro is a sovereign European cloud provider delivering infrastructure, data and AI services for mission-critical workloads. Operated under full EU jurisdiction and built on an open-source foundation, CloudFerro helps enterpr ...","Big Data & Analytics","Blockchain","Coding and Development","AgriTech & FoodTech","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cloudferro","Cloud Services","Cloud Solutions","Cloud Solutions","Analytics","Applications including Development, Deployment & Design","Big Data & Analytics","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cloudferro"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54027/thumb_u3Xhnkqbfr72-1776777053.png","Cloudflare","Stand No- H1.2-B70, 1.2","United States of America","Cloudflare, Inc. (NYSE: NET) is the leading connectivity cloud company on a mission to help build a better Internet. It empowers organizations to make their employees, applications and networks faster and more secure everywhere, w ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cloudflare","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/55766/thumb_2054_55766_54670_3397.png","ClubMOS Blockchain Ecosystem","Stand No- H2.2-D49, 2.2","United Arab Emirates","ClubMOS Blockchain Ecosystem is a next-generation Web3 platform delivering scalable, secure, and user-friendly blockchain solutions. It integrates DeFi, tokenization, and real-world utility into a unified infrastructure for global ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/clubmos-blockchain-ecosystem","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57381/thumb_0UbHSw2mJdQ7-1779442398.png","Cockroach Labs UK Limited","Stand No- H1.2-22, 1.2","United States of America","Cockroach Labs is a pioneering software company revolutionizing how businesses manage data. With its cloud-native distributed SQL database, CockroachDB, the company delivers resilience, consistency, and effortless scale for missio ...","Big Data & Analytics","Blockchain","Coding and Development","Cloud Services","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cockroach-labs-uk-limited","Data Centres","Cloud Solutions","Data Architecture","Data Infrastructure","Data Management","Devops","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cockroach-labs-uk-limited"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56612/thumb_dhLAqQYWNMFw-1777274419.png","Code Castle","Stand No- H2.2-C10, 2.2","El Salvador","Code Castle is a strategic technology partner specialized in designing, developing, and scaling high-impact digital solutions for companies across the Americas and Europe.

With over a decade of experience, we help org ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/code-castle","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56932/thumb_4mNLXu2Ox1zV-1778244915.png","Cogita AI","Stand No- H4.2-35, H4.2-36, 4.2","Poland","COGITA AI was created by a team of AI researchers and engineers who saw the same pattern repeat across large organizations: endless pilots, fragmented strategies, and tools that never reached production.

We set out to ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cogita-ai","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/55767/thumb_2VLQjxkyDzem-1777541704.png","Commerzbank AG","Stand No- H4.2-33, 4.2","Germany","Startup Hub Commerzbank AG","Incubator/Accelerator/Investment","Digital Finance","Loyalty","Payments / Wallets / Exchange Gateways","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/commerzbank-ag","Payment Gateways","Insurance Solutions","Digital Payment","Core Banking Solutions","Card Service Card","Banking Solutions","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/commerzbank-ag"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54044/thumb_2054_54044_52965_8713.png","COMMSCOPE","Stand No- H1.2-41, 1.2","United States of America","CommScope pushes the boundaries of communications technology with game-changing ideas and ground-breaking discoveries that spark profound human achievement. We collaborate with our customers and partners to design, create and buil ...","Artificial Intelligence","5G & Telecommunications","Broadband Services","Data Centres","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/commscope","Mobile Telecommunications & 5G","Service Providers","Telecommunication Integration & Equipment Services","AI-optimized Hardware","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56998/thumb_WVk9jefIJyMq-1777880350.png","CompositeEdge GmbH","Stand No- H4.2-E03, 4.2","Germany","CompositeEdge is an innovative company focused on scalable, automated production of fiber-reinforced composites. With a strong commitment to sustainability, we develop technologies that enable the use of recyclable materials and s ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/compositeedge-gmbh","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54415/thumb_2054_54415_53334_5136.png","Compuvi","Stand No- H4.2-E32, H4.2-E33, 4.2","United States of America","Compuvi is an AI-powered shield for a company’s digital presence and communications. Compuvi helps organizations prevent legal, privacy, and compliance risks before they emerge by continuously monitoring and understanding everyd ...","Cyber security","Artificial Intelligence","Digital Finance","RegTech / Audit / Regulatory Compliance","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/compuvi","Legal, Regulations, Investigations & Compliance","Predictive APIs","Natural Language Processing (NLP)","Machine Learning","Chatbots / Virtual Assistant","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56617/thumb_2054_56617_55521_8674.png","COPA","Stand No- H2.2-A10, 2.2","Armenia","COPA | Common Operational Picture Analytics is an applied AI solutions company helping public, international, and private-sector decision makers turn complex information into clarity. Across political risk, GovTech, DemTech, and R ...","Artificial Intelligence","Big Data & Analytics","Chatbots / Virtual Assistant","Data Extraction","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/copa","Machine Learning","Natural Language Processing (NLP)","Optical character recognition (OCR)","Natural Language Generation (NLG)","Neural Networks","Pattern Recognition","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/copa"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57371/thumb_xj6r7YdlNSfz-1779275425.png","Cork & Code Limited","Stand No- TBC, 4.2","Malta","Entwine is a Malta-based wine technology company building the future of wine for restaurants and diners.
Our dual platform pairs a consumer app with a restaurant SaaS. The app uses LLMs to deliver pairing recommendations gro ...","Software Services","Big Data & Analytics","AgriTech & FoodTech","Cloud Services","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cork-code-limited","Cloud Solutions","Data Management","Business Intelligence","Dashboard","Data Analytics","Data Management","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cork-code-limited"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57241/thumb_ipY4yorEPRND-1778660124.png","Cortech","Stand No- H1.2-C50, 1.2","Serbia","Cortech is a technology leader dedicated to the digital transformation of the transportation and
logistics industry. Established in a deep understanding of operational challenges and backed by over 15 years of experience, th ...","Future Mobility & Transportation","Software Product","Fleet Management","Fleet & Logistics Solutions","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cortech","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54688/thumb_2054_54688_53603_3571.png","COSMIKAL S.L","Stand No- H2.2-28.1, 2.2","Spain","Cosmikal is a Spanish company that manufactures cybersecurity solutions focused on the protection of organizations’ critical assets. We specialize in shielding access to assets, systems, and devices in IT and OT environments, in ...","Media, Marketing & Advertising Tech","3D Printing & Printing Services","Blockchain","Data Centres","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cosmikal-s-l","Ecommerce","Connectivity","Compliance & Risk Management","Industrial 3D Printing","Equipment / Hardware","Digital Asset Management","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cosmikal-s-l"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2054/07__GITEX_EUROPE_2026_NEW_LOGO_COLOR.png","Costvise","Stand No- TBC, TBC","Austria","","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/costvise","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54043/thumb_2054_54043_52964_3976.png","CRAFTCODE AG","Stand No- H1.2-D10, 1.2","Switzerland","Founded in 1989 in Switzerland, CraftCode is a globally active IT company committed to designing, building, and supporting digital systems that drive transformation and sustainable growth. With over three decades of experience, we ...","Internet of Things (IOT)","Artificial Intelligence","Software Services","Coding and Development","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/craftcode-ag","AgriTech & FoodTech","AI & Nutrition","Agricultural Machinery And Equipment","Agri-Data and Analytics","Aeroponics, Hydroponics","Speech Recognition","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/craftcode-ag"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54033/thumb_DHr3sAUSIEOX-1779877008.png","Creentech-NESS","Stand No- H1.2-23.2, 1.2","Türkiye","As Creentech, we are not just a service provider in the technology world—we are a solution partner shaping the future. By delivering tailor-made solutions to meet our customers’ needs, we strengthen their competitive advantage ...","HealthTech","Software Services","3D Printing & Printing Services","Quantum & High Performance Computing","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/creentech-ness","Networking & Infrastructure","Application integration and infrastructure","Visualization - Services","Visualization - Hardware","Storage - Services","Storage - Hardware","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/creentech-ness"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54035/thumb_2054_54035_52956_1004.png","Crossware Limited","Stand No- H1.2-01, 1.2","New Zealand","Crossware Email Signature is the premier global solution for professional and consistent email signatures, compatible with a wide range of platforms including Microsoft 365 (previously known as Office 365), Google WorkSpace, Micro ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/crossware-limited","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57355/thumb_LevagA3uldVG-1779199169.png","CVD Portal","Stand No- H2.2-B90, 2.2","Bosnia and Herzegovina","CVD Portal is purpose-built regulatory infrastructure for the EU Cyber Resilience Act (CRA).
From 11 September 2026, manufacturers, importers and distributors of products with digital elements must report actively exploited  ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cvd-portal","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56751/thumb_xgulPRJdKHI6-1778578148.png","CYBERNEID SOCIETA' A RESPONSABILITA' LIMITATA","Stand No- H4.2-B60, 4.2","Italy","Cyberneid is an Italian startup specialized in artificial intelligence, electronic identity, and blockchain. We design and deliver AI-powered solutions for identity proofing, KYC, digital signatures, biometric authentication, and  ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cyberneid-societa-a-responsabilita-limitata","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57006/thumb_yg2kIDluPVZH-1779796780.png","CYBERTEC PostgreSQL","Stand No- H2.2-22, 2.2","Austria","CYBERTEC is a full-service IT provider and a globally recognized authority in the PostgreSQL open source database landscape offering a wide range of products and services. With over 25 years of specialized expertise, CYBERTEC is h ...","Artificial Intelligence","Big Data & Analytics","Blockchain","Business & professional services","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cybertec-postgresql","Cloud Services","Business Continuity, Back-up & Disaster Recovery","Big Data & Analytics","Applications including Development, Deployment & Design","Analyst","Infrastructure and  Development","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cybertec-postgresql"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56347/thumb_2054_56347_55251_2405.png","Cygrid GmbH","Stand No- H2.2-17.1, 2.2","Germany","Cygrid turns identity data into quantified risk scores and automated enforcement, delivering predictable risk reduction and measurable ROI. 

Our solution uses AI agents to continuously assess identity risk and reduce  ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/cygrid-gmbh","","","","","","","",""
