"toggler","stand","country","img-holder src","additional","visit-us 2","button","button href","button href 2","categories","subcategory","subcategory href","divider","subcategory 2","subcategory href 2","divider 2","subcategory 3","subcategory href 3","divider 3","subcategory 4","subcategory href 4"
"HENAN FEITIAN BIOTECHNOLOGY CO., LTD","C3R27","China","https://www.ingredientsnetwork.com/c250484img_XL-comp250484.jpg","Henan Feitian Agricultural Development Stock Co., Ltd is a manufacturer  of maltodextrin,dextrose monohydrate , wheat gluten, wheat starch, Spirulina powder, Chlorella, Ginkgo biloba extract and etc.","stand C3R27","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/25/04/84/exhibitor250484-596.html","Categories:","Blue-Green algae","https://www.ingredientsnetwork.com/blue-green-algae-code015536.html","|","Chlorella","https://www.ingredientsnetwork.com/chlorella-code015537.html","|","Corn syrup","https://www.ingredientsnetwork.com/corn-syrup-code016062.html","|","Dextrin","https://www.ingredientsnetwork.com/dextrin-code015726.html"
"Henan Golden Corn Biotechnology Co., Ltd.","D2C45","China","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand D2C45","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/48/17/29/exhibitor481729-596.html","","","","","","","","","","","",""
"Henan Honest Industrial Co., Ltd.","C3K47","China","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand C3K47","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/28/16/04/exhibitor281604-596.html","","","","","","","","","","","",""
"Henan Honghui Biotechnology Co., Ltd.","C3N13","China","https://www.ingredientsnetwork.com/henanhonghui-comp253025.PNG","Henan Honghui Biotechnology Co Ltd is an experienced professional manufacturer of lactic acid and its derivatives in China. We are the first one in China which adopted advanced process and set up our plant in according to GMP, to produce all kinds of lactic acid and its derivatives.

The main products:-Calcium Lactate, Lactic acid powder (55% and 60%), Sodium Lactate Powder（90%-98%, Potassium lactate powder(90%-98%), Calcium Lactate gluconate, Magnesium Lactate, Zinc Lactate Powder, Ferrous Lactate, Potassium Lactate Liquid, and Sodium Lactate Liquid.

With continuous efforts in upgrading our products, we produce not only lactic acid and lactates, but also provide innovative value-added custom processing services such as custom blending by emphasizing stringent total quality assurance and food safety.

Currently, our lactic acid and lactates are already exported to Belgium, France, and Australia, Italy and 20 other countries and regions. Our company has always focused on R&D and innovation, and has recently developed new Sodium Lactate Powder(98%), Potassium lactate powder (98%) and blend lactic acid with citrate. We attained Kosher, Halal andISO22000(HACCP) certifications.","stand C3N13","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/25/30/25/exhibitor253025-596.html","Categories:","Calcium gluconate","https://www.ingredientsnetwork.com/calcium-gluconate-code015354.html","|","Calcium lactate","https://www.ingredientsnetwork.com/calcium-lactate-code015327.html","|","Ferrous lactate","https://www.ingredientsnetwork.com/ferrous-lactate-code015424.html","|","Ingredient Mixtures, Synbiotics","https://www.ingredientsnetwork.com/ingredient-mixtures-synbiotics-code015908.html"
"Henan Jindan Lactic Acid Technology Co., Ltd.","C3M12","China","https://www.ingredientsnetwork.com/JinDan-comp249802.jpg","Established in 1984, JINDAN is a professional producer of lactic acid, lactates and their blends with a total annual production capability of 180KMTs. The company is ISO9001, ISO22000, BRC, ISO45001, ISO14001, FAMI-QS, FDA, Kosher and Halal certified. Its lactic acid is REACH and BRP registered. In recent years, the group has been actively developing lactide, poly-lactic acid (PLA), PBAT and their compounds to contribute degradable and compostable bioplastics. 







To meet the requirements of the stringent European market and ensure reliable supply and short lead times, we set our Europe office in The Netherland in 2013. We have two ADR warehouses and oen non-ADR warehouse to guarantee optimal logistics from producer to local customers.","stand C3M12","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/24/98/02/exhibitor249802-596.html","Categories:","Calcium lactate","https://www.ingredientsnetwork.com/calcium-lactate-code015327.html","|","Emulsifiers, Stabilisers, Thickeners","https://www.ingredientsnetwork.com/emulsifiers-stabilisers-thickeners-code015443.html","|","Flavourings","https://www.ingredientsnetwork.com/flavourings-code015485.html","|","Gellan gum","https://www.ingredientsnetwork.com/gellan-gum-code015449.html"
"Henan Long Xiao Biotechnology Co.,Ltd","D1D06","China","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand D1D06","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/48/15/45/exhibitor481545-596.html","","","","","","","","","","","",""
"Henan Ruizhiqi Biotechnology Co., Ltd.","C2P34","China","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand C2P34","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/48/11/00/exhibitor481100-596.html","","","","","","","","","","","",""
"HENAN SUNNY FOODSTUFF CO.,LTD.","D1E15","China","https://www.ingredientsnetwork.com/download%20(7)-comp285369.png","Henan Sunny Foodstuff Co.,Ltd. is founded in 1992, is a professional manufacturer and exporter of dehydrated garlic, onion and paprika products. All products are certified with ISO9001,HACCP,OU,BRC ( A grade) and HALAL.
Our main products are dehydrated garlic flakes,dehydrated garlic granules,dehydrated garlic powder, black garlic, other products include dehydrated onion granules, dehydrated onion powder, paprika powder, dry chili, dehydrated ginger and many more.
Sunny Food consists of 150,000 square meters, including 40,000 square meters or 435000 square feet of warehouse and cold storage. And the annual production capacity is 50,000 MT.
Sunny Food serves over 200 customers from more than 60 countries and regions, and delivers 3 to 4 containers of dehydrated garlic products daily worldwide.  As of today, more than 10,000 containers have been delivered worldwide.
Sunny Food stands for superior quality, reliable supply !","stand D1E15","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/28/53/69/exhibitor285369-596.html","Categories:","Carrots","https://www.ingredientsnetwork.com/carrots-code015896.html","|","Garlic","https://www.ingredientsnetwork.com/garlic-code015595.html","|","Ginger","https://www.ingredientsnetwork.com/ginger-code015597.html","|","Onions","https://www.ingredientsnetwork.com/onions-code015902.html"
"Henan Tianmimi Sugar Industry Co., Ltd","D1F11","China","https://www.ingredientsnetwork.com/Screenshot%202023-08-29%20041743-comp314169.jpg","HENAN TIANMIMI SUGAR INDUSTRY CO.,LTD, located at DANCHENG COUNTY of HENAN PROVINCE, has a series of assembly lines for starch sugar products and 2gellan gum factories which produce nearly 1000tons high acyl gellan gum and low acyl gellan gum annually. We have more than 800 staffs(including 156 technicians and many experts from institutes for researching and developing new products). TIANMIMI SUGAR is one of the biggest comprehensive enterprise covering manufacturing, researching and marketing of deep-processing products on agricultural raw material in our province, honored with “High-Tech Enterprise”, “Leading Enterprise of Agricultural Industrialization Development”, “Top 20 Enterprise of China Starch Sugar Industry”, and “Excellent Enterprise of China Food Industry”.

We are now processing more than 20 kinds of products including: Low Acyl Gellan Gum; High Acyl Gellan Gum; Corn Starch; Maltose Syrup; Glucose Syrup; Dextrose Monohydrate; Dextrose Anhydrous; Isomaltooligosaccharide(IMO); Maltodextrin; VC Grade Liquid Sorbitol; Food Grade Liquid Sorbitol; Chemical Grade Liquid Sorbitol; Liquid Maltitol; Non-Dairy Creamer; Corn Peptides Powder; Wheat Peptides Powder and Wheat Immunoglobulin.

Our products enjoy very good selling in both domestic market and overseas market. For international market, we are exporting to the U.K., Spain, Germany, Italy, Canada, United States, Colombia, Brazil, Argentina, Chile, Australia, South Korea, Japan, Pakistan, Iran, Saudi Arabia, Philippines, Malaysia, Indonesia, Thailand, Vietnam, Kazakhstan, Belarus and Russia.

We have a complete management system including R&D, QC, Production, Marketing, Storage & Transportation, Financial and Internet Service Management. Since established, we have been certified with ISO9001, ISO14001, HACCP, QS, KOSHER and HALAL. For exporting licenses, we have got the sanitary certificate for exporting processing enterprise from CIQ.

We have established professional R&D team. Facilities and R&D ability of our factory are among the first class in China. We have founded “Branch Center for National Corn Deep Processing R&D Center”, “Functional Starch Sugar Research Center of Henan”, “Postdoctoral Programme” and advanced Quality Control Lab. We also work closely with universities or institutes such as FUDAN UNIVERSITY, NANKAI UNIVERSITY, JIANGNAN UNIVERSITY and CHINA NATIONAL RESEARCH INSTITUTE FOR FOOD AND FERMENTATION INDUSTRIES. As well many professors and new products R&D experts are employed by our company, helping us handle many provincial industrialization projects, national 863program and internationl cooperation. 

Based on location advantage, our company regards agricultural industrialization as the leading force, adheres to the purpose of scientific and technological innovation, and dedicates to create a circular economy development pattern with comprehensive utilization of natural resources. We are pursuing the concept of healthiness and environmental protection and continuously striving for excellence. We would continue to improve our R&D ability for new and advanced technology in sugar industry with the support of domestic and international market, contributing to build a prosperous and harmonious society.

 HENAN TIANMIMI is dedicated to create a sweet life and we hope to sprinkle sweetness to the whole world. We warmly welcome you to visit us and start a mutual benefit business relationship hands in hands!","stand D1F11","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/31/41/69/exhibitor314169-596.html","Categories:","Corn","https://www.ingredientsnetwork.com/corn-code015899.html","|","Dextrin","https://www.ingredientsnetwork.com/dextrin-code015726.html","|","Gellan gum","https://www.ingredientsnetwork.com/gellan-gum-code015449.html","|","Glucose","https://www.ingredientsnetwork.com/glucose-code015732.html"
"Henan WeiChuang Bio-tech Co., Ltd.","D1F15","China","https://www.ingredientsnetwork.com/logo%20(6)-comp323860.png","Henan Weichuang Biotechnology Co., Ltd. is located in the middle of China. It is a national high-tech enterprise with independent R&D and production capabilities.

After 5 years of scientific and technological research, Weichuang achieved a new technological breakthrough in the domestic brewing industry-it has stably achieved fermentation with a total acidity of more than 21 degrees without any additives. As the leader of China’s high-acidity brewed vinegar, the products and services of Weichuang have always been highly praised by numerous domestic and foreign enterprises.

At the same time, Weichuang is also researching and producing a series of clean label products, including potassium cinnamate, cultured sugar, buffered vinegar and buffered vinegar powder. These natural preservatives can meet the needs of consumers and the food industry for healthy and additive-free food ingredients.

Up to now, the production plant of Weichuang has passed the latest ISO 9001, FSSC22000, HACCP certification. All products of Weichuang are Halal and Kosher certified. In addition, Weichuang was officially selected as a national high-tech enterprise.","stand D1F15","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/32/38/60/exhibitor323860-596.html","Categories:","Acetic acid","https://www.ingredientsnetwork.com/acetic-acid-code015382.html","|","Other Preservatives","https://www.ingredientsnetwork.com/other-preservatives-code015510.html","","","","","",""
"Henan Zaohua Import &Export Co.,Ltd","C3Q30","China","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand C3Q30","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/47/52/90/exhibitor475290-596.html","","","","","","","","","","","",""
"Henan Zhengtong Food Technology Co.,Ltd","D1D12","China","https://www.ingredientsnetwork.com/pPRlk374uJEGLEV-comp250057.png","ZTCC, founded in 1996, long-term focus on emulsifier research and development. After years of development, the ""ZTCC emulsifier"" brand has been established cooperative relations with domestic and international numerous well-known food companies, repeatedly participates in the formulation of the national food emulsifier standards, and contributes an own strength for food industry.

In 2015, ZTCC established a wholly owned subsidiary of Henan Zhengtong Food Technology Co., Ltd. Its registered capital is 32 million Yuan and the first phase of the production capacity is 10000 tons. It specializes in the manufacture, research, development, marketing and distribution of food emulsifiers for the food industry. At present, this new factory has passed ISO9001, ISO22000, BRC international management certification, OU Kosher certification and Halal certification. It is a professional manufacturing food emulsifiers company which owned the most complete varieties food emulsifier and the largest food emulsifier production capacity in China.

At ZTCC, Our policy is to implement the effective marketing strategy, to create the famous brand, to take the social responsibilities and to ensure the product quality and safety for our customers. We use Molecular Distillation, Frozen Milling, Spray Drying, and other advanced technology to establish new production equipment. We based on the national standard and international standard to produce emulsifier products for domestic market and international market. We respectively built the synthetic laboratory, molecular distillation laboratory and application laboratory, and also introduced advanced experimental equipment to improve our product quality and to provide more technology supports. There are many professionals engaged in these laboratories for long term R&D and application work. We will try our best to provide customers with diversified, professional and comprehensive service.","stand D1D12","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/25/00/57/exhibitor250057-596.html","Categories:","Antioxidants","https://www.ingredientsnetwork.com/antioxidants-code015381.html","|","Emulsifiers, Stabilisers, Thickeners","https://www.ingredientsnetwork.com/emulsifiers-stabilisers-thickeners-code015443.html","|","Lecithins","https://www.ingredientsnetwork.com/lecithins-code015451.html","|","Mono- and diglycerides of fatty acids","https://www.ingredientsnetwork.com/mono-and-diglycerides-of-fatty-acids-code015452.html"
"Henan Zhongda Hengyuan Biotechnology Stock Co., Ltd.","A3M08","China","https://www.ingredientsnetwork.com/zhongdabio-comp251176.JPG","Henan Zhongda Henyuan Biotechnology Stock Co., Ltd., located in the central hinterland of China, which is the pioneer and benchmarking enterprise using natural pigment on food applications in China. We are one of the largest professional manufacturers and suppliers of natural pigment and healthy raw materials; we are one of the earliest enterprises in natural pigment industry; we have the strongest R&D and management level, the most complete product system and the largest single product series.","stand A3M08","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/25/11/76/exhibitor251176-596.html","Categories:","Astaxanthin","https://www.ingredientsnetwork.com/astaxanthin-code015669.html","|","Beef protein","https://www.ingredientsnetwork.com/beef-protein-code015996.html","|","Botanicals","https://www.ingredientsnetwork.com/botanicals-code015543.html","|","Cayenne","https://www.ingredientsnetwork.com/cayenne-code015572.html"
"Heyuan Jilongxiang Biotech Co.,Ltd.","C1K10","China","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand C1K10","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/47/70/89/exhibitor477089-596.html","","","","","","","","","","","",""
"Hishine Industry Co.,Ltd","D2C04","China","https://www.ingredientsnetwork.com/502336152130b0152b21cb5d21faf7d-comp323012.jpg","Hishine, since 1995, as pioneer of zinc oxide supplier, is expertised on high purity zinc oxide.The ultra-low heavy metal content zinc oxide is widely used in health food, mineral suppliment and premix industries. It is also premium material of relevant zinc compounds including zinc gluconate, zinc citrate, zinc lactate, zinc glycinate, zinc acetate, zinc acetamoxifen, zinc stearate.







Hishine focuses on R&D with 33 patents, with 72,000tons annual capacity, catering to the growing markets in the segments of food, health food, pharma, feed, cosmetics, ceramics, rubber, plastics,  electronics, magnetic materials,  chemicals, paint, coatings,  among others.







With FSSC22000, FDA, HALAL，REACH, RoHS, DMF certifications, ISO9001, ISO14001,  ISO45001 certification. Hishine is ready to match all your zinc oxide requirement.","stand D2C04","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/32/30/12/exhibitor323012-596.html","Categories:","Other Minerals","https://www.ingredientsnetwork.com/other-minerals-code016110.html","|","Zinc","https://www.ingredientsnetwork.com/zinc-code016109.html","|","Dietary supplements","https://www.ingredientsnetwork.com/dietary-supplements-code016133.html","|","Functional food","https://www.ingredientsnetwork.com/functional-food-code016137.html"
"HL Agro Products Pvt. Ltd.","D2B04","India","https://www.ingredientsnetwork.com/Untitled%20design-comp319480.png","HL Agro is the premier provider of sesame & corn-based products and ingredients in India. Based in the city of Kanpur, India, the company is engaged into the business of manufacturing & supplying hulled sesame seeds, corn starch powder, liquid glucose, dextrose Monohydrate, Maltodextrin, Sorbitol and other corn based animal feed ingredients.HL Agro produces a variety of starches and sweeteners that have applications in over 60 different types of industries, including textile, confectionery and bakery, paper and corrugation, food and beverages, pharmaceutical and chemical, poultry, livestock, aquaculture, and edible oils. These products use maize as basic raw material and are used to produce industrial Starches, Liquid glucose, Dextrose, Dextrin and Gluten meals.","stand D2B04","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/31/94/80/exhibitor319480-596.html","Categories:","Corn","https://www.ingredientsnetwork.com/corn-code015899.html","|","Dextrin","https://www.ingredientsnetwork.com/dextrin-code015726.html","|","Emulsifiers, Stabilisers, Thickeners","https://www.ingredientsnetwork.com/emulsifiers-stabilisers-thickeners-code015443.html","|","Glucose","https://www.ingredientsnetwork.com/glucose-code015732.html"
"Hoogwegt Group","B3C17","Netherlands","https://www.ingredientsnetwork.com/Logo%20Hoogwegt%20International%20FC-comp253125.jpg","Hoogwegt International covers the worldwide dairy
market with an extensive range of milk powders, butter fats and whey products.
As part of the Hoogwegt Group, we are supported by a unique global network of
partners, 50 years of experience and a team of 80 commercial, technical and
logistical experts.","stand B3C17","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/25/31/25/exhibitor253125-596.html","Categories:","Casein","https://www.ingredientsnetwork.com/casein-code015997.html","|","Dietary fibres","https://www.ingredientsnetwork.com/dietary-fibres-code015448.html","|","Fats & Oils","https://www.ingredientsnetwork.com/fats-oils-code015808.html","|","Milk fat","https://www.ingredientsnetwork.com/milk-fat-code015816.html"
"Huabao Food Technology  Indonesia,PT","A3L30","Indonesia","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand A3L30","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/32/23/70/exhibitor322370-596.html","","","","","","","","","","","",""
"Huajia Food Technology (Shanghai) Co., Ltd.","B3E26","China","https://www.ingredientsnetwork.com/logo%20(17)-comp316102.png","Huajia Food Technology (Shanghai) Co., Ltd specializes in the manufacturing of malt extract and other grain processing business. Headquarter in Shanghai, China the company is wholly-owned subsidiary of Jiangsu Huajia, located in Sheyang Economic Development Zone of Jiangsu Province.

The Company pride itself in the partnership and corporation with Wuhan Polytechnic University College of Food Science, China. Huajia focuses and practice the best global industrial manufacturing application standards in the research of barley malt extract and other grain processing protocols. To compete in the global market with our worldwide client base, Huajia products meet or surpassed both domestic and international standards. The Company also provides solutions to our clients from concepts to final products and services on product development for any application.

Huajia has attained the International Food Safety Management System (ISO22000 / FSSC22000 / ISO9001:2005) Certification and other certifications. All our product derivatives live up to the international food safety requirements thereby creating a trustworthy partner of clients worldwide. To support our global partners, the Company operates a North American marketing and global business development base in Atlanta Georgia USA. We appreciate your interest in visiting our global website","stand B3E26","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/31/61/02/exhibitor316102-596.html","Categories:","Barley","https://www.ingredientsnetwork.com/barley-code015744.html","|","Maltitols","https://www.ingredientsnetwork.com/maltitols-code015520.html","|","Cereal and grain products","https://www.ingredientsnetwork.com/cereal-and-grain-products-code016115.html","|","Prepared foods","https://www.ingredientsnetwork.com/prepared-foods-code016126.html"
"Hubei Grand Life Science & Technology Co., Ltd.","B3E48","China","https://www.ingredientsnetwork.com/11111111-comp270114.png","HUBEI GRAND LIFE SCIENCE & TECHNOLOGY CO.,LTD, the largest and professional taurine manufacturer in China, the production capacity is 25,000 t/a . The company has an integrated quality assurance system. It has been certified by GMP, ISO22000:2005, ISO9001∶2008, FAMI-QS system and OHSA18000:2007 Standard and has received Kosher certificate from OU and HALAL certificate from MUI, and the quality standard complies with JP8/15/16 、USP35/36.","stand B3E48","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/27/01/14/exhibitor270114-596.html","Categories:","L-Taurine","https://www.ingredientsnetwork.com/l-taurine-code015962.html","|","Functional beverages","https://www.ingredientsnetwork.com/functional-beverages-code016135.html","|","Cardiovascular Health","https://www.ingredientsnetwork.com/cardiovascular-health-code016160.html","|","Children's Health","https://www.ingredientsnetwork.com/children-s-health-code016161.html"
"Hubei Konson Konjac Gum Co.� Ltd.","A2J51","China","https://www.ingredientsnetwork.com/hubeikonson-comp251184.png","Konson Konjac, a famous manufacturer in the Konjac industry since 1998, is specialised in the research and production of Konjac glucomannan. With safe and stable raw material supply channels, yearly upgraded equipment and advanced management, we have got ISO22000:2005, BRC, kosher and halal certifications. Enjoying good sales and reputation all over the world, we have become one of the best Konjac glucomannan suppliers in China. Konjac Glucomannan is a natural dietary fiber with highest viscosity, as well as primary functions of health benefits. EFSA approved glcuomannan contributes the reduction of body weigh in the context of an energy-restricted diet. Konson Konjac, natural & healthy, your reliable choice.","stand A2J51","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/25/11/84/exhibitor251184-596.html","Categories:","Dietary fibres","https://www.ingredientsnetwork.com/dietary-fibres-code015448.html","|","Emulsifiers, Stabilisers, Thickeners","https://www.ingredientsnetwork.com/emulsifiers-stabilisers-thickeners-code015443.html","|","Konjac","https://www.ingredientsnetwork.com/konjac-code015786.html","|","Lecithins","https://www.ingredientsnetwork.com/lecithins-code015451.html"
"Hubei Mingda Plastics Products Co.,Ltd.","D2B42","China","https://www.ingredientsnetwork.com/logo%20(6)-comp314811.png","Mingda is a  of plastic packaging containers for medicines, health foods, nutritional products, foods, daily chemicals, and cosmetics that integrates design, development, production, and sales. The raw materials of our company's products are mostly HDPE/PET/PP/RHDPE/RPET. The company established Dongguan Mingda Plastic Products Co., Ltd. in Dongguan City, Guangdong Province, in 2006, and established Hubei Mingda Plastic Products Co., Ltd. in Xianning City, Hubei Province, at the end of 2012. Hubei Mingda currently covers an area of ​​ acres ( square meters), with a factory building area of ​​ square meters. The company currently has more than  production equipment and testing instruments;","stand D2B42","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/31/48/11/exhibitor314811-596.html","Categories:","Nutrition ingredient mixture","https://www.ingredientsnetwork.com/nutrition-ingredient-mixture-code015918.html","|","Other Sugars","https://www.ingredientsnetwork.com/other-sugars-code015740.html","|","Dairy","https://www.ingredientsnetwork.com/dairy-code016117.html","|","Dietary supplements","https://www.ingredientsnetwork.com/dietary-supplements-code016133.html"
"Hubei Xingfa Chemicals Group Co., Ltd.","D1F06","China","https://www.ingredientsnetwork.com/c249028img_XL-comp249028.jpg","Hubei Xingfa is a public company which mainly engages in the development, production and selling of phosphates products and fine chemical products. Our main products are exported to over 110 countries and districts in the world. Also we are the partner of world major players, like Top 500 companies: P&G, Unilever, Henkel etc.","stand D1F06","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/24/90/28/exhibitor249028-596.html","Categories:","Ammonium phosphatides","https://www.ingredientsnetwork.com/ammonium-phosphatides-code015444.html","|","Anti-caking agents","https://www.ingredientsnetwork.com/anti-caking-agents-code015350.html","|","Antioxidants","https://www.ingredientsnetwork.com/antioxidants-code015381.html","|","Calcium phosphate","https://www.ingredientsnetwork.com/calcium-phosphate-code015356.html"
"HUBEI YIZHI KONJAC BIOTECHNOLOGY CO  LTD","B2H18","China","https://www.ingredientsnetwork.com/logo%20(10)-comp279238.png","Hubei Yizhi Konjac Biotechnology Co., LTD Is A Biotechnology Enterprise Specializing In The Deep Processing Of Konjac And The R & D, Production And Sales Of Konjac Related Products. It Is Committed To Providing Global Users With Safe, Natural And Customized Konjac Gum Application Solutions And High-Quality Dietary Fiber Products. Since Its Establishment, Hubei Yizhi Konjac Has Focused On The In-Depth Research, Development And Application Of Konjac Gum In Delicious And Healthy Food, Environmental Protection And Beauty Materials, And Led The Konjac Industry To Grow From Traditional Niche Food To Diversified High-End Consumer Goods. Now It Has Three Product Categories Of Konjac Gum, Konjac Food And Konjac Tools And 66 Product Series.

 Hubei Yizhi Konjac Has Three Subsidiaries, Hubei Yizhi Jiaxian Biological Technology Co., LTD., Yunnan Consistent Konjac Biological Technology Co., LTD. And Hubei Zhixin Biological Technology Co., LTD., With 7,000 Tons Of Konjac Gum, 10,000 Tons Of Konjac Food And 10 Million Konjac Sponge Production Capacity. There Are 67 Patents In Hubei Yizhi Konjac , Including 23 Invention Patents. ""Yizhi Jitu"" Is Identified As ""China Well-Known Trademark""; Hubei Yizhi Konjac Is Identified As ""High-Tech Enterprise"", And Is Selected As The Second Batch Of Specialized And Special New ""Little Giant"" Enterprises And National Key Leading Enterprises Of Agricultural Industrialization By The Ministry Of Industry And Information Technology. 

Hubei Yizhi Konjac Always Focuses On The Development Strategy Of ""Taking High Quality And High Technology As The Core And Continuously Meeting The Growing Needs Of Users For Healthy Living Standards"", And Adheres To The Core Values Of ""Respect Honesty, Work Diligently, Act Fast, Focus On Results"", So That Users In Different Countries And Regions Can Share Chinese Konjac Health Products Sustainably.","stand B2H18","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/27/92/38/exhibitor279238-596.html","Categories:","Konjac","https://www.ingredientsnetwork.com/konjac-code015786.html","","","","","","","","",""
"Hubei Yulong Biotech Co.,Ltd.","A1B52","China","https://www.ingredientsnetwork.com/logo2be6-e5ad--comp477090.jpg","was established in, located in Yichang City, Hubei Province, China. The company covers an area of more than 60,000 square meters. It’s a integrated industrial base focusing on tea cultivation, purchase, research, processing and export. With the Tea Science Academician Liu Zhonghua’s team’s support, the company has mastered the breakthrough core technology of tea extraction and processed more than  and . Yulong Biotech has strengthened the quality control over the source of tea raw materials and always been committed to the development and production of tea product seriec. The product covers following ranage:  , , , ,  and . Our team not only provide you with a variety of natural herbal extract products, but also can provide formulas and customerized plan for functional health food. The company has certified ,  quality management system,  food safety management system,  food safety management system, ,  certificate which guarantees the quality of products. In addition, with the introduction of high-performance liquid chromatography, spectrophotometer, and other sets of advanced precision testing equipment, combined with detection technology, the company has achieved the traceability from raw materials to production, even delivery of the finished products. We'll always and keep our best to engage in our vision and mission: develop the natural herbal extracts, to benefit the human all over the world. Welcome your visit!","stand A1B52","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/47/70/90/exhibitor477090-596.html","Categories:","Botanicals","https://www.ingredientsnetwork.com/botanicals-code015543.html","|","Flavourings","https://www.ingredientsnetwork.com/flavourings-code015485.html","|","Green tea","https://www.ingredientsnetwork.com/green-tea-code015604.html","|","Other Antioxidants","https://www.ingredientsnetwork.com/other-antioxidants-code015400.html"
