company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,,HKTDC Events,Certificates,Other Certificates,supplier_url,exhibitor_url,Company Website,Booth: 3C-B28   |   Group Pavilions   |   Chinese Mainland (Huangyan) Pavilion,Booth: 3E-E20   |   World of Fine Dining   |   ,Booth: 3C-B06   |   Group Pavilions   |   Chinese Mainland (Huangyan) Pavilion,Booth: 3E-C36   |   Cook & Dine   |   ,Booth: 3E-B19   |   World of Fine Dining   |   ,Booth: 3D-D01   |   World of Fine Decor   |   Cantonese Business Go Global,Booth: 3D-E02   |   World of Fine Decor   |   Cantonese Business Go Global,Booth: 3E-E12   |   World of Fine Dining   |   Cantonese Business Go Global,Booth: 3E-D08   |   World of Fine Dining   |   Cantonese Business Go Global,Booth: 3E-A14   |   World of Fine Dining   |   ,Booth: 5E-L25   |   Cultural and Creative Avenue   |   ,"Booth: 3E-S008, 5E-E05   |   hktdc.com Showcase Zone, Homepedia   |   ","Booth: 5E-A16   |   Outdoor, Camping & Gardening   |   Cantonese Business Go Global",Booth: 5E-C02   |   Health & Wellness   |   Cantonese Business Go Global
"Taizhou Xin Hua Lian Plastic Co., Ltd.",Chinese Mainland,,Manufacturer,"Kitchen Utensil,Tableware,Home Storage & Organisation",Kitchenware,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-Xin-Hua-Lian-Plastic-Co-Ltd/1S00OM8X1,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KC1L,,,,,,,,,,,,,,,
"Tricolor Co., Limited",Chinese Mainland,,"Manufacturer, Exporter","Candlestick Holder,Metal Craft,Plastic Crafts,Resin Crafts,Ceramic Crafts,Wood Crafts,Picture Frame,Christmas Supply,Easter Supply,Halloween Supply","Christmas, Harvest, and Halloween Festival Gifts","OBM, OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tricolor-Co-Limited/1S00P14EQ,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LYTN,,,,,,,,,,,,,,,
"Wuyi Xinhe Commodity Co., Ltd.",Chinese Mainland,,Manufacturer,"Mug, Cup, Thermal Mug",Stainless steel bottle/plastic bottle,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wuyi-Xinhe-Commodity-Co-Ltd-/1S00P2SVN,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005K6L3,,,,,,,,,,,,,,,
"Yangjiang Silver Star Trading Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,"Yangjiang Silver Star Co., Ltd., a private enterprise, has beenspecializing in the professional manufacturing of BBO accessoriessince 2002. Additionally, it exports kitchenware products, with anannual total goods value of approximately US$3 million. ? Thecompany boasts three dedicated plants that passed BSCI to produceBBO accessories, wooden products, and kitchenware. Spanning anextensive production area of around 22,000 square meters andemploying nearly 300 staff members, it ensures the capacity to finishand deliver an average of 100,000 pieces of goods monthly. All of itsproducts are capable of obtaining LFGB/FDA approvals. Theimplementation of a strict quality control system and a punctualdelivery time system has earned the company an excellent reputationamong all its clients.",Exporter,"Kitchen Knife, Barbecue Tool, Kitchen Utensil, Fruit Basket, Camping & Picnic Equipment, Tableware, Baking Tool, Salt Pepper Grinder, Kitchen Gloves, Table Knife","Grill Accessories: Enhance BBOs with our premium tool set, spatulasforks, tongs, baskets, brushes, grates, and nets. Kitchen Supplies:Chef, bread, fruit knives, and cooking/baking tools made of durablestainless steel.","OBM, OEM",Silver Star,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yangjiang-Silver-Star-Trading-Co-Ltd-/1S00OQ4OW,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LHG7,www.yissstar.com,,,,,,,,,,,,,,
"Yiwu Zhongjia Arts & Crafts Co., Ltd",Chinese Mainland,,"Wholesaler, Manufacturer, Exporter","Photo Frame,Picture Frame,Painting & Print",Diamond Painting Kits,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Zhongjia-Arts-Crafts-Co-Ltd/1S00OYH0J,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005HGZN,,,,,,,,,,,,,,,
"Zhejiang Dechang Bamboo Wood Co., Limited",Chinese Mainland,,"Exporter, Manufacturer, Distributor",Kitchen Utensil,Chopping board,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Dechang-Bamboo-Wood-Co-Limited/1S00OZQR1,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KCOO,,,,,,,,,,,,,,,
"Zhejiang Suying Industry & Trade Co., Ltd",Chinese Mainland,,Manufacturer,Mug,"Bottle, Vacuum Cup","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 Home InStyle 2024 Home InStyle 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Suying-Industry-Trade-Co-Ltd/1S00O7YA8,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LBOP,,,,,,,,,,,,,,,
Chaozhou Fengxi Zhongyi Ceramics Factory,Chinese Mainland,,"Exporter, Manufacturer","Coffee Set,Cup & Plate Set,Tableware,Dish,Tea Set",Ceramics tableware,OEM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chaozhou-Fengxi-Zhongyi-Ceramics-Factory/1S00OZQQ4,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KCMU,,,,,,,,,,,,,,,
"China Kingdom Industrial Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,"China Kingdom Industrial Co., Ltd., which was established in 1999, is located in Yangjiang, Guangdong Provi nce. Our company is a comprehensive import and export company with factories. Our Company has 20 year s professional exporting experience, we cover pre-sale, halfway sale, after sale service. And we have our ow n QC team to manage the quality and delivery time. We cooperate with more than 1000 factories and our fa ctories lines have independent own powder coating & plastic coating line. Our products are sold well in the m arket of Europe, America, Japan, the Middle East, Southeast Asia, and other countries and regions. Our com pany takes ""customers first, high quality, pursuing perfect, being continuously creative, keeping promise effi ciently"" as our principle. Domestic and overseas traders are welcome to negotiate business and build up busi ness relationship with us.We offer the best customize nonstandard products service to our customers. And w e are willing to be your long-term reliant partner and offer you high-quality products and full-service.",Manufacturer,"Dish Rack,Kitchen Utensil,Fruit Basket,Bread Basket,Wine Rack","Our products including KITCHEN STORAGE, BATH STORAGE, LIVING ROOM STORAGE, HOUSEHOLD STORAGE, PANTRY ORGANIZATION, AND HOME GADGETS in covering metal,wooden, plastic material. We offer ODM and OEM service,Our factory covers an area of 5000 square",OEM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/China-Kingdom-Industrial-Co-Ltd-/1S00OJAJ5,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005ISME,,,,,,,,,,,,,,,
"D&E Industries Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer","Kitchen Knife,Kitchen Utensil","kitchen Knife, kitchen tools","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong Houseware Fair 2019,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/D-E-Industries-Co-Ltd-/1X0AQGPZ,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005GY4Q,,,,,,,,,,,,,,,
"Dongguan Yezja Art Co., Ltd",Chinese Mainland    |    Factory in Chinese Mainland,,Manufacturer,"Home Office Furniture,Hotel & Clubhouse Furniture,Bedroom Furniture,Dining Room Furniture,Living Room Furniture,Restaurant & Bar Furniture,Paper Crafts,Furniture & Furnishing Accessory,Wall Decoration & Hangings,Christmas Supply",Home Decor Picture,"OEM, OBM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Yezja-Art-Co-LTD/1S00OYEZP,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005JQ9J,,,,,,,,,,,,,,,
Foshan Shunde MyMagic Cookware,Chinese Mainland,"MyMagic Cookware has a history of over 30 years in China and mainly engaged in producing various type of microwave cookware. We have become the industry standard for designing and producing, as an unsurpassed industry leader. As the leading in the microwave cookware industry, MyMagic offer: Microwave grill pot / microwave grill tray / microwave grill toaster.","Distributor, Manufacturer, Wholesaler, Exporter","Cookware,Baking Tool,Bakeware,Kitchen Utensil,Frying Pan","Microwave cookware. Grill Pan, Saucepan, Bakeware, Kitchen Utensil, Food Processor, Frying Pan","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-Shunde-MyMagic-Cookware/1S00OWLJU,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005GPYH,,,,,,,,,,,,,,,
"Fuzhou Jiashu Import & Export Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer","Cutting Board,Kitchen Utensil,Mug,Food Box",Tableware,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fuzhou-Jiashu-Import-Export-Co-Ltd-/1S00OLJF8,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L0X9,,,,,,,,,,,,,,,
Fuzhou Menglida Household Products Co Ltd,Chinese Mainland,,"Manufacturer, Exporter","Plate,Bowl,Plastic Crafts","PLASTIC CHARGER PLATE,PLASTIC FLOWER POT","Others, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/FUZHOU-MENGLIDA-HOUSEHOLD-PRODUCTS-CO-LTD/1S00OZLML,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L1IH,,,,,,,,,,,,,,,
"Fuzhou Prime Homeware Co., Ltd",Chinese Mainland,,"Manufacturer, Exporter","Cutlery Set,Disposable Tableware",Melamine tableware,"ODM, OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fuzhou-Prime-Homeware-Co-Ltd/1S00OOCCO,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L1OZ,,,,,,,,,,,,,,,
"Fuzhou Yochen Import And Export Trade Co., Ltd",Chinese Mainland,,"Manufacturer, Exporter","Cutlery Set,Kitchen Utensil,Wood Crafts",HOME DECOR,"ODM, OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024 Home InStyle 2023 HKTDC Hong Kong Houseware Fair 2020 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong Houseware Fair 2017 HKTDC Hong Kong Houseware Fair 2016,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fuzhou-Yochen-Import-And-Export-Trade-Co-Ltd/1X09GPQ7,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L0L9,,,,,,,,,,,,,,,
"Guangdong Jiajiana Household Products Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,"Our company is a deep in the field of tableware and daily necessities, focusing on lunch boxes and other series of products manufacturing professional source manufacturers. With more than 10 years of research and development and production experience, we have established a significant advantage in the lunch box category, with a rich and comprehensive product line to meet the diverse needs of different scenarios and consumers. Our products are not only well received in the domestic market, but also sold in parallel through multiple channels online and offline, covering a wide range of consumer groups, including chain supermarkets, e-commerce platforms and retail terminals. At the same time, we actively expand the international market, undertake and successfully deliver orders from many countries, and win the trust and praise of overseas customers. As a leader in the industry, we always uphold the concept of quality first and innovation as the soul, and are committed to providing customers with high quality, safe and reliable tableware solutions. In the future, we will continue to deepen technology research and development, optimize product structure, expand market layout, and repay the love of our customers with more excellent products and services.","Shopping Mall, Export Agent, Exporter, Department Store, Importer, Import Agent, Others, Distributor, Chain Store, Wholesaler, Retailer, Buying Office, Buying Cooperative","Kettle,Kitchen Utensil,Cup,Tableware,Food Container,Food Box","Lunch boxes, water cups and other kitchen household items.","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Jiajiana-Household-Products-Co-Ltd-/1S00OZR16,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KD9W,,,,,,,,,,,,,,,
Guangdong Pohui Industrial Limited,Chinese Mainland,"Guangdong Pohui Industrial Limited was founded in 2010 and is located in Yangjiang, Guangdong Province, China. Covered 3600 square meter, We have 14 years design and production experience in silicone product. We have more than 100 employees, include QC 7 employees, Designers 4 employees and oversea Sales 7 employees. Pohui is a GB/T24001-2016/IS014001:2015 and BSCI certificated manufacturer. We have served more than 500 customers from over 23 countries and areas. Our main products are silicone kitchen sets, baking mold, baking tools, baby dinning sets, baby toys, baby cups and plastic products etc.We support custom products. Pohui has strict QC process. All of silicone raw material has SGS approved certificates. Our machines are examined and updated regularly. Our workers will be strictly trained before they operate the machines. All the products are 100% checked by our QC department from raw material to end products.We have full equipments, over 50 machines in factory. The machines will be updated every 5 years.","Department Store, Wholesaler, Buying Office, Retailer, Shopping Mall, Export Agent, Import Agent, Distributor, Exporter, Importer, Buying Cooperative, Chain Store","Cookware,Kitchen Utensil,Mug,Tableware,Dish,Coaster,Drinking Straw,Food Container,Kitchen Gloves,Cling Wrap","Our products are made of high quality food grade silicone, BPA free.High and low temperature resistant, -40 degree +230 degree, microwave oven safe.","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Pohui-Industrial-Limited/1S00ONCYU,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005JTBA,,,,,,,,,,,,,,,
"Guangzhou Creative House Houseware Co., Ltd.",Chinese Mainland,,"Manufacturer, Exporter","Storage Box,Storage Rack,Storage Basket,Tissue Box",Household Storage & Organizers,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024 Home InStyle 2023 HKTDC Hong Kong Houseware Fair 2019,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Creative-House-Houseware-Co-Ltd-/1X0AQ0GK,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KCNR,,,,,,,,,,,,,,,
"Guangzhou Hengtai Housewares Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer",Kitchen Utensil,Kitchenware,OEM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Hengtai-Housewares-Co-Ltd-/1S00OZQVP,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KCV3,,,,,,,,,,,,,,,
"Guangzhou Topshiny Imp. & Exp. Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer","Baking Mold,Bakeware,Kitchen Utensil",Cookware,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 Home InStyle 2025 Home InStyle 2024 Home InStyle 2023 HKTDC Hong Kong Houseware Fair 2019,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Topshiny-Imp-Exp-Co-Ltd-/1X0AQ0LF,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KC0O,,,,,,,,,,,,,,,
Hangshau Houseware Company Limited Jiangmen,Chinese Mainland,,"Exporter, Manufacturer, Wholesaler","Cookware,Cutlery Set,Dish Rack,Kitchen Utensil,Tableware,Barware Set","Cookware sets, bathroom and household items","ODM, OEM",Hengshao,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hangshau-Houseware-Company-Limited-Jiangmen/1S00OZR09,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KD72,,,,,,,,,,,,,,,
Hangzhou Lighting Import & Export Ltd,Chinese Mainland,,"Retailer, Shopping Mall, Chain Store, Import Agent, Religious Group, Export Agent, Consulate and Trade Commission, Distributor, Statutory Body, Buying Office, Trade/Industrial Organisation, Service Company, Others, Exporter, Charity / Welfare Organisation, Department Store, Wholesaler, Buying Cooperative, Government","Desk Lamp,Lighting Product,Consumer Electronics",Rechargeable lighting,"OBM, ODM, Others, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hangzhou-Lighting-Import-Export-Ltd/1X0AXLPK,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KDEH,,,,,,,,,,,,,,,
"Huizhou Narui Yongda Industrial Co., Ltd.",Chinese Mainland,"Huizhou Narui Yongda Industrial Co.,LTD. was founded in 2008, is an innovative company specializing in the production of home furnishing department stores. Company headquarters and R & D base set up in the scenic Longmen County, Huizhou, with a total investment of 500 million yuan, the industrial park covers an area of more than 50 acres, with a warehouse area of about 50000 square meters.The company's products are mainly injection molding, blister, and blow molding, with imported Japanese high-end brand injection molding machine blister machine of about 100 sets, Hanya machine equipment of 80 sets, Braunbrand automation robot of 30 sets, and annual production capacity of about 500 million.The company has areas of able talent structure, with several doctors and masters as the main management and technical backbone. There are more than 500 employees with senior/intermediate technical titles, and more than 20 employees in the product design and development department, which help enterprises to improve their management level and production capacity and achieve rapid and stable development of enterprises.",Manufacturer,"Kettle,Measuring Cup,Kitchen Utensil,Plastic Crafts,Vase","Fresh keeping box series, Planer series, Dish series, Kitchen supplies, Water cup and kettle, Kitchenware series, Cutting board series, Daily series, Bakery equipment, Bathroom Series, Kit series","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huizhou-Narui-Yongda-Industrial-Co-Ltd-/1S00OZGZN,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005JWLD,,,,,,,,,,,,,,,
"Jiangmen City Hongyi Metal Products Co., Ltd.",Chinese Mainland,,"Manufacturer, Exporter","Camping & Picnic Equipment,Barbecue Grill,Barbecue Tool,Garden Tool","BBQ, FIRE PIT, FIRE PLACE TOOL SET","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 Home InStyle 2024 Home InStyle 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangmen-City-Hongyi-Metal-Products-Co-Ltd-/1S00O9SZB,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005JGS8,,,,,,,,,,,,,,,
"Jiangmen City Xinhui Area Xinxing Metal Product Co., Ltd.",Chinese Mainland,,"Manufacturer, Exporter",Kitchen Utensil,Cookware,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024 HKTDC Hong Kong Houseware Fair 2014 HKTDC Hong Kong Houseware Fair 2013,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangmen-City-Xinhui-Area-Xinxing-Metal-Product-Co-Ltd/1X07Q4QY,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KBU7,,,,,,,,,,,,,,,
"Jiangmen Hongsheng Metal Products Co., Ltd.",Chinese Mainland,,"Manufacturer, Exporter","Wok,Frying Pan,Food Steamer",Cookware,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong Houseware Fair 2012,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangmen-Hongsheng-Metal-Products-Co-Ltd/1X04QCII,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KBXY,,,,,,,,,,,,,,,
"Jiangmen Hopeful Trading Co., Ltd.",Chinese Mainland,,"Manufacturer, Exporter","Wok,Kitchen Utensil",Kitchen utensils,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024 Home InStyle 2023 HKTDC Hong Kong Houseware Fair 2019,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangmen-Hopeful-Trading-Co-Ltd-/1X0ASIB7,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KBV4,,,,,,,,,,,,,,,
"Jiangmen Xinhui Haolong Hardware Products Co., Ltd",Chinese Mainland,,"Manufacturer, Exporter","Thermal Flask,Cup,Mug",Cup,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangmen-Xinhui-Haolong-Hardware-Products-Co-Ltd/1S00OLYVH,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KBZS,,,,,,,,,,,,,,,
"Jiangmen Yesheng Import and Export Trade Co., Ltd",Chinese Mainland,,"Exporter, Manufacturer","Thermal Mug,Mug",Cup,OEM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangmen-Yesheng-Import-and-Export-Trade-Co-Ltd/1S00OLYQW,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KC3F,,,,,,,,,,,,,,,
"Jieyang City Xieyi Hardware Plastic Industry Co., Ltd",Chinese Mainland,,"Manufacturer, Exporter","Fork,Table Knife,Tableware",Tableware,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jieyang-City-Xieyi-Hardware-Plastic-Industry-Co-Ltd/1S00OJ389,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005GPXK,,,,,,,,,,,,,,,
"Jieyang Tang Kitchen Metal & Plastic Products Co., Ltd.",Chinese Mainland,,Exporter,,Metal & Plastic Products,ODM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong Houseware Fair 2019,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jieyang-Tang-Kitchen-Metal-Plastic-Products-Co-Ltd-/1X0AQ1NA,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KYIK,,,,,,,,,,,,,,,
"Jieyang Zhongya Hardware Products Co., Ltd",Chinese Mainland,,"Exporter, Manufacturer","Cutlery Set,Table Knife",Tableware,OEM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jieyang-Zhongya-Hardware-Products-Co-Ltd/1S00OZQKM,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KBTA,,,,,,,,,,,,,,,
"Liling Clay Coated Kiln Ceramic Management Co., Ltd",Chinese Mainland,,Manufacturer,Dish,Ceramic dinnerware,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Liling-Clay-Coated-Kiln-Ceramic-Management-Co-Ltd/1S00OCCW0,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LBK1,,,,,,,,,,,,,,,
"Linhai Wangfeng Plastic Co., Ltd.",Chinese Mainland,,Manufacturer,"Dish Rack,Serving Utensil,Mug,Spice Container,Food Container,Disposable Tableware,Food Box,Fruit Basket,Bread Basket","Linhai Wang Feng Plastic Since its inceptionAdhering to the concept of ""Seiko Creates Good Things"" and constantly updating its own factoriesSoftware and hardware facilities, strive to build Wang Feng PlasticCo.,Ltd.Become a leader in the domestic","ODM, OBM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024 Home InStyle 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Linhai-Wangfeng-Plastic-Co-Ltd-/1S00OBMAK,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KDDK,,,,,,,,,,,,,,,
"Ningbo Fertile Imp & Exp Co.,Ltd",Chinese Mainland,"Our factory is mainly specialized in bakeware,cookware and kitchenware items with 15 yearshistory.Our bakeware product including roast er pan,muffin pan,loaf pan,square pan,bundtpan,springform pan and pizza pan etc.",Exporter,"Thermal Mug,Cup","Stainless steel bottle, thermos bottle, sports bottle",OBM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Fertile-Imp-Exp-Co-Ltd/1S00P0K2A,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LHQD,,,,,,,,,,,,,,,
"Ningbo Peak & Lead Industry Co., Ltd",Chinese Mainland    |    Factory in Chinese Mainland,"Founded in 2003, Peak & Lead , former China-Base home textile department, is one of the leading home textile manufacturers and exporters in China. Qualified by the audits and certificates BSCI, SMETA, OEKO-TEX standard 100, Global Recycled Standard, Peak & Lead has been the top supplier of Walmart, Amazon, Disney, Aldi, Auchan and Carrefour over decades. One in 55 consumers across the world has been enjoying Peak & Lead products and services.","Exporter, Manufacturer, Wholesaler, Retailer","Baby Play Mat,Fabric Crafts,Fabric Decoration,Bed Linen,Pillows,Pillow Cases,Baby Towels,Cushion Cases,Cushions,General Filling",One of the leading home textile manufacturers and exporters in China.,"ODM, OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Peak-Lead-Industry-Co-Ltd/1S00OULYL,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005G7L2,,,,,,,,,,,,,,,
"Ningbo Saiyi Plastic Industry Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer",Bed Linen,"Pillow, Mattress","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Saiyi-Plastic-Industry-Co-Ltd-/1S00P1LKR,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MOTX,,,,,,,,,,,,,,,
