company name,location,Booth: 1E-C02   |   Hall of Fame - Digital Entertainment   |   ,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,Certificates,,Other Certificates,supplier_url,exhibitor_url,Booth: 1A-C09   |   Hall of Fame - Power & Accessories   |   ,Booth: 1CON-020   |   Hall of Fame - Power & Accessories   |   ,Booth: 3B-C02   |   Personal Electronics   |   ,Booth: 1A-D10   |   Hall of Fame - Home Tech   |   ,Booth: 1D-A19   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-B13   |   Hall of Fame - Power & Accessories   |   ,Booth: 1A-C02   |   Hall of Fame - Power & Accessories   |   ,Booth: 1D-C10   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-F09   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-A13   |   Hall of Fame - Home Tech   |   ,Booth: 1D-A21   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1CON-014   |   RISE Avenue   |   ,Booth: 1B-D08   |   Hall of Fame - Gadgets World   |   ,Booth: 3C-A02   |   Personal Electronics   |   ,Booth: 1CON-017   |   RISE Avenue   |   ,Booth: 1D-B14   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1CON-003   |   RISE Avenue   |   ,Booth: 1C-C02   |   Hall of Fame - Gadgets World   |   ,Booth: 1A-B02   |   Hall of Fame - Power & Accessories   |   ,Booth: 3D-D24   |   Audio Visual Products   |   ,Booth: 1CON-025   |   Hall of Fame - Home Tech   |   ,Booth: 1CON-022   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-A04   |   Hall of Fame - Gadgets World   |   ,Booth: 1E-E08   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-D04   |   Hall of Fame - Gadgets World   |   ,Booth: 1A-D06   |   Hall of Fame - Home Tech   |   ,Booth: 1A-B18   |   Hall of Fame - Power & Accessories   |   ,Booth: 1C-D20   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-E21   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-A02   |   Hall of Fame - Power & Accessories   |   ,Booth: 1D-A08   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-A10   |   Hall of Fame - Power & Accessories   |   ,Booth: 1A-D05   |   Hall of Fame - Power & Accessories   |   ,Booth: 1B-E07   |   Hall of Fame - Gadgets World   |   ,Booth: 1D-D21   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-A26   |   Hall of Fame - Gadgets World   |   ,Booth: 1B-B08   |   Hall of Fame - Home Tech   |   ,Booth: 1A-C22   |   Hall of Fame - Power & Accessories   |   ,Booth: 1B-E25   |   Hall of Fame - Gadgets World   |   ,Booth: 1C-C09   |   Hall of Fame - Gadgets World   |   ,Booth: 3D-B17   |   Audio Visual Products   |   ,Booth: 1C-D18   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-D17   |   Hall of Fame - Home Tech   |   ,Booth: 3B-B01   |   Security Products   |   ,Booth: 1C-A09   |   Hall of Fame - Gadgets World   |   ,Booth: 3E-B12   |   Audio Visual Products   |   ,Booth: 1E-D23   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-F12   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-E21   |   Hall of Fame - Home Tech   |   ,Booth: 1B-C24   |   Hall of Fame - Home Tech   |   ,Booth: 3F-G28   |   Home Appliances   |   ,Booth: 1A-A09   |   Hall of Fame - Power & Accessories   |   ,Booth: 1E-E23   |   Hall of Fame - Digital Entertainment   |   ,Booth: 3G-A32   |   Home Appliances   |   ,Booth: CH-K04   |   Tech Hall   |   ,Booth: 3F-G04   |   Home Appliances   |   ,Booth: 3D-E13   |   Audio Visual Products   |   ,Booth: 3G-B27   |   Home Appliances   |   ,Booth: 3F-D03   |   Beauty & Healthcare Electronics   |   ,Booth: 3C-A28   |   Personal Electronics   |   ,Booth: 3D-B06   |   Audio Visual Products   |   ,Booth: 3C-A12   |   Personal Electronics   |   ,Booth: 3D-B01   |   Automotive & In-Vehicle Electronics   |   ,Booth: 3C-C27   |   Personal Electronics   |   ,Booth: 3B-C07   |   Personal Electronics   |   ,Booth: 3D-C23   |   Audio Visual Products   |   ,Booth: 3G-B03   |   Home Appliances   |   ,Booth: 3B-B05   |   Security Products   |   ,Booth: 3C-B20   |   Telecommunications Products   |   ,Booth: 5C-D24   |   Electronic Accessories and Mobile Electronics   |   ,Booth: GH-D14   |   Future Industries Zone   |   ,Booth: 3G-B15   |   Home Appliances   |   ,Booth: 3F-D16   |   Beauty & Healthcare Electronics   |   ,Booth: 3E-B05   |   Audio Visual Products   |   ,Booth: 3B-C26   |   Personal Electronics   |   ,Booth: 5C-C21   |   Group Pavilion   |   Taiwan Pavilion,Booth: 5C-D19   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3B-B19   |   Security Products   |   ,Booth: 5C-E18   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3G-A18   |   Home Appliances   |   ,Booth: 3F-F19   |   Home Appliances   |   ,Booth: 3B-C16   |   Personal Electronics   |   ,Booth: 3E-A07   |   Audio Visual Products   |   ,Booth: 3D-C08   |   Audio Visual Products   |   ,Booth: 3G-B18   |   Home Appliances   |   ,Booth: 3G-D02   |   Home Appliances   |   ,Booth: 3G-C34   |   Connected Home   |   ,Booth: 5C-B06   |   Group Pavilion   |   Taiwan Pavilion,Booth: 3G-D08   |   Home Appliances   |   ,Booth: 3E-E22   |   Audio Visual Products   |   ,Booth: 3G-A17   |   Home Appliances   |   ,Booth: 3F-C17   |   Beauty & Healthcare Electronics   |   ,Booth: 3G-A16   |   Home Appliances   |   ,Booth: 5C-F17   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3C-E16   |   Automotive & In-Vehicle Electronics   |   ,Booth: 5C-D22   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3F-C07   |   Beauty & Healthcare Electronics   |   ,Booth: 5C-D06   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3F-F23   |   Pet Electronics   |   ,Booth: 3G-C06   |   Group Pavilion   |   
Free Talker (HK) Development Company Limited,Hong Kong,,"Free Talker (HK) Development Company Limited is a high-tech enterprise specializing in developing, manufacturing and exploring wireless communication products and wireless safety guard systems, such as Watch Walkie Talkie and FRS Radio. Equipped with experienced staff,our factory,located in Shenzhen, China, has the ability to produce all kinds of watch walkie talkies over 300000units per month. We attained ISO9001:2008 and ISO14001 certification in 1999, and all of our products comply with RoHS, CE/RED,Japanese Telecom and FCC certification. We are selling our products worldwide with business partners: Disney, Allan, Cobra,Wal-Mart, and Amazon. As a supplier of innovative electronic products, we provide the best quality and service with reasonable price in different markets. With the goal ""honest, creative, customer priority"", We are always looking forward to establishing mutual-benefit business relationship and are eager to expand products and develope new items. In addition ,we also welcome your OEM and ODM orders.Visit our website(www.freetalker.cn) to find out more.",Manufacturer,"Walkie-Talkie, Walkie-Talkie",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Free-Talker-HK-Development-Company-Limited/1X0A4U1H,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0063XD0?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G&D (Far East) Limited,Hong Kong,,,"Exporter, Manufacturer","Car Charger, Connector, Mobile Phone Accessory, Adaptor, Electrical Plug, Wireless Charger, Electrical Socket, Electrical Wire & Cable, Electrical Wire & Cable, Car Charger, Connector, Mobile Phone Accessory, Adaptor, Electrical Plug, Wireless Charger, Electrical Socket, Electrical Wire & Cable, Car Charger, Connector, Mobile Phone Accessory, Adaptor, Electrical Plug, Wireless Charger, Electrical Socket, Electrical Wire & Cable, Car Charger, Connector, Mobile Phone Accessory, Adaptor, Electrical Plug, Wireless Charger, Electrical Socket",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/G-D-Far-East-Limited/1X05VO6U,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S00651L8?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germain Electronic Limited,Hong Kong,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Germain-Electronic-Ltd/1X0002YW,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0063SUQ?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globe Audio International Limited,Hong Kong    |    Factory in:  Chinese Mainland,,"We Globe Audio International is specialist in earphone, headphone manufacturing since 1978. Main office located in HK, and factory in China, Dongguan area. OEM & ODM project is welcome.",Manufacturer,"Wireless Headphone, Headphone, Audio Speaker",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Globe-Audio-International-Limited/1X03RZNG,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0062FV0?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong Council For Testing and Certification,Hong Kong,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hong-Kong-Council-for-Testing-and-Certification/1X06GMDT,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0061H8V?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JinTech Semiconductor Co., Limited",Hong Kong,,,"Manufacturer, Distributor, Exporter","Computer Parts & Storage, Mobile Phone Accessory, Memory Card, Computer Peripherals & Accessory, Tablet & Accessory, Computer Parts & Storage, Mobile Phone Accessory, Memory Card, Computer Peripherals & Accessory, Tablet & Accessory, Computer Parts & Storage, Mobile Phone Accessory, Memory Card, Computer Peripherals & Accessory, Tablet & Accessory, Computer Parts & Storage, Mobile Phone Accessory, Memory Card, Computer Peripherals & Accessory, Tablet & Accessory","We are deeply integrated across the entire semiconductor memory industry chain. With extensive expertise in precision manufacturing, wafer testing, supply chain management, and global product distribution, we deliver end-to-end excellence.",ODM,ALYNCE,www.jtsemicon.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) Innoex 2026,,,"QUALITY MANAGEMENT SYSTEM CERTIFICATE Issued By SHANGHAI SAILWAY CERTIFICATION CO.,LTD. Type OTHERS Valid Date 02 Dec 2025 - 02 Dec 2028",https://sourcing.hktdc.com/en/Supplier-Store/Profile/JinTech-Semiconductor-Co-Limited/1S00PAPYH,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S00659RI?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kam Yuen Plastic Products Ltd.,Hong Kong    |    Factory in:  Chinese Mainland,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kam-Yuen-Plastic-Products-Ltd-/1X09EG6I,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0061CBR?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaper Industrial Limited,Hong Kong,,"Kaper Industrial Ltd. was established in 1990 and has been accredited to the ISO 9001 quality standard since 2001. Our two manufacturing facilities are located in Dongguan (China) and Kampong Speu Province (Cambodia), along with an administrative office in Hong Kong. Kaper is a fully integrated manufacture with Injection Molding, Metal Stamping, CNC Lathing, Compression Molding, Vacuum Plating, Ultrasonic Welding, Painting, Pad Printing, Laser Engraving, and Assembly. Our team of experienced Engineers in our R&D division keeps us abreast of the latest technologies in the marketplace. The R&D team works very closely with the Hong Kong based Industrial Designers and Marketing team to ensure the best value and support for our customer base. Kaper is fully committed to producing excellent quality products and supporting customers with 100% on-time delivery.",Manufacturer,"Lanterns & Flashlights - B/O, Lanterns & Flashlights - B/O",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kaper-Ind-l-Ltd/1X0001MB,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0063X4R?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nan Mei Electric Company Limited,Hong Kong    |    Factory in:  Thailand,,"Founded in 1992, we has factory area 27,000 square meters. We specialize in producing international standard power supply cords, extension cord sets , wiring harness and electronic wire. The company has IATF 16949 2016, ISO 9001:2015 Quality System Certification and ISO 14001:2015 .All products are complied with CCC, UL/CUL, SAA, ASTA ,VDE, KEMA, KC , PSE, BR1852, BSMI, CB, SASO, IRAM, IS 1293-2005, SN441011 etc., also ROHS & REACH and California proposition 65 settlements as well. Adhering to the principle of good quality, punctual shipment and competitive price, we would like to cooperate with every customer for a bright future! Welcome!","Buying Cooperative, Manufacturer, Private Individual, Buying Office, Exporter, Charity / Welfare Organisation, Wholesaler, Mail Order Co., Consulate and Trade Commission, Distributor, Professional Association, Retailer, Chain Store, Importer, Government, Shopping Mall, Import Agent, Department Store","Electrical Plug, Electrical Wire & Cable",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Nan-Mei-Electric-Co-Ltd/1X006SSW,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0061WSS?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pannex Limited,Hong Kong,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pannex-Ltd/1X094NIL,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0065WSS?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rich Elegant Trading Company,Hong Kong,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Rich-Elegant-Trading-Company/1X08X1GH,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0063QCA?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronghangda Co Limited,Hong Kong,,,"Manufacturer, Exporter","Security Camera, CCTV Equipment, Doorbell, Monitoring & Communication Products, Security Camera, CCTV Equipment, Doorbell, Monitoring & Communication Products, Security Camera, CCTV Equipment, Doorbell, Monitoring & Communication Products",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ronghangda-Co-Ltd/1X04UXUF,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0067V2Z?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-PLUS Creations Company Limited,Hong Kong    |    Factory in:  Chinese Mainland,,,"Export Agent, Distributor, Department Store, Importer, Buying Office, Mail Order Co., Chain Store, Import Agent, Shopping Mall, Exporter, Wholesaler, Buying Cooperative, Retailer","Wireless Headphone, Wireless Speaker, Earphone, Audio Speaker, Speaker","1. AI, ANC, ENC, Touch Screen, Clip, OWS And Cartoon TWS BT Earphones 2. ANC, Detachable Screen, LED, Open Ear And Cartoon BT Headphones 3. ANC, A To C, Dual Driver Type-C Wired Earphones And Cartoon Wired Earphones 4. Stereo And Wired Headphones","ODM, OBM, OEM","艾锶博,Splus",www.spluscn.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2027 HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 Show More,,,CE Issued By SGS Type - Valid Date (N/A) - (N/A) RoHs Issued By SGS Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/S-PLUS-Creations-Company-Limited/1X0AO80C,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0062BBS?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Tide International Company Limited,Hong Kong,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Silver-Tide-International-Company-Limited/1X08Z8A2,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0063S22?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smarti-Tech Limited,Hong Kong    |    Factory in:  Chinese Mainland,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Smarti-Tech-Limited/1S00OBRMF,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S00616V9?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cixi Fenry Electrical Appliances Co., Ltd.",Chinese Mainland,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Cixi-Fenry-Electrical-Appliances-Co-Ltd-/1X09S5QV,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0067ZFS?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dongguan Huihang Electronic Technology Co., Ltd.",Chinese Mainland,,,"Exporter, Manufacturer","Speaker, Wireless Microphone, Subwoofer, Camcorder, DVD / Blu-ray Player, MP3 Player, Karaoke Equipment, Amplifier, Microphone",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Huihang-Electronic-Technology-Co-Ltd/1X0B9ZPE,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S00666SI?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foryu Design Co., Ltd.",Taiwan    |    Factory in:  Chinese Mainland,,"Established in 2022, FORYU DESIGN GROUP is a leading enterprise in the field of design commercialization, integrating research and development, production, and sales. The Headquarter is located in the international design capital New Taipei City, Taiwan, comprising an R&D Center, Operations Center, Business Center, and Manufacturing and Facility Management Center.FORYU DESIGN has gathered a team of highly skilled professionals and established long-term partnerships with numerous world-renowned enterprises. Its business spans over 100 countries and regions. FORYU focuses on design and innovation centered on Experience and Thoughtful user needs, accumulating multiple independent RD patents. We are committed to becoming a global leader in the field of design commercialization.","Importer, Import Agent, Department Store, Retailer, Mail Order Co., Shopping Mall, Wholesaler, Distributor, Chain Store","Computer Peripherals & Accessory, Computer Peripherals & Accessory, Computer Peripherals & Accessory",BACKPACK/BAGS OFFICE SUPPLIES OEM ODM OBM,"ODM, OEM, OBM","FORYU DESIGN,O-LIFE",www.foryudesign.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2026 Home InStyle 2024,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foryu-Design-Co-Ltd-/1S00OJGS8,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0066QGY?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foshan Yisihang Electrical Technology Co., Ltd.",Chinese Mainland,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-Yisihang-Electrical-Technology-Co-Ltd/1X05W8SK,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S006841T?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuzhou Guonzhou Electronic Co., Ltd.",Chinese Mainland,,,Manufacturer,"Watch & Clock, Electronic Timer, Watch, Electronic Gadget",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fuzhou-Guanzhou-Electronic-Co-Ltd/1X00F0S8,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064NJS?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuzhou Paide Technology Co., Ltd.",Chinese Mainland,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fuzhou-Paide-Technology-Co-Ltd/1X09FPP8,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064NR4?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guangdong Titan Smart Electrical Appliance Co., Ltd.",Chinese Mainland,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Titan-Smart-Electrical-Appliance-Co-Ltd/1X08FPQ7,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S00655QP?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guangdong Yinxiaoqian Electronic Technology Co., Ltd",Chinese Mainland    |    Factory in:  Chinese Mainland,,,Manufacturer,"Computer Printer, Copying Machine, Computer Printer, Copying Machine",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Yinxiaoqian-Electronic-Technology-Co-Ltd/1S00OT2RP,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S00689HC?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hont Electrical Co., Ltd.",Chinese Mainland,,"HONT ELECTRICAL CO.,LTD is a professional manufacturer of NYLON CABLE TIE, CABLE CLIPS, STAINLESS STEEL CABLE TIE, WIRING ACCESSORIES, ELECTRICAL CONNECTORS and so on. We have ISO9001, BSCI, UL, SGS, CE, ROHS, REACH, PAHS ...approved.","Manufacturer, Exporter","Computer Cable, Connector, Electrical Switch, Mobile Phone Accessory","NYLON CABLE TIE, CABLE CLIPS, STAINLESS STEEL TIE, WIRING ACCESSORIES, ELECTRICAL CONNECTORS","OEM, ODM, OBM",HONT,www.hontcabletie.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2020 Show More,,,ISO9002 Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/HONT-Electrical-Co-Ltd/1X00FT0L,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S00636W6?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huizhou Jiayao Smart Technology Co Ltd,Chinese Mainland    |    Factory in:  Chinese Mainland,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huizhou-Jiayao-Smart-Technology-Co-Ltd-/1S00P9IAO,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0067HXS?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
