company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,,HKTDC Events,Certificates,Other Certificates,supplier_url,exhibitor_url
Julius Company Limited,"Korea, Republic Of",We are leading fashion wrist watch manufacturer and exporter in Korea and have factory in China,"Manufacturer, Importer, Distributor, Exporter","Digital Watch,Skeleton Mechanical Watch,Quartz Analogue Watch,Chronograph Watch,Ladies Watch,Brandname Watch,Designer Watch,Mens Watch,Moon Phase Mechanical Watch,Promotional Watch","JULIUS is leading fashion wrist watch in Asia, Middle East countries as good quality and reasonable price","ODM, OEM, Others",JULIUS,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Julius-Company-Limited/1X09RDAN?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00663W9?fairCode=te&locale=en
Solar Time Ltd,Hong Kong,"Originally an OEM (Original Equipment Manufacturer) wristwatch manufacturer, Solar Time, Ltd. transformed into a designer, developer and DTC (Direct-to-Consumer) distributor of a portfolio of self-owned brands. With nearly 50 years of experience, we are skilled at all facets of the industry; from designing and engineering, to manufacturing and sourcing, to material and aesthetics. Most of all, we have deep respect and love for these wonderful mechanical objects. We aspire to create pieces which connect with and give happiness to our customers.","Retailer, Wholesaler, Manufacturer","Skeleton Mechanical Watch,24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Diver Watch,Sports Timer Watch,Chronograph Watch,Pilot Watch,Solar Watch,Brandname Watch,Designer Watch,Mens Watch,Moon Phase Mechanical Watch","for over 40 years, Solar Time has been designing and crafting timepieces of style, function and flair for customers worldwide. Enjoy the worlds of Spinnaker, AVI-8, and Thomas Earnshaw.",Others,"AVI-8,EARNSHAW,SPINNAKER",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Solar-Time-Ltd/1X00J0S8?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00659TC?fairCode=te&locale=en
Mavlian International Co.,Lebanon,Mavlian Internatioanal Co. We are manufacturing in Hong Kong with our in house design and expanding globally.,"Chain Store, Distributor","Skeleton Mechanical Watch,Mechanical Hands & Digital Watch,Quartz Analogue Watch,Chronograph Watch,Solar Watch,Ladies Watch,Brandname Watch,Mens Watch","Complete watches, For man and women sporty and fashion designs . Japan movement, solar Automatic amd quarts movement",Others,"Claudia Koch,Alexus christy,Claude Muller",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mavlian-International-Co-/1X0A3U6C?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0065NPA?fairCode=te&locale=en
Como Milano International Ltd.,Hong Kong,,Manufacturer,"Quartz Analogue Watch,Ladies Watch,Brandname Watch,Kids Watch,Mens Watch,Smart Watch","COMO MILANO International Ltd. is an international watch and jewellery company offering contemporary, fashion-driven collections. The COMO MILANO brand combines Italian-inspired design with modern trends, focusing on watches, jewellery and fashion ac",Others,"COMO MILANO,COMO SWISS",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Como-Milano-International-Ltd-/1X0AIDP8?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0066QWM?fairCode=te&locale=en
National Electronics & Watch Co Ltd,Hong Kong,"NEWCO was founded in 1975, and is a design company to develop the Smartwatches and the technical LCD digital sport products.","Manufacturer, Exporter, Distributor","Digital Watch,Quartz Analogue Watch,Diver Watch,Sports Timer Watch,Chronograph Watch,Solar Watch,Ladies Watch,Brandname Watch,Kids Watch,Mens Watch","Pedometer wristWatches, Surf wristwatch, Altimeter wristwatch & Solar wristwatch","ODM, OBM, OEM",NEWCO,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 Show More,,ISO9001:2000 Issued By - Type - Valid Date (N/A) - (N/A) TUV Rheinland Issued By - Type - Valid Date (N/A) - (N/A) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/National-Electronics-Watch-Co-Ltd/1X000963?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0066OMI?fairCode=te&locale=en
Morellato HK Limited,Hong Kong,,"Trade/Industrial Organisation, Wholesaler","Digital Watch,Skeleton Mechanical Watch,24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Sports Timer Watch,Chronograph Watch,Ladies Watch,Brandname Watch,Mens Watch",Luxury Italian Watch and Jewelry Brands,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Morellato-HK-Limited/1S00PC5VA?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0065NTY?fairCode=te&locale=en
"Guangdong Star Rudder Technology Co.,LTD",Chinese Mainland,"Star Rudder Technology has more than 20 quartz watch brands worldwide, among which the Harley Watch brand was founded in 2003 and has been deeply cultivating markets in Southeast Asia, the Middle East, Europe and America for 20 years. It has a high reputation and reputation among customers at home and abroad. In recent years, Harley watches have been deeply loved and favored by the end consumer market, especially the Harley brand watches have begun to provide customized gift watch services for consumers. The customization scope includes: deep customization of appearance, function, packaging, brand, as well as laser customization of personalized signatures or messages on the watch case and bottom cover. Interested friends, please contact our customer service center for more information.","Distributor, Exporter, Wholesaler, Manufacturer","Digital Watch,Mechanical Hands & Digital Watch,24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Diver Watch,Sports Timer Watch,Chronograph Watch,Ladies Watch,Brandname Watch,Mens Watch",星舵钟表旗下拥有全球二十多个石英表品牌，其中哈雷表品牌创立于贰零零叁年，二十年来深耕东南亚、中东、欧美等市场，在海内外广大客户中拥有很高的知名度和美誉度。哈雷表近年来一只深受终端消费市场的喜爱和青睐，尤其是哈雷品牌手表开始为消费者提供礼品表定制服务。定制范围包括：外观、功能、包装、品牌的深度定制以及在手表的表壳和底盖的个性化签名或留言的镭射定制。感兴趣的朋友请联系我们客服中心了解详情。,"ODM, OEM",哈雷 HALEI,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Star-Rudder-Technology-Co-LTD/1S00OR5UD?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0065NS1?fairCode=te&locale=en
"Shenzhen Hipine Precision Technology Co., Ltd.",Chinese Mainland,,Manufacturer,"Ladies Watch,Brandname Watch,Mens Watch",gold watch、smart watch、smart ring,"Others, OBM, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Hipine-Precision-Technology-Co-Ltd-/1S00OFZZ4?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0065NR4?fairCode=te&locale=en
Sino British Industries Pte Ltd,Singapore,,Manufacturer,"Brandname Watch,Mens Watch,Promotional Watch",Route 66 brand men's wrist watch,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sino-British-Industries-Pte-Ltd/1S00PCSBB?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00662SM?fairCode=te&locale=en
ONE CITYHUB COMPANY LIMITED,Hong Kong,,"Manufacturer, Wholesaler","Digital Watch,Skeleton Mechanical Watch,Mechanical Hands & Digital Watch,Quartz Analogue Watch,Chronograph Watch,Brandname Watch,Designer Watch,Kids Watch,Mens Watch","We offers tough military, tactical, and modular watches with DIY customization and official IP collaborations, delivering high-durability timepieces at fair prices. We provide global partners with robust watches, and flexible OEM/ODM solutions.","ODM, OEM, OBM",INFANTRY,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/ONE-CITYHUB-COMPANY-LIMITED/1S00PED72?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0066QYG?fairCode=te&locale=en
Tutima (Hong Kong) Limited,Hong Kong,,Manufacturer,Brandname Watch,Boccia Titanium Watches,OBM,BOCCIA TITANIUM,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tutima-Hong-Kong-Ltd/1X04NF6L?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0065NQ7?fairCode=te&locale=en
Hereda (Shanghai) Jewelry Limited Company,Chinese Mainland,,"Manufacturer, Exporter","Ladies Watch,Brandname Watch,Mens Watch","Emerald jade watch,watch","ODM, OEM, Others",HENOTI,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hereda-Shanghai-Jewelry-Limited-Company/1S00PCW9D?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00662QS?fairCode=te&locale=en
POINT TEC Products Electronic GmbH,Germany,"The watchband POINTtec was founded in 1987 and designs, produces and distributes its own watches under the brand names ZEPPELIN, Ruhla and bauhaus. The watches are assembled in the company’s own production facility, which has a rich history dating back to 1862. This means, that all watches are “Made in Germany” – developed and manufactured by highly qualified personnel. POINTtec works with first-class, reliable partners that also supply their components to well-known manufacturers of luxury watches. The founder and owner of POINTtec, Mr Willi Birk, always strives to provide the customers watches with the highest quality at the best possible price-performance ratio. In the entry-level price segment, POINTtec uses quartz movements by renowned manufacturers such as ETA or Ronda. The medium and upper price ranges feature mechanical watches equipped with movements from Sellita or Citizen/MIYOTA. POINTtec has succeeded to become one of Germany’s largest watchmakers, selling over 100.000 watches per year.",Manufacturer,"Skeleton Mechanical Watch,Quartz Analogue Watch,Diver Watch,Chronograph Watch,Pilot Watch,Solar Watch,Ladies Watch,Brandname Watch,Designer Watch,Mens Watch","POINTtec is producing high quality wristwatches. In the entry-level segment, quartz movements by renowned manufacturers such as ETA or Ronda are used. Above that, the watches feature mechanical movements from Miyota or Sellita up to Chronometers.","OBM, OEM","ZEPPELIN,Ruhla,bauhaus",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/POINT-TEC-Products-Electronic-GmbH/1S00P4X10?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064U3X?fairCode=te&locale=en
"Shenzhen TianboWatch Co,Ltd",Chinese Mainland,,"Manufacturer, Exporter","Ladies Watch,Mens Watch",Jewelry watches,"OBM, Others, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-TianboWatch-Co-Ltd/1S00PE36F?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00663VC?fairCode=te&locale=en
TimeWise Global GmbH,Switzerland,,Distributor,"Quartz Analogue Watch,Chronograph Watch,Ladies Watch,Mens Watch",Gent & Ladies Quartz Wrist Watches,Others,Scotch & Soda,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/TimeWise-Global-GmbH/1S00PE28A?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00662M4?fairCode=te&locale=en
Present Watch & Jewelry Company Limited,Hong Kong,"established in 2022, during covid 19 we design and produce our own design watch in our brand. Although our brand is young and fresh,our team have been manufacturing diamond jewelry over 50 years and have been ODM in jewelry watches.",Exporter,,比辰鐘錶珠寶把自己定位為帶有東方美學特色的香港鐘錶品牌生產及銷售自家設計的原創手錶,OBM,PRESENT,,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong International Jewellery Show 2026 Hong Kong Watch Mission to Jakarta, Indonesia HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong International Jewellery Show 2025 Exploratory Study Mission to the Middle East Show More",,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/PRESENT-WATCH-JEWELRY-COMPANY-LIMITED/1S00OC9X0?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064U7L?fairCode=te&locale=en
Sun Flame Co Ltd,Japan,"Sun Flame Co., Ltd. has been established in 1984, in 2015 we have started own workshop in Tokyo, Japan. we are distributing our Sun Flame Brand and Grand Jour Brand (Ladies Line) to all over Japan already and now we are looking for a reliable customers all over the world.","Exporter, Manufacturer, Distributor","Skeleton Mechanical Watch,Quartz Analogue Watch,Chronograph Watch,Jewelled-lever Automatic Watch,Solar Watch,Ladies Watch,Brandname Watch,Mens Watch,Smart Watch","Sun Flame CO.,Ltd. has been established in 1984.","OEM, ODM, OBM","SUN FLAME,Grand Jour",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sun-Flame-Co-Ltd/1X0F0DW1?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00663UF?fairCode=te&locale=en
Adriatica PR&A Watch Sagl,Switzerland,,,,,,Adriatica,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 Show More,,,N/A,https://www.hktdc.com/event/te/en/exhibitor/1S0066WYA?fairCode=te&locale=en
Jowissa Watch Ltd,Switzerland,,,,,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,N/A,https://www.hktdc.com/event/te/en/exhibitor/1S0066WQY?fairCode=te&locale=en
"Guangzhou Tianyuan Watch Co., Ltd.",Chinese Mainland,"ShenZhen TianTuo Watch Industry Co., Ltd., Ltd., the brand I&W CARNIVAL watch, set up its own factory, independent design, self-production and self-marketing, domestic shopping malls with self-support and franchise counters, products reputation sales at home and abroad.","Manufacturer, Exporter","Skeleton Mechanical Watch,Brandname Watch,Mens Watch,Smart Watch","I&W CARNIVAL watch brand display Speed Pioneer series, Bumblebee series, extraordinary Master series, Smile time series watches, optional independent brand agent, OEM production,","ODM, OEM","I&W CARNIVAL,CARNIVAL",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Tianyuan-Watch-Co-Ltd-/1S00P5JVW?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00659SF?fairCode=te&locale=en
Berlink Timepiece (HK) Limited,Hong Kong,,Distributor,"Skeleton Mechanical Watch,Mens Watch",VETRON WATCHES,Others,VETRON,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Berlink-Timepiece-HK-Limited/1X0A3UZJ?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064CSC?fairCode=te&locale=en
"Grand Bentley International Co., Limited",Hong Kong,"Bentley Watches was founded in 1948 in La Chaux-de-Fonds, Switzerland, merging traditional Swiss craftsmanship with modern design. Early on, the brand engineered durable in-house movements under strict military-industrial standards, forming its core values of stability, precision, and professionalism, which earned global trust. In the 1990s, Bentley incorporated fashion-forward elements, blending classic aesthetics with contemporary styles and gaining strong recognition in the fashion world. Defined by European elegance and a sense of prestige, Bentley continues to innovate while expanding into lifestyle accessories. Its dedication to quality and design excellence has secured its position as a respected name in international watchmaking.","Department Store, Wholesaler, Mail Order Co., Chain Store, Buying Cooperative, Buying Office, Export Agent, Exporter, Importer, Import Agent, Shopping Mall, Manufacturer, Retailer, Distributor","Digital Watch,Skeleton Mechanical Watch,Mechanical Hands & Digital Watch,24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Diver Watch,Sports Timer Watch,Chronograph Watch,Jewelled-lever Automatic Watch,Pilot Watch,Ladies Watch,Brandname Watch,Designer Watch,Mens Watch,Moon Phase Mechanical Watch,Promotional Watch,Smart Watch,Bluetooth Smart Watch","Established in 1948 in La Chaux-de-Fonds, Switzerland, BENTLEY Watches combines traditioanl craftsmanship with innovative design. Known for their precision and luxury, BENTLEY watches balance tradition and modernity.","OBM, OEM, ODM",BENTLEY,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong International Licensing Show 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Grand-Bentley-International-Co-Limitied/1S00OQGS8?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064U06?fairCode=te&locale=en
Aerowatch SA,Switzerland,,,,,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025,,,N/A,https://www.hktdc.com/event/te/en/exhibitor/1S0066WMA?fairCode=te&locale=en
Atlantic,Switzerland,,,,,,Atlantic,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025,,,N/A,https://www.hktdc.com/event/te/en/exhibitor/1S0066WVJ?fairCode=te&locale=en
Charles Auguste Paillard Sàrl,Switzerland,,,,,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,N/A,https://www.hktdc.com/event/te/en/exhibitor/1S0066WWG?fairCode=te&locale=en
David Van Heim,Switzerland,,,,,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,N/A,https://www.hktdc.com/event/te/en/exhibitor/1S0066WTP?fairCode=te&locale=en
Manufacture des Montres Vulcain SA,Switzerland,,,,,,vulcain,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,N/A,https://www.hktdc.com/event/te/en/exhibitor/1S0066WSS?fairCode=te&locale=en
Marvin,Switzerland,,,,,,Marvin,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025,,,N/A,https://www.hktdc.com/event/te/en/exhibitor/1S0066WXD?fairCode=te&locale=en
Mathey Tissot,Switzerland,,,,,,Mathey Tissot,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025,,,N/A,https://www.hktdc.com/event/te/en/exhibitor/1S0066WO4?fairCode=te&locale=en
Monjour Watch Group SA,Switzerland,,,,,,IMHOF,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,N/A,https://www.hktdc.com/event/te/en/exhibitor/1S0066WRV?fairCode=te&locale=en
Pilo & Co Sa,Switzerland,,,,,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 Show More,,,N/A,https://www.hktdc.com/event/te/en/exhibitor/1S0066WLD?fairCode=te&locale=en
"Guangdong Juchuang Watch Co., Ltd.",Chinese Mainland,,"Manufacturer, Exporter","Skeleton Mechanical Watch,Mechanical Hands & Digital Watch,Quartz Analogue Watch,Ladies Watch,Brandname Watch,Designer Watch,Mens Watch","MINBER, a watch brand from Guangdong Juchuang Watch Co., Ltd., was founded by Mr. Zou in 1988. In itsearly years, the brand focused on providing mechanical watch design and OEM services forbespoke handmade watch brands in Asia and the Middle East, ea","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Juchuang-Watch-Co-Ltd-/1S00OJ5QP?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00662N1?fairCode=te&locale=en
"Guangzhou Saishi Watch Co., Ltd.",Chinese Mainland,,Manufacturer,"Skeleton Mechanical Watch,24 Hour Dial Mechanical Watch,Brandname Watch,Mens Watch",Roaring calf Watches,"OBM, ODM, OEM",roaringcalf,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Saishi-Watch-Co-Ltd-/1S00PC6FL?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0065NUV?fairCode=te&locale=en
Acestar Concept Limited,Hong Kong,,"Charity / Welfare Organisation, Trade/Industrial Organisation, Wholesaler, Distributor, Importer, Shopping Mall, Buying Cooperative, Chain Store, Department Store, Retailer","Skeleton Mechanical Watch,Quartz Analogue Watch","The Muzeum Of Dazzling Art, created through a premier Fench art Partership with Monet, masterfully blens innovation and tradition to showcase visually Striking masterprieces.",OBM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong International Jewellery Show 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2023 Hong Kong Watch and Clock Mission to UAE (Dubai) HKTDC Hong Kong Watch & Clock Fair 2022 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Acestar-Concept-Ltd/1X06OK1B?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0066HOJ?fairCode=te&locale=en
Mitico Technology Limited,Hong Kong,,"Distributor, Manufacturer, Wholesaler","Jewelled-lever Automatic Watch,Brandname Watch,Designer Watch,Mens Watch","we will display our modified movement watches which we have created, showcase our creativity on time reading","OEM, ODM","Mitico,Power Panda,Deeptec",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mitico-Technology-Limited/1X0B6JGZ?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064AQK?fairCode=te&locale=en
SEIKO Hong Kong Ltd.,Hong Kong,,Exporter,"Quartz Analogue Watch,Ladies Watch,Brandname Watch,Mens Watch","本公司是ALBA及LORUS之生產商,兩個品牌分別出口到東南亞，中東，歐洲, 澳洲，加拿大等地。由我們當地代理發行我們的錶到零售商作售賣。今之參展原因是想推廣這兩個品牌給一些零售商，希望幫助品牌之推廣。",OBM,"ALBA ,LORUS",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SEIKO-Hong-Kong-Ltd-/1S00PE37C?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00663X6?fairCode=te&locale=en
