"logo-wall--name","logo-wall__name-short","text-decoration-none href","image--img src"
"Fraunhofer ISI","Fraunhofer ISI","",""
"Freaky Pink","Freaky Pink","",""
"","Friday Sundae","https://www.gamescom.global/en/exhibitor/friday-sundae",""
"Frozen District","Frozen District","",""
"Fukuma","Fukuma","",""
"","FULLSET","https://www.gamescom.global/en/exhibitor/fullset",""
"","Funday Games","https://www.gamescom.global/en/exhibitor/funday-games",""
"Funselektor","Funselektor","",""
"FuturLab","FuturLab","",""
"Fátima Gómez Arroyo","Fátima Gómez Arroyo","",""
"Gallery Panda","Gallery Panda","",""
"game events","game events","",""
"Game Source Entertainment","Game Source Entertainment","",""
"Gamecity Hamburg","Gamecity Hamburg","",""
"Gamers Hunter","Gamers Hunter","",""
"","Games From Ukraine","https://www.gamescom.global/en/exhibitor/games-from-ukraine",""
"Games Weavers Productions","Games Weavers Productions","",""
"","Games/Bavaria","https://www.gamescom.global/en/exhibitor/gamesbavaria",""
"gamesAHEAD e.V.","gamesAHEAD e.V.","",""
"gamescom asia","gamescom asia","",""
"gamescom latam","gamescom latam","",""
"GameTeahouse","GameTeahouse","",""
"","GameUp! RLP","https://www.gamescom.global/en/exhibitor/gameup-rlp",""
"GAMEZ STUDIO","GAMEZ STUDIO","",""
"Gamhalla","Gamhalla","",""
"","gamigo Group","https://www.gamescom.global/en/exhibitor/gamigo",""
"","Gaming Ohne Grenzen","https://www.gamescom.global/en/exhibitor/gaming-ohne-grenzen",""
"","Gamirror Games","https://www.gamescom.global/en/exhibitor/gamirror-games",""
"Gate to the Games","Gate to the Games","",""
"Gateron","Gateron","",""
"Genki","Genki","",""
"","Gentle Giants","https://www.gamescom.global/en/exhibitor/gentle-giants",""
"Genuport Trade GmbH","Genuport Trade GmbH","",""
"Gesellschaft für Medienpädagogik und Kommunikationskultur","Gesellschaft für Medienpädagogik und Kommunikationskultur","",""
"GG Gute Gesellschaft","GG Gute Gesellschaft","",""
"Ghost Machine Games","Ghost Machine Games","",""
"GIANTS Software","GIANTS Software","",""
"GIGA-BYTE","GIGA-BYTE","",""
"Gino","Gino","",""
"","EPOMAKER","https://www.gamescom.global/en/exhibitor/epomaker","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cmrk21e8tr6py07umt23ytfmo"
"","Everheart","https://www.gamescom.global/en/exhibitor/everheart","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms0ji5l5mm9407w1r0k04wxi"
"","Extremely Normal","https://www.gamescom.global/en/exhibitor/extremely-normal","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrnn1u1e8ju306w8a3xx1123"
"","Failbetter Games","https://www.gamescom.global/en/exhibitor/failbetter-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr0h79gmlbb807wamybemeok"
"","Finish Line Games","https://www.gamescom.global/en/exhibitor/finish-line-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cmr2kmws3dgaf07uigad2ij6r"
"","Finji","https://www.gamescom.global/en/exhibitor/finji","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmqz80fpb863608vx811fyvrk"
"","Fire Brick Games","https://www.gamescom.global/en/exhibitor/dopi-games-oyun-yazilim-ve-paz-as","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms5yxlv0lp4a07usdufcur4q"
"","FIRECHICK","https://www.gamescom.global/en/exhibitor/firechick","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms8svqgzvw5307w9a4arbfy0"
"","Flamehead Games","https://www.gamescom.global/en/exhibitor/flamehead-games-ug-haftungsbeschraenkt","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cmruf7a0s0ubl07w4fxksxkr7"
"","FLAT28","","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr3er5s90ht207w2g54r3659"
"","Flo Malo Dev","https://www.gamescom.global/en/exhibitor/florian-malogajski-dev","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrz2yud44d1v07w13ly5vfhy"
"","Fraoula","https://www.gamescom.global/en/exhibitor/fraoula","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrhxnm4rtljq07w7dmn06t9s"
"","Friday Sundae","https://www.gamescom.global/en/exhibitor/friday-sundae","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrat9npl1idk08vx0awnfjbc"
"","FULLSET","https://www.gamescom.global/en/exhibitor/fullset","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms6oeisn4y7b07ushgl5727a"
"","Funday Games","https://www.gamescom.global/en/exhibitor/funday-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr1qvz20chj507un7eawfryn"
"","Games From Ukraine","https://www.gamescom.global/en/exhibitor/games-from-ukraine","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrnlea2t7qk406w86g0l3ixi"
"","Games/Bavaria","https://www.gamescom.global/en/exhibitor/gamesbavaria","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms4c4mfodupd06w0h0rh88vx"
"","GameUp! RLP","https://www.gamescom.global/en/exhibitor/gameup-rlp","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmruc2o47o3lc07w4pyeocbfh"
"","gamigo Group","https://www.gamescom.global/en/exhibitor/gamigo","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms94x1tr1cwg07vxphlr9mek"
"","Gaming Ohne Grenzen","https://www.gamescom.global/en/exhibitor/gaming-ohne-grenzen","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmsek7rwr4jqa07vzafpvfl4a"
"","Gamirror Games","https://www.gamescom.global/en/exhibitor/gamirror-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmryosnic0wr507uk6s2s24xl"
"","Gentle Giants","https://www.gamescom.global/en/exhibitor/gentle-giants","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms92j6jh1xj207uupeapsyob"
"GlassStaff","GlassStaff","",""
"GLITZ WEAR","GLITZ WEAR","",""
"Gloho Games","Gloho Games","",""
"Glory Jam","Glory Jam","",""
"Gmode","Gmode","",""
"","Goblinz Studio","https://www.gamescom.global/en/exhibitor/goblinz-studio","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr1vgq350r4q07vyi3aawr2y"
"Goethe-Institut Israel","Goethe-Institut Israel","",""
"Golden Snub Games","Golden Snub Games","",""
"Gomazing","Gomazing","",""
"","Good Story Guild","https://www.gamescom.global/en/exhibitor/good-story-guild","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms5b6obel8vm07ulu9sl1r61"
"Google","Google","",""
"","Goreng Games","https://www.gamescom.global/en/exhibitor/goreng-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmsaq8067soo107vxnpma7grh"
"goro_orb","goro_orb","",""
"Grateek","Grateek","",""
"","Greek National Delegation","https://www.gamescom.global/en/exhibitor/greek-national-delegation",""
"Greenpeace","Greenpeace","",""
"Grinding Gear Games","Grinding Gear Games","",""
"Grounding","Grounding","",""
"","grownarts","https://www.gamescom.global/en/exhibitor/grownarts",""
"Grumpy Geeks Jakub Firlit","Grumpy Geeks Jakub Firlit","",""
"GRYPHLINE","GRYPHLINE","",""
"Gudsen Technology","Gudsen Technology","",""
"Gueye International Events","Gueye International Events","",""
"Gugu Global","Gugu Global","",""
"","Guild Studio","https://www.gamescom.global/en/exhibitor/guild-studio-co-ltd",""
"","Half Sword","https://www.gamescom.global/en/exhibitor/half-sword",""
"HalfSoupLabs","HalfSoupLabs","",""
"Hamiga Studio","Hamiga Studio","",""
"Haneda Project","Haneda Project","",""
"Hannah Flattinger","Hannah Flattinger","",""
"Happinet Corporation","Happinet Corporation","",""
"Happy Trading","Happy Trading","",""
"Harman","Harman","",""
"HAVIT","HAVIT","",""
"","He2 Games","https://www.gamescom.global/en/exhibitor/he2-games",""
"Headis","Headis","",""
"","Headless Knight","",""
"Headup","Headup","",""
"Heaviside Creations","Heaviside Creations","",""
"heise","heise","",""
"Hello Geek and Freak","Hello Geek and Freak","",""
"Herobeat Studios","Herobeat Studios","",""
"Hessen Agentur","Hessen Agentur","",""
"Hessen Finanzen","Hessen Finanzen","",""
"","Hidden Folks","",""
"Hildegard-von-Bingen Gymnasium","Hildegard-von-Bingen Gymnasium","",""
"hitschler","hitschler","",""
"Hochschule Bonn-Rhein-Sieg","Hochschule Bonn-Rhein-Sieg","",""
"Hochschule Darmstadt","Hochschule Darmstadt","",""
"Hochschule für angewandtes Management","Hochschule für angewandtes Management","",""
"Hochschule Kempten","Hochschule Kempten","",""
"","Hochschule Mittweida","https://www.gamescom.global/en/exhibitor/hochschule-mittweida",""
"Hochschule Neu-Ulm HNU","Hochschule Neu-Ulm HNU","",""
"Hochschule Niederrhein","Hochschule Niederrhein","",""
"Hochschule Trier","Hochschule Trier","",""
"HOLY","HOLY","",""
"Holymolly","Holymolly","",""
"HOONAYA","HOONAYA","",""
"Host No.4","Host No.4","",""
"","House 16 Software","https://www.gamescom.global/en/exhibitor/house-16-software-pty-ltd",""
"","HoYoverse","https://www.gamescom.global/en/exhibitor/hoyoverse",""
"","Human Computer","https://www.gamescom.global/en/exhibitor/human-computer-game-corporation",""
"","Humble Reeds","https://www.gamescom.global/en/exhibitor/humble-reeds",""
"Hunan Yunxi","Hunan Yunxi","",""
"Huynh Christelle","Huynh Christelle","",""
"HYPER REAL","HYPER REAL","",""
"","Hyperstrange","https://www.gamescom.global/en/exhibitor/hyperstrange-sa",""
"HyperX","HyperX","",""
"","iam8bit Presents","https://www.gamescom.global/en/exhibitor/iam8bit-presents",""
"icd instinctive clothing & design","icd instinctive clothing & design","",""
"ICEC","ICEC","",""
"ICEX","ICEX","",""
"idealo","idealo","",""
"Idemasport","Idemasport","",""
"iDventure","iDventure","",""
"iiyama","iiyama","",""
"Il Nuovo Mondo","Il Nuovo Mondo","",""
"","imissmyfriends","https://www.gamescom.global/en/exhibitor/imissmyfriends",""
"","Imperfect Games","https://www.gamescom.global/en/exhibitor/imperfect-games-technology-coltd",""
"","Indie Arena Booth","",""
"","INDIE Hub","https://www.gamescom.global/en/exhibitor/indie-hub-ug-haftungsbeschraenkt",""
"IndieLab","IndieLab","",""
"","Indies of the Americas Showcase","https://www.gamescom.global/en/exhibitor/indies-of-the-americas",""
"","Indoor Astronaut","https://www.gamescom.global/en/exhibitor/indoor-astronaut",""
"","Infernozilla","https://www.gamescom.global/en/exhibitor/infernozilla",""
"Infernozilla","Infernozilla","",""
"","Infini Fun","https://www.gamescom.global/en/exhibitor/infini-fun",""
"","InFlora","https://www.gamescom.global/en/exhibitor/inflora-games",""
"Infoboard Europe","Infoboard Europe","",""
"INFOLD","INFOLD","",""
"","Infosupergames","https://www.gamescom.global/en/exhibitor/information-superhighway-games",""
"","Ingenious Studios","https://www.gamescom.global/en/exhibitor/ingenious-studios-doo",""
"Inonaka Games","Inonaka Games","",""
"Inpleron","Inpleron","",""
"","Insomnia Development","https://www.gamescom.global/en/exhibitor/insomnia-development-ug",""
"INSTINCT3","INSTINCT3","",""
"Intel","Intel","",""
"IQUNIX","IQUNIX","",""
"","ItsTheEm","https://www.gamescom.global/en/exhibitor/itstheem",""
"IU Internationale Hochschule","IU Internationale Hochschule","",""
"","Greek National Delegation","https://www.gamescom.global/en/exhibitor/greek-national-delegation","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrvrsbjvgccg07w6l7ep5eiv"
"","grownarts","https://www.gamescom.global/en/exhibitor/grownarts","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmqz9z80l9sq607waxce3hi5p"
"","Guild Studio","https://www.gamescom.global/en/exhibitor/guild-studio-co-ltd","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrua4btangws07w458ir2hgm"
"","Half Sword","https://www.gamescom.global/en/exhibitor/half-sword","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmryyxman1gab07w130op24n9"
"","He2 Games","https://www.gamescom.global/en/exhibitor/he2-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms3e3v060hnr06w0xtiyfhbq"
"","Headless Knight","","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrwfeqtz3d9b08vyvzcfgiu5"
"","Hidden Folks","","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr356exngj7807uie17yk11g"
"","Hochschule Mittweida","https://www.gamescom.global/en/exhibitor/hochschule-mittweida","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrw0kd8bnerg07vykp7ulgil"
"","House 16 Software","https://www.gamescom.global/en/exhibitor/house-16-software-pty-ltd","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms0tn4hbreou07w12vchmo4h"
"","HoYoverse","https://www.gamescom.global/en/exhibitor/hoyoverse","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmsde6xs66xjl07vxbo047slm"
"","Human Computer","https://www.gamescom.global/en/exhibitor/human-computer-game-corporation","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr3xeh6o9cxr07w8w7yr45ul"
"","Humble Reeds","https://www.gamescom.global/en/exhibitor/humble-reeds","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr0so69l3mca07uscc1pwciv"
"","Hyperstrange","https://www.gamescom.global/en/exhibitor/hyperstrange-sa","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmsbmkugeevba07uk0o4b4y50"
"","iam8bit Presents","https://www.gamescom.global/en/exhibitor/iam8bit-presents","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms6op3jzk6f807ury3x5ddzz"
"","imissmyfriends","https://www.gamescom.global/en/exhibitor/imissmyfriends","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr8tfy6tcqsd07w2fn2skdqf"
"","Imperfect Games","https://www.gamescom.global/en/exhibitor/imperfect-games-technology-coltd","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrorf8up3ms107utlpx5e5wt"
"","Indie Arena Booth","","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr0nzjh114jc07us3pcios58"
"","INDIE Hub","https://www.gamescom.global/en/exhibitor/indie-hub-ug-haftungsbeschraenkt","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms3bwfz40c5l08unz76vl073"
"","Indies of the Americas Showcase","https://www.gamescom.global/en/exhibitor/indies-of-the-americas","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrweckvx2z9907un7vm10xny"
"","Indoor Astronaut","https://www.gamescom.global/en/exhibitor/indoor-astronaut","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrx90ywpaglx08vybp4sd4fd"
"","Infernozilla","https://www.gamescom.global/en/exhibitor/infernozilla","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms7hg89f7gn906w1gwd5k6hi"
"","Infini Fun","https://www.gamescom.global/en/exhibitor/infini-fun","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrueiaza0i5i07w4rxl8cv9z"
"","InFlora","https://www.gamescom.global/en/exhibitor/inflora-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms3cyctg1rtu08unp6892bc7"
"","Infosupergames","https://www.gamescom.global/en/exhibitor/information-superhighway-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrakhen72wo107w1lunmqys6"
"","Ingenious Studios","https://www.gamescom.global/en/exhibitor/ingenious-studios-doo","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrj2pnyoesld07umvka9xzzu"
"","Insomnia Development","https://www.gamescom.global/en/exhibitor/insomnia-development-ug","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms4qxzcz9j3p07ulvic66uiw"
"","ItsTheEm","https://www.gamescom.global/en/exhibitor/itstheem","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrf623obha3307umbxa7voc7"
"","Ivy Juice","https://www.gamescom.global/en/exhibitor/ivy-juice-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrm05nhkcgoh07w1ssqh1ehu"
"J'IMPRIME COMME JM","J'IMPRIME COMME JM","",""
"J.K. Entertainment","J.K. Entertainment","",""
"Jackson Hansen","Jackson Hansen","",""
"Jacky's World","Jacky's World","",""
"","Jam Jar Jet","","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms9lf0yze7g307uuigouq5h4"
"Jennifer Heß","Jennifer Heß","",""
"JETRO","JETRO","",""
"jfc Medienzentrum","jfc Medienzentrum","",""
"Jilin Animation Institute","Jilin Animation Institute","",""
"Jinsu Theme Park","Jinsu Theme Park","",""
"Joe Yu Studio","Joe Yu Studio","",""
"JOINCO GAMES","JOINCO GAMES","",""
"joojee","joojee","",""
"","Joystick Ventures","https://www.gamescom.global/en/exhibitor/joystick-ventures",""
"Jugendforum NRW","Jugendforum NRW","",""
"Jugendzentren Köln","Jugendzentren Köln","",""
"Julia Salm","Julia Salm","",""
"","julien & erika","",""
"Jumbo Spiele","Jumbo Spiele","",""
"Junge Presse Nordrhein-Westfalen","Junge Presse Nordrhein-Westfalen","",""
"JUST FOR FUN","JUST FOR FUN","",""
"Justiz NRW","Justiz NRW","",""
"Jérémi IOGNA","Jérémi IOGNA","",""
"","Kabam Games","https://www.gamescom.global/en/exhibitor/kabam-games-inc",""
"Kaigan Games","Kaigan Games","",""
"","Kakehashi Games","https://www.gamescom.global/en/exhibitor/kakehashi-games",""
"","kaleidoscube","https://www.gamescom.global/en/exhibitor/kaleidoscube-gmbh",""
"Kaloplay","Kaloplay","",""
"KantaKerro","KantaKerro","",""
"Kaomoji","Kaomoji","",""
"KARNOX","KARNOX","",""
"Kawasaki","Kawasaki","",""
"KEMCO","KEMCO","",""
"","Kepler Interactive","https://www.gamescom.global/en/exhibitor/kepler-interactive",""
"Khermsart","Khermsart","",""
"kimmysparks","kimmysparks","",""
"Kinder- und Jugendzentrum DachloW","Kinder- und Jugendzentrum DachloW","",""
"KING Art","KING Art","",""
"kinnoishi studio","kinnoishi studio","",""
"Kirakishou","Kirakishou","",""
"Kiriya Kirihara","Kiriya Kirihara","",""
"","Knidaria Games","https://www.gamescom.global/en/exhibitor/knidaria-games",""
"Knochenmarkspenderzentrale","Knochenmarkspenderzentrale","",""
"","KO_OP","https://www.gamescom.global/en/exhibitor/koop",""
"KOCCA","KOCCA","",""
"","Kodobur Games","https://www.gamescom.global/en/exhibitor/kodobur-games",""
"Koeitecmo","Koeitecmo","",""
"Konami","Konami","",""
"konsolenfan.de","konsolenfan.de","",""
"Kosmos","Kosmos","",""
"Kowah","Kowah","",""
"","Krabbenkutter Games","https://www.gamescom.global/en/exhibitor/krabbenkutter-games",""
"","KRAFTON","https://www.gamescom.global/en/exhibitor/krafton",""
"Kraken","Kraken","",""
"","Kranich Games","https://www.gamescom.global/en/exhibitor/kranich-games",""
"KRIESP","KRIESP","",""
"KUDNALLA","KUDNALLA","",""
"","Kugelblitz","https://www.gamescom.global/en/exhibitor/kugelblitz",""
"","Kuixo","",""
"Kurera_Art","Kurera_Art","",""
"KYOUKARAA ILLUSTRATION","KYOUKARAA ILLUSTRATION","",""
"LAN & Gaming Events","LAN & Gaming Events","",""
"Landesarbeitsgemeinschaft Lokale Medienarbeit NRW","Landesarbeitsgemeinschaft Lokale Medienarbeit NRW","",""
"Landessportbund Nordrhein-Westfalen","Landessportbund Nordrhein-Westfalen","",""
"","Lazyflock","",""
"LeenOnArt","LeenOnArt","",""
"Leftovers Games","Leftovers Games","",""
"LEGO","LEGO","",""
"Lern- und Erinnerungsort Notaufnahmelager Gießen","Lern- und Erinnerungsort Notaufnahmelager Gießen","",""
"Leti Arts","Leti Arts","",""
"","Level Infinite","",""
"Lexar","Lexar","",""
"Libero Art Studio","Libero Art Studio","",""
"Lights Interactive","Lights Interactive","",""
"Linda Gleissner Art","Linda Gleissner Art","",""
"Lisa Santrau illustration + design","Lisa Santrau illustration + design","",""
"","Little Buffalo Studios","https://www.gamescom.global/en/exhibitor/little-buffalo-studios",""
"Logitech","Logitech","",""
"Lorena García Segura","Lorena García Segura","",""
"","Lost Lantern Studio","https://www.gamescom.global/en/exhibitor/lost-lantern-studio",""
"Lost Token","Lost Token","",""
"Lucid Rain Studios","Lucid Rain Studios","",""
"LUCID11","LUCID11","",""
"","Lucky Ghost","https://www.gamescom.global/en/exhibitor/lucky-ghost",""
"Ludum Elite","Ludum Elite","",""
"Lumibricks","Lumibricks","",""
"LunyOne","LunyOne","",""
"M3DS Academy","M3DS Academy","",""
"","Mainz University of Applied Sciences","https://www.gamescom.global/en/exhibitor/hochschule-mainz",""
"","MANGO PROTOCOL","https://www.gamescom.global/en/exhibitor/mango-protocol-sl",""
"","MANSION GAMES","https://www.gamescom.global/en/exhibitor/mansion-games",""
"Marios Dalavouras","Marios Dalavouras","",""
"Marketpoint","Marketpoint","",""
"Marlo Art","Marlo Art","",""
"Matsuri Nerd","Matsuri Nerd","",""
"Mattel","Mattel","",""
"Maximum Entertainment","Maximum Entertainment","",""
"MAYFLY","MAYFLY","",""
"MBC Game Studio","MBC Game Studio","",""
"","Joystick Ventures","https://www.gamescom.global/en/exhibitor/joystick-ventures","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmsdj08xoaqa507vwb06csk1u"
"","julien & erika","","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrhmjyjapo6n07w7pvlo3bbd"
"","Kabam Games","https://www.gamescom.global/en/exhibitor/kabam-games-inc","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr4ap6ljcm8u07w8rdxs17ex"
"","Kakehashi Games","https://www.gamescom.global/en/exhibitor/kakehashi-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrceaebq3blh07w0stsxzs9k"
"","kaleidoscube","https://www.gamescom.global/en/exhibitor/kaleidoscube-gmbh","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr3dnoht29po07w1xskvgayu"
"","Kepler Interactive","https://www.gamescom.global/en/exhibitor/kepler-interactive","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms630oxepu1e07usysujpgbm"
