company name,location,,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,HKTDC Events,supplier_url,exhibitor_url,Company Background,Brand Name,"Booth: 5C-C02, 5B-S011   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK, Dragon Lounge - hktdc.com Showcase Zone - Cubic Showcase   |   ",Certificates,Verified Certificates,Other Certificates,Company Website,"Booth: 5B-S015, 1B-C06   |   Dragon Lounge - hktdc.com Showcase Zone - Cubic Showcase, Deluxe Gift Ideas   |   ",Booth: 5B-B07   |   Corporate Gifts   |   ,Booth: 1E-F31   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ,Booth: 5C-C02   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK,Booth: 5B-C17   |   Advertising Premium   |   ,Booth: 1D-C03   |   Hall of Fine Designs   |   ,Booth: 1C-D03   |   Hall of Fine Designs   |   ,Booth: 1C-E13   |   Hall of Fine Designs   |   ,Booth: 1B-C01   |   Deluxe Gift Ideas   |   ,"Booth: 1A-F41, 5B-S007   |   Deluxe Gift Ideas, Dragon Lounge - hktdc.com Showcase Zone - Cubic Showcase   |   ",Booth: 1B-D23   |   Deluxe Gift Ideas   |   ,Booth: 1B-A24   |   Deluxe Gift Ideas   |   ,Booth: 1B-G23   |   Deluxe Gift Ideas   |   ,Booth: 1C-F34   |   Deluxe Gift Ideas   |   ,Booth: 1B-F10   |   Deluxe Gift Ideas   |   ,Booth: 1C-A24   |   Deluxe Gift Ideas   |   ,Booth: 1C-A01   |   Deluxe Gift Ideas   |   ,Booth: 1A-F03   |   Deluxe Gift Ideas   |   ,Booth: 1A-B40   |   Deluxe Gift Ideas   |   ,Booth: 1E-D39   |   Deluxe Gift Ideas   |   ,Booth: 1CON-081   |   Deluxe Gift Ideas   |   ,Booth: 1B-B20   |   Deluxe Gift Ideas   |   ,Booth: 1B-D02   |   Deluxe Gift Ideas   |   ,Booth: 1D-A05   |   Hall of Fine Designs   |   ,Booth: 1B-A32   |   Deluxe Gift Ideas   |   ,Booth: 3B-E35   |   Green Living   |   ,Booth: 1B-F02   |   Deluxe Gift Ideas   |   ,Booth: 1C-E29   |   Deluxe Gift Ideas   |   ,Booth: 1B-A02   |   Deluxe Gift Ideas   |   ,Booth: 1B-A38   |   Deluxe Gift Ideas   |   ,Booth: 1D-B34   |   Deluxe Gift Ideas   |   ,Booth: 1A-D23   |   Deluxe Gift Ideas   |   ,Booth: 1C-C23   |   Deluxe Gift Ideas   |   ,Booth: 1B-D19   |   Deluxe Gift Ideas   |   ,Booth: 1E-A36   |   Deluxe Gift Ideas   |   ,Booth: 1A-E11   |   Deluxe Gift Ideas   |   ,Booth: 1D-A30   |   Deluxe Gift Ideas   |   ,Booth: 1C-B12   |   Deluxe Gift Ideas   |   ,Booth: 1A-D37   |   Deluxe Gift Ideas   |   ,Booth: 1C-A05   |   Deluxe Gift Ideas   |   ,Booth: 1B-D22   |   Deluxe Gift Ideas   |   ,Booth: 1E-C32   |   Deluxe Gift Ideas   |   ,Booth: 1B-E27   |   Deluxe Gift Ideas   |   ,Booth: 1B-E39   |   Deluxe Gift Ideas   |   ,Booth: 1E-A31   |   Deluxe Gift Ideas   |   ,Booth: 1B-E43   |   Deluxe Gift Ideas   |   ,Booth: 1B-G33   |   Deluxe Gift Ideas   |   ,Booth: 1A-B14   |   Deluxe Gift Ideas   |   ,Booth: 1D-B38   |   Deluxe Gift Ideas   |   ,Booth: 1CON-035   |   Deluxe Gift Ideas   |   ,Booth: 1A-F36   |   Deluxe Gift Ideas   |   ,Booth: 1B-G20   |   Deluxe Gift Ideas   |   ,Booth: 1A-A08   |   Deluxe Gift Ideas   |   ,Booth: 1B-C44   |   Deluxe Gift Ideas   |   ,Booth: 1A-A16   |   Deluxe Gift Ideas   |   ,Booth: 1B-F36   |   Deluxe Gift Ideas   |   ,Booth: 1B-G16   |   Deluxe Gift Ideas   |   ,Booth: 1E-A44   |   Deluxe Gift Ideas   |   ,Booth: 1C-B24   |   Deluxe Gift Ideas   |   ,Booth: 1B-C13   |   Deluxe Gift Ideas   |   ,Booth: 5B-F26   |   Advertising Premium   |   ,Booth: GH-F09   |   Decorative Gifts & Festive Items   |   ,Booth: 3B-D43   |   Green Living   |   ,Booth: GH-A12   |   Travel & Luggage   |   ,Booth: 5CON-02A   |   Advertising Premium   |   ,"Booth: 5B-D13, 5B-S012   |   Advertising Premium, Dragon Lounge - hktdc.com Showcase Zone - Cubic Showcase   |   ",Booth: 3B-A14   |   Taiwan Pavilion   |   ,Booth: 3B-C43   |   Tech Gifts   |   ,Booth: GH-B03   |   Travel & Luggage   |   ,Booth: 5B-C08   |   Advertising Premium   |   ,Booth: 3B-C23   |   Tech Gifts   |   ,Booth: GH-E04   |   Decorative Gifts & Festive Items   |   ,Booth: 5B-D07   |   Advertising Premium   |   ,Booth: 5B-B20   |   Advertising Premium   |   ,Booth: 5C-B20   |   Advertising Premium   |   ,Booth: 3B-B13   |   Taiwan Pavilion   |   ,Booth: 5B-C14   |   Advertising Premium   |   Cantonese Business Go Global,Booth: GH-D21   |   Chinese Mainland Pavilion   |   Chinese Mainland Pavilion (Yangzhou Pavilion),Booth: 5C-D21   |   Advertising Premium   |   ,Booth: GH-F17   |   Decorative Gifts & Festive Items   |   ,Booth: 3B-D41   |   Green Living   |   ,Booth: 3B-B18   |   Tech Gifts   |   ,Booth: 3B-D39   |   Green Living   |   ,Booth: 3B-C37   |   Tech Gifts   |   ,Booth: 5C-E01   |   Stationery   |   ,Booth: 3B-E18   |   Tech Gifts   |   
Shangyu Industrial Limited,Hong Kong,,"Chain Store, Buying Office, Buying Cooperative, Distributor","Raincoat,Umbrella,Water Bottle","Providing order services such as umbrellas, Backpacks, Water cups, Stationery, etc.",OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Baby Products Fair 2024 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SHANGYU-INDUSTRIAL-LIMITED/1S00OCHH4,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DQZD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shenzhen Sunled Stationery & Gifts Co., Limited",Hong Kong    |    Factory in Chinese Mainland,,"Manufacturer, Exporter","Advertising Premium, Souvenir & Premium, Writing Equipment, Stationery & Office Equipment",Coustomized creative stationery items.,"ODM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2019,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Sunled-Stationery-Gifts-Co-Limited/1X0AONOF,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005F23P,"As a cute stationery supplier, we have been focusing on R&D and manufacturing creative stationery gift for many years.",sunled,,,,,china-sunled.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somme Limited,Hong Kong,,Importer,Musical Toy,Musical Toys for gifts.,OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Somme-Limited/1X0F0DEJ,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005FGT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sosolnet Technology Co,Hong Kong    |    Factory in Chinese Mainland,,"Exporter, Export Agent, Distributor","Musical Toy, Plastic Toy",Tech Premium Products.,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Baby Products Fair 2020 HKTDC Hong Kong Toys & Games Fair 2020 HKTDC Hong Kong Electronics Fair (Spring Edition) 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sosolnet-Technology-Co/1X0AL5E7,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DXA9,Tech and gifts Premium Exporter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stronglumen Opto Co., Limited",Hong Kong,,Manufacturer,School Bag,Bag.,ODM,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong Baby Products Fair 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/STRONGLUMEN-OPTO-CO-LIMITED/1X0AO9ZA,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005FK0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumwin International Limited,Hong Kong,,Manufacturer,"Printed Matter, Photo Album, Memo Pad, Medal, Name Card Holder, Cosmetic Bag, Note Book, Costume Jewellery",Photo frame.,"ODM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Electronics Fair (Spring Edition) 2018 HKTDC Hong Kong International Jewellery Show 2018 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sumwin-International-Limited/1X09EID5,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DXD0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supo Star Development Limited,Hong Kong    |    Factory in Chinese Mainland,,"Exporter, Manufacturer","Digital Photo Frame,Earphone,Speaker,Audio-Visual Product,Tablet & Accessory,Mouse,USB Flash Drive,Computer Peripherals & Accessories,Mobile Phone Accessory,Power Bank","USB Flash Drives, SSD, Charge Cables, Bluetooth Speaker, Video Card and Video Box, Power Bank, Wireless Charger and Smart Wristband, etc.","OEM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Supo-Star-Development-Limited/1S00OZ6OU,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005JKZJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tonglu Huayuan Imp & Exp Co., Limited",Hong Kong    |    Factory in Chinese Mainland,,"Export Agent, Manufacturer",Advertising Premium,Customized logo print ballpoint Pens and customized writing ink plastic ballpen.,"ODM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Toys & Games Fair 2023 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tonglu-Huayuan-Imp-Exp-Co-Limited/1X0AFBMH,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DQUS,"As a trading company in Hong Kong, we have own factory in Chinese Mainland.",Huayuan Pens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tonglu Seven Imp&Exp Co., Limited",Hong Kong    |    Factory in Chinese Mainland,,Exporter,"Gift Stationery, Advertising Premium","Pens and Promotion Gifts. We achieve these benefits through continuous innovation, constant dedication and unflagging can do attitude.","OEM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tonglu-Seven-Imp-Exp-Co-Limited/1X0B3LCX,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005F4ZZ,"Year after year, we offer the highest quality, the best selection and tge fast and most reliable service and products.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Topfly Headwear & Bag Co., Limited",Hong Kong,,Manufacturer,Hat & Cap,Baseball cap,ODM,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/TOPFLY-HEADWEAR-BAG-CO-LIMITED/1S00OHV4T,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DXJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topjet Optoelectronic International Limited,Hong Kong,,Manufacturer,"Hat & Cap,Trophy",Coupon.,ODM,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2024 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Topjet-Optoelectronic-International-Limited/1S00O9198,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005FK1D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UC Manufacturing (Asia) Co., Limited",Hong Kong    |    Factory in Thailand,,Service Company,"Camping & Picnic Equipment,Cooler Box,Bar Set,Advertising Premium,Souvenir & Premium,Paper & Paper Product,Beauty Equipment,Environmental Friendly Product","We have many own designs, toolings and patented products.","ODM, OEM","Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Gifts & Premium Fair 2017 HKTDC Hong Kong Gifts & Premium Fair 2016 Instyle - Hong Kong Expo, Jakarta, Indonesia 2015 HKTDC Hong Kong Gifts & Premium Fair 2015 HKTDC Hong Kong Gifts & Premium Fair 2013 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/UC-Manufacturing-Asia-Co-Ltd-/1X073YMK,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005JSFZ,"UCT (Asia) is a global leader in the design, producing and logistics of Gifts with Purchase, Point of Sales Materials and Branded Merchandise dedicated to the Liquor Industry. We incorporated in 2003.","Octopus,Bukkl-up,NightAddz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vanchie Co., Limited",Hong Kong    |    Factory in Chinese Mainland,,Exporter,"Wooden Toy, Advertising Premium","Promotion gifts,Toys,Outdoor gifts and premium. Pattern and size can be customization.","OEM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Vanchie-Co-Limited/1X0B3KLR,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DXXC,Vanchie is a professional manufacturer and exporter of promotion gift and premium. We have customers from over 50 countries and regions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wenzhou Wmoon Commodities Co., Limited",Hong Kong    |    Factory in Chinese Mainland,,"Export Agent, Manufacturer","Souvenir & Premium, Advertising Premium",we are concentrate on promotional items such as travel supplies.,"OEM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wenzhou-Wmoon-Commodities-Co-Limited/1S00OFTVM,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DXB6,Our company is specializing manufacturing of promotion gifts and premiums and has own factory which is located in Chinese Mainland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wing Shung Industrial Co., Limited",Hong Kong,,"Buying Office, Department Store, Chain Store, Distributor, Buying Cooperative","Vacuum Flask,Water Bottle,Bar Set,Quality & Laboratory Testing Service","Bar and Coffee accessories, we are the manufactuer in China.","ODM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Houseware Fair 2013 HKTDC Hong Kong Houseware Fair 2012 HKTDC Hong Kong Houseware Fair 2010,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wing-Shung-Industrial-Company-Ltd-/1X05IAKM,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005K3UF,"We have been a bar and coffee accessories manufacturer in China for over 18 years. Our factory is in Yongkang, Zhejiang.",WS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winstone Industrial Limited,Hong Kong,,Manufacturer,"Passport Cover,Luggage Tag",Baggage tag.,ODM,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Electronics Fair (Spring Edition) 2019,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Winstone-Industrial-Limited/1X0ARVB4,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DXTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winwin Gift & Premium Company Limited,Hong Kong    |    Factory in Chinese Mainland,,"Manufacturer, Exporter","Medal, Advertising Premium, Key Chain","Product range include any metal or soft PVC key chain, badge, coin, fridge magnet and luggage tag.","ODM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Winwin-Gift-Premium-Company-Limited/1S00NV4QQ,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DTVM,"Professional Manufacturer and Exporter of Metal and Soft PVC Promotion and Gift items. We focus on OEM,ODM and OBM orders with design, production and marketing processes.",WINWIN,,,,,gdwinwin.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yijun Acrylic Products Co. Limited,Hong Kong    |    Factory in Chinese Mainland,,Manufacturer,"Bar Set,Key Holder,Advertising Premium,Medal,Paper Weight","Acrylic items be used as gift,premium,for home,for shop,for bar,for restaurant,for hotel,for online selling,etc...Including acrylic display stand,acrylic photo frame,acrylic block,acrylic box,acrylic case,acrylic menu holder,acrylic stationary,etc...","ODM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Gifts & Premium Fair 2017 HKTDC Hong Kong Gifts & Premium Fair 2016 HKTDC Hong Kong Gifts & Premium Fair 2015,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yijun-Acrylic-Products-Co-Limited/1X08YXGT,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DXUL,"Established since 2006,Yijun has become the leading acrylic products supplier in China market.Our company dedicated to providing best quality acrylic products,Over the years, we keep on improving our products in quality, service and equipments.Currently, we possess the latest technology on acrylic sheet production line,injection molding machines,laser machines,CNC machines, cutting machines,drill machines,polish line and silkscreen line, etc. Over 90% of our products are for exports,supplying world-renowned brands like Coca-Cola,RedBull, HTC, Hennessy and other OEM directly or indirectly. Our factory is SedEx P4 audited and our acrylic sheets and products also complied with RoHs. Our technicians have more than 17 years experience in acrylic material,which can translate into innovative designs with smooth execution and high quality.Besides, we have a better knowledge of acrylic as we produce acrylic sheets ourselves,which gives us total quality control from raw material all the way to finishing products. Our first priority is customer satisfaction, please contact us and let's start a happy business journey together. We know acrylic better!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yubao Electronic Co., Ltd.",Hong Kong,,Manufacturer,"Badge, Luggage Tag, Backpack, Tee & Sweat Shirt, Belt, Advertising Premium, Letter Opener, File, Artist Supply, Picture Frame",Travel Charger.,OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yubao-Electronic-Co-Ltd-/1X0B3FHA,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DTWJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhongjian Stationery Co., Limited",Hong Kong    |    Factory in Chinese Mainland,,"Manufacturer, Exporter","Note Book, Memo Pad",Promotion Gift and Premiums. Notebooks and all kinds of stationery and paper products.,"ODM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Superstrong-Stationery-Manufacturing-Co-Limited/1X0B3KMQ,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DTSV,We are a Hong Kong registered Trading Company and have own manufacturing factory in Chinese Mainland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhongshan Lbt Lighting Co., Limited",Hong Kong,,Manufacturer,"Handbag,File",Gift.,ODM,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/ZHONGSHAN-LBT-LIGHTING-CO-LIMITED/1X0AO9IR,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005FK2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anhui Rex Houseware Co., Ltd.",Chinese Mainland,,"Manufacturer, Exporter",Mug,"Vacuum flask, Glass water bottle, Bamboo bottle","OEM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 Home InStyle 2024 Home InStyle 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Anhui-Rex-Houseware-Co-Ltd/1S00OAI8U,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005HI0I,,REX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
