company name,location,Booth,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,HKTDC Events,supplier_url,exhibitor_url,Company Background,Brand Name,Company Website,Certificates,Other Certificates
KGK Gems Limited,Thailand    |    Factory in Thailand,Booth: AWE 11-A18   |   Precious Stone   |   Thailand Pavilion,"Importer, Manufacturer, Exporter","Tourmaline, Emerald, Ruby, Sapphire, Tanzanite, Aquamarine","Precious Gemstones, Semi-Precious Gemstones","ODM, OEM","Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016",https://sourcing.hktdc.com/en/Supplier-Store/Profile/KGK-Gems-Limited/1X0AP4YQ,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XII0,"The KGK Group's enduring legacy of trust was first built on precious coloured gemstones over a hundred years ago. Our exceptional range includes stones of every imaginable colour, shape and size",,www.kgkgroup.com,,
"Khushali Enterprise Co., Ltd.",Thailand,Booth: AWE 11-A09   |   Precious Stone   |   Thailand Pavilion,"Exporter, Manufacturer, Importer","Ruby, Sapphire",ALL TYPE OF SAPPHIRE & RUBY AFRICAN,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Khushali-Enterprise-Co-Ltd/1X05C11W,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XJ2B,,,,,
Kourosh Company Limited,Thailand,Booth: AWE 9-H05   |   Precious Stone   |   Thailand Pavilion,"Importer, Wholesaler, Exporter","Sapphire, Ruby",Loose Unheated rubies & sapphires,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018",https://sourcing.hktdc.com/en/Supplier-Store/Profile/KOUROSH-CO-LTD/1X0AB8EY,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XIBL,,KOUROSH,,,
"Krish Creations Co., Ltd.",Thailand,Booth: AWE 8-G06   |   Precious Stone   |   Thailand Pavilion,"Importer, Wholesaler, Exporter","Sapphire, Ruby","Ruby, Sapphire",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018",https://sourcing.hktdc.com/en/Supplier-Store/Profile/KRISH-CREATIONS-CO-LTD/1X0AB2ZV,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XJG5,,,,,
Lim Gems Factory Co Ltd,Thailand    |    Factory in Thailand,Booth: AWE 9-K05   |   Precious Stone   |   Thailand Pavilion,"Manufacturer, Exporter, Retailer, Wholesaler","Sapphire, Ruby","Ruby Sapphire in all colors, shapes, sizes and quality Precious Stones",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Lim-Gems-Factory-Co-Ltd/1X00BLEV,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XHLS,"Our company was established since 1991 and our founder has been in the gemstones and jewelry industry for more than 40 years. With our experience in the business for more than 30 years, we are a leading manufacturer and cutting factory of ruby and sapphire in all colors, shapes, sizes and quality. Our product include calibrated and single stones as well as precision cut, cut to fit mould/setting.",,www.limgemsfactory.com,,
MKA's Rubylite,India,Booth: AWE 11-E19   |   Semi-Precious Stone   |   India Pavilion,"Importer, Manufacturer, Wholesaler, Retailer, Exporter","Tourmaline, Aquamarine, Coloured Gemstone",RUBELLITE AND AQUAMARINE,OEM,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/MKA-S-Rubylite/1X00DF4N,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005YHAP,manufacturer of Torumaline and Aquamarine specialized in Rubellite and aquamarine high quality cuts,MKA'S RUBYLITE,www.mkarubylite.com,,
"Madagas Gem Co., Ltd.",Thailand    |    Factory in Mozambique,Booth: AWE 9-K39   |   Semi-Precious Stone   |   Thailand Pavilion,"Retailer, Exporter, Manufacturer, Wholesaler, Buying Office, Importer","Alexandrite, Aquamarine, Ruby, Tourmaline, Coloured Gemstone, Tanzanite, Emerald, Opal","We are special zed in paraiba, spinel, spessartite, aquamarine, tanzanite, tourmaline",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Madagas-Gem-Co-Ltd/1X00DLVE,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XHQD,,MADAGAS GEM,,,
Manihar International Co Ltd,Thailand,Booth: AWE 11-A39   |   Precious Stone   |   Thailand Pavilion,"Exporter, Manufacturer","Emerald, Ruby, Sapphire","Colombian emerald, Mozambique ruby, star sapphire, blue sapphire, yellow sapphire, Blue zircon, tourmaline",OEM,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Manihar-International-Co-Ltd/1X05FDMB,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XHZM,,,,,
"Milin Triple B Co., Ltd.",Thailand,Booth: AWE 11-B24   |   Precious Stone   |   Thailand Pavilion,"Wholesaler, Exporter, Retailer, Buying Office","Ruby, Coloured Gemstone, Sapphire",Blue sapphire and ruby gemstone,OBM,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015",https://sourcing.hktdc.com/en/Supplier-Store/Profile/MILIN-TRIPLE-B-CO-LTD/1X08Y7E1,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XIPF,,,,,
"Multi World Gems Manufactory Co., Ltd.",Thailand    |    Factory in Thailand,Booth: AWE 8-J07   |   Precious Stone   |   Thailand Pavilion,"Retailer, Wholesaler, Exporter, Importer, Manufacturer","Ruby, Sapphire",Cut Ruby and Cut Sapphire,OEM,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Multi-World-Gems-Manufactory-Co-Ltd-/1X08EH6F,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XGLT,,Multi World Gems,https://www.multiworldgems.com/thailinsgems/,,
National Facets,India    |    Factory in USA,Booth: AWE 11-E13   |   Semi-Precious Stone   |   India Pavilion,Manufacturer,"Opal, Tourmaline, Tanzanite, Sapphire, Ruby, Aquamarine, Turquoise, Alexandrite, Coloured Gemstone, Emerald","Ruby, Emerald, Sapphire, Tourmaline, Tanzanite, Opals, Topaz, Quartz, Moonstone, Chrysoberyl, Alexandrite, Tsavorite, Spessartine , Turquoise, Aquamarine, zircon, Hackmanite, Afghanite, Hyalite opal, garnet, cat's eye, lapis and many more","ODM, OBM, OEM","Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/National-Facets/1X073HC9,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005YFMR,"National Facets, A Jaipur based bead manufacturing company handed down over two generations is largely a family run enterprise. Our passion for jewelry making goes hand in hand with our dedication to bring the most personal, efficient and high-quality service.",,www.nationalfacets.com,,
Natural Colorstone Limited,Thailand    |    Factory in Thailand,Booth: AWE 11-A05   |   Precious Stone   |   Thailand Pavilion,"Importer, Exporter, Buying Office","Sapphire, Ruby","RUBY, SAPPHIRE, AND ALL KIND OF GEMSTONES",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Natural-Colorstone-Limited/1X08YM33,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XGOK,"We are the Wholsaler of Ruby, Sapphire & Precious gemstones",NAtural colorstone Ltd.,,,
Noble Gems Company Limited,Thailand,Booth: AWE 11-B39   |   Precious Stone   |   Thailand Pavilion,Wholesaler,Emerald,"Emerald, Ruby, Sapphire, Bead, Cut, Cabs, Carving","Others, ODM, OBM, OEM","Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Noble-Gems-Co-Ltd/1X00BUB7,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XHAP,"COLOMBIAN EMERALD , RUBY , SAPPHIRE",NOBLE GEMS,noblegemsbkk.com,,
P.K. Gems and Gold Co Ltd,Thailand,Booth: AWE 9-K09   |   Precious Stone   |   Thailand Pavilion,"Wholesaler, Buying Office, Export Agent, Exporter",Ruby,P.K. Gems and Gold are specialist in Ruby and Sapphire we are proudly to present in the rare and finest quality collection stones,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/P-K-Gems-And-Gold-Co-Ltd/1X00BLLO,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XHWV,,,,,
"Patel Gems (Thailand) Co, Ltd",Thailand,Booth: AWE 11-B40   |   Precious Stone   |   Thailand Pavilion,Buying Cooperative,Emerald,Precious & Semi - Precious Stones,OEM,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Patel-Gems-Thailand-Co-Ltd/1X08Y9RI,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XHXS,,PATEL GEMS,patelgems.com,,
Paul Wild GmbH & Co. KG,Germany,Booth: AWE 9-A02   |   Treasures of Nature   |   ,Manufacturer,"Sapphire, Emerald, Ruby","We offer a diverse portfolio of coloured gemstones including Paraiba, Tourmaline, Ruby, Sapphire, Emerald, Tanzanite and Spinel to name a few.",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Paul-Wild-GmbH-Co-KG/1S00OY8BV,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XUUO,"Founded in 1927 by Paul Wild in Kirschweiler, Paul Wild OHG has carved out a significant niche in the international gemstone business. Today we inspire world-leading jewellery design companies to create desireable items that are extraordinary. For our clients convenience we are happy to share with them both our knowledge and understanding as to exactly what they are puchasing.",,www.paulwild.com,,
"Peninsula Precious Trading Co., Ltd.",Thailand,Booth: AWE 9-K35   |   Semi-Precious Stone   |   Thailand Pavilion,"Importer, Exporter, Buying Office","Alexandrite, Coloured Gemstone, Sapphire, Tourmaline, Ruby, Tanzanite, Emerald",Precious & Semi Precious Stones,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Peninsula-Precious-Trading-Co-Ltd/1X0ABBU9,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XHKV,,,www.peninsulabkk.com,,
"Pha-A-Tit Precious Co., Ltd",Thailand,Booth: AWE 11-A28   |   Precious Stone   |   Thailand Pavilion,"Manufacturer, Retailer, Distributor, Wholesaler","Sapphire, Jadeite, Ruby, Emerald",PRECIOUS AND MIX SEMI PRECIOUS,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pha-A-Tit-Precious-Co-Ltd/1X05C0EM,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XGXT,,,,,
Poonam Gems Co Ltd,Thailand,Booth: AWE 9-H13   |   Precious Stone   |   Thailand Pavilion,"Distributor, Wholesaler","Ruby, Sapphire","Precious Stone, Emerald, Ruby, Sapphire",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Poonam-Gems-Co-Ltd/1X0AP4UU,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XGJZ,,,,,
"Pranom Gems Ltd., Part",Thailand,Booth: AWE 9-J40   |   Precious Stone   |   Thailand Pavilion,"Exporter, Wholesaler","Ruby, Sapphire","Precious Stone,Ruby,Sapphire all size",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pranom-Gems-Ltd-Part/1X00DLRI,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XJ1E,"Manufacture and wholesaler of ruby, sapphire and multicolor sapphire diamond cut and calibration size.",,,,
Precious Colour (Thai) Company Limited,Thailand,Booth: AWE 9-H30   |   Precious Stone   |   Thailand Pavilion,"Wholesaler, Exporter, Manufacturer","Ruby, Sapphire","Precious Stones, Ruby, Sapphire",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Precious-Colour-Thai-Company-Limited/1X09DWKS,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XIZL,,,,,
Precious Pebbles Inc.,USA,Booth: AWE 11-C24   |   Precious Stone   |   USA Pavilion,"Retailer, Importer, Exporter","Emerald, Sapphire, Alexandrite, Ruby","Dealers of Loose Gemstones Emerald, ruby, sapphire and alexandrite",OEM,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Precious-Pebbles-Inc-/1X09YNRC,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005YEMS,,ZAYN JEWELS FZCO,,,
Precious Stones Co Ltd,Thailand,Booth: AWE 10-A07   |   Precious Stone   |   Thailand Pavilion,Chain Store,"Sapphire, Emerald, Ruby",Precious Gemstones Emeralds Rubys and All Colors of Sapphires,"OBM, ODM","Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015",https://sourcing.hktdc.com/en/Supplier-Store/Profile/PRECIOUS-STONES-CO-LTD/1X08XTE7,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XIT3,With 55 years of business experience in gemstones,"Pscljewelry,Psclgems",,,
"Saket Inter Co., Ltd.",Thailand,Booth: AWE 9-J29   |   Precious Stone   |   Thailand Pavilion,Exporter,"Ruby, Sapphire",Specialise dealers of burma no heat Ruby and Sapphire,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015",https://sourcing.hktdc.com/en/Supplier-Store/Profile/SAKET-INTER-CO-LTD/1X08XTI3,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XH2D,We Specialized in Unheated Ruby & Sapphire for more then 80 Years. 3rd Generation family owned business.,,www.saketinter.com,,
Shwet Ratan Impex,India,Booth: AWE 11-E16   |   Precious Stone   |   India Pavilion,"Retailer, Importer, Manufacturer, Exporter, Wholesaler","Tanzanite, Sapphire, Fancy Diamond, Opal, Emerald, Aquamarine, Ruby, South Sea Pearl, Loose Diamond, Coloured Gemstone",Dealers of White ; Brown ; Fancy Loose Diamonds ; Diamond Beads ; Treated Diamonds ; Fancy Shapes Diamonds;Emeralds;Rubies;Sapphires;Tanzanites;Aquamarines;Morganites & all other Semiprecious Stones & Pearls.,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shwet-Ratan-Impex/1X00CQGE,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005YL1C,"Shwet Ratan Impex founded in Mumbai in 1983, is one the Leading International wholesalers for finest Emerald as well as Sapphire and rubies. Our regular Customers include Jewellery Designers, Jewellery Manufactures and globally- active Jewellers. The Stone are sourced directly from Country of origin such as Sri Lanka, Zambia, Columbia, Mozambique. It also deals in Calibrated stones, briolette and beads in all semi precious stones. Shwet Ratan Impex also has a very good selection of south sea & Tahitian Pearls. The Company also Specialises in white & fancy coloured Loose Diamond, Rose Cuts, Diamond Slices, Diamond Briolette.",,www.sratan.com,,
"Silken East Co., Ltd.",Thailand    |    Factory in Thailand,Booth: AWE 11-B27   |   Precious Stone   |   Thailand Pavilion,Wholesaler,"Sapphire, Ruby, Emerald","Gemstone, Precious Stone",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Silken-East-Co-Ltd/1X00NC3X,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005XJCH,,,,,
