company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,supplier_url,exhibitor_url,,Booth: 5C-A08   |   Convenient & Instant Food   |   Korea (aT-Head),Certificates,Other Certificates,"Booth: 5C-B31   |   Health, Green & Organic Food   |   ",Booth: 5E-D06   |   Convenient & Instant Food   |   ,"Booth: 5E-E17   |   Canned, Frozen & Processed Food   |   ",Booth: 5C-E20   |   Bakery Products   |   Chinese Mainland (Zhejiang),Booth: 5C-C26   |   Sauces & Seasonings   |   Chinese Mainland (Sichuan Supplier),"Booth: 5C-C02   |   Biscuits, Snacks & Confectionery   |   Chinese Mainland (Sichuan)","Booth: 5E-E22   |   Canned, Frozen & Processed Food   |   ","Booth: 5E-E09   |   Canned, Frozen & Processed Food   |   ",Booth: 5C-C22   |   Halal Food & Beverage   |   Chinese Mainland (Sichuan Supplier)
Rexpharm corp.,"Korea, Republic Of",,"Shopping Mall, Buying Office, Department Store, Buying Cooperative, Import Agent, Importer, Manufacturer, Chain Store",Health Supplement,"This daily inner health and beauty product offers complete care in a single, convenient stick format. Formulated with goat’s milk colostrum protein, low-molecular fish collagen, hyaluronic acid, and black ginseng for blood sugar management, this port","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Rexpharm-corp-/1S00PDSD5?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065HYP?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"RobotAnno (Shenzhen) Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,"RobotAnno (Shenzhen) Co., Ltd. (Brand: RobotAnno) was founded in April 2017. It is a national high-tech company that focuses on developing, producing, and selling desktoprobotic arms and AI-powered smart unmanned retail solutions. It has been recognized byCCTV's ""News Simulcast"" as a ""Model Enterprise of Intelligent Manufacturing in China"".The company uses its own robotic arms and control systems to enable automatedunmanned retail operations. Its main products indlude AI robot solutions for making lattecoffee, milk tea, cocktails, ice cream, and other fresh drinks. The products have reachedworld-leading performance and help solve the challenge of automated drink making.RobotAnno has obtained more than 80 national patents for its robotic arm products. Itsproducts are sold to over 100 cities in China and to more than 70 countries and regionsworldwide. It holds a significant market share in the global desktop robotic arm androbotic smart retail sector. With advanced technology and an international vision, thecompany continues to promote the wide use of robots in education, light industry, andespecially commercial applications. ""Robotics + retail intelligence"" represents a futuretrend.","Exporter, Wholesaler, Manufacturer, Retailer","Food Machine, Food Machine, Food Machine, Food Machine, Food Machine, Food Machine",Dual Arms AI Robot Latte Art and Print Coffee Bar AI Robot Enclosed Coffee Latte Art Printing Machine,"OEM, ODM",,www.robotanno.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) InnoEX 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/RobotAnno-shenzhen-Co-Ltd/1S00OOZ8D?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S00660UI?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Saebomkorea,"Korea, Republic Of",,"Buying Cooperative, Chain Store",Tea,"Narish Pomegranate Juice, Narish Jujube Concentrate, Narish Hovenia Fruit Tea","Others, OEM, OBM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Saebomkorea/1S00P4FLU?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065J9Q?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Samyoung B&F Co., Ltd.","Korea, Republic Of    |    Factory in Korea, Republic Of","Established in 1998, Samyoung B&F Co., Ltd. is a premier South Korean seaweed exporter. Based in Jangheung, Jeollanam-do, we operate advanced manufacturing facilities and large-scale automated cold storage to deliver high-quality K-seaweed worldwide. * Key Milestones 1998: Company established 2010: Achieved $3 Million Export 2011: Achieved $5 Million Export / Designated as official OEM manufacturer for Japan's AEON Group 2017: Awarded the Presidential Citation for Trade Promotion 2024: Achieved $7 Million Export 2025: Achieved $10 Million Export * Global Certifications Food Safety: FSSC 22000, HACCP Organic: USDA Organic, Korean Organic Processed Food / Organic Seafood Regional Access: JAKIM HALAL, EAC (Eurasian Conformity)","Manufacturer, Exporter","Snack, Fresh Seafood, Snack, Fresh Seafood","Samyoung B&F Co., Ltd. is a premium South Korean food exporter specializing in high-quality seaweed products. We deliver healthy, crispy, and sustainably sourced seaweed snacks worldwide. We are seeking international distributors and buyers.",OEM,"MACHAN GIM,WITH GIM",sybnf.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SAMYOUNG-B-F-CO-LTD-/1S00OERUR?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0064XA9?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Sarangbat Co., Ltd.","Korea, Republic Of    |    Factory in Korea, Republic Of","We are a specialized manufacturer of premium frozen Home Meal Replacements (HMR) that capture the authentic flavors of traditional Korea. We hygienically produce a variety of dishes, including Seaweed Soup, Galbi-tang (Beef Short Rib Soup), and Galbi-jjim (Braised Short Ribs), in our HACCP-certified facilities. By utilizing high-quality ingredients and advanced freezing technology, we ensure the original taste and nutrition are perfectly preserved.","Manufacturer, Exporter",Frozen Food,"Premium frozen Korean soups and stews including Seaweed Soup, Galbi-tang (Beef Short Rib Soup), and Galbi-jjim (Braised Short Ribs). High-quality HMR(Home Meal Replacement) products produced in South Korea.","OBM, OEM","Sarangbat,Seon-Jin-Guk",https://xn--9i2bl1gvse.com/,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sarangbat-Co-Ltd-/1S00PDLG3?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S006530X?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Seokgok Nonghyup,"Korea, Republic Of    |    Factory in Korea, Republic Of","Seokgok Nonghyup is an agricultural cooperative that produces healthy food products, including its organic rice 'Baeksemi', as well as scorched rice (nurungji) and instant rice made from Baeksemi.","Exporter, Manufacturer","Rice, Rice, Rice, Rice","Baeksemi Scorched Rice: Thin, delicious, and handmade by pressing organic Baeksemi rice by hand. Baeksemi Instant Rice: Made with organic Baeksemi rice for a healthier and nuttier flavor. (Available in 2 types: Brown Rice and White Rice)","OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Seokgok-Nonghyup/1S00PDGEE?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0064XEX?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Seonfood Co.,"Korea, Republic Of    |    Factory in Korea, Republic Of","Seonfood is a traditional sesame oil manufacturer located in Ungchon-myeon, Ulju-gun, Ulsan, Republic of Korea. The company produces premium sesame oil using 100% whole sesame seeds through a low-temperature pressing process. From raw material selection and roasting to oil extraction, filtration, and bottling, all production processes are managed directly in its own factory to ensure stable quality, hygiene, and consumer trust. As demand for healthy and premium food products continues to grow, Sunfood focuses on preserving the natural aroma and rich flavor of sesame seeds while providing safe and reliable products. The company operates continuous quality control and self-inspection systems, including benzopyrene safety testing, and has strengthened its management system through ISO 9001 certification. HACCP certification is also being prepared to further enhance food safety standards. As a regional food company, Sunfood actively participates in local events, exhibitions, and marketing support programs to promote regional food brands and contribute to the local economy. The company is also introducing ESG-oriented practices such as eco-friendly packaging and recycling of production by-products. Moving forward, Sunfood aims to expand online and offline distribution channon","Wholesaler, Manufacturer","Sauce, Sauce",100% whole sesame seeds are used to produce premium sesame oil through a traditional low-temperature pressing process. The product preserves the natural aroma and rich flavor of sesame seeds while ensuring stable quality through in-house manufacturin,OBM,,www.seonfood.kr,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Seonfood-Co-/1S00PDLIX?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S006534L?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Shandong Delisi Food Co., Ltd",Chinese Mainland    |    Factory in Chinese Mainland,"Delisi Group was founded in 1984 and is a large-scale food industry group integrating high-quality pig breeding, grain, oil, and feed processing, pig farming and slaughtering, meat product processing, and biotechnology. Its food division was listed on the Shenzhen Stock Exchange in 2010. The Group has 62 subsidiaries, with five production bases established nationwide in Beijing, Jilin, Shandong, Shaanxi, and Jiangxi, 10 marketing centers, and over 200 branch offices.",Manufacturer,"Frozen Vegetable, Seasoning, Sauce, Canned Food, Frozen Meat, Frozen Food, Sausage, Frozen Fruit","Delisi Group formed a product series of 10 categories and over 1000 varieties, including chilled meat, ham and sausage products, frozen meat products, frozen rice and flour products, beef products, and ready to eat dishes.","OEM, ODM, OBM",得利斯,www.delisi.com.cn,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shandong-Delisi-Food-Co-Ltd-/1S00PCEZP?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065FU3?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Shangzhi Xuega Food Co., Ltd.",Chinese Mainland,,"Shopping Mall, Wholesaler, Exporter, Import Agent, Distributor, Private Individual","Organic Food & Beverage, Ling Zhi","Forest frog oil, canned forest frog, canned salmon, Beichenxiang handware set, Siberian ginseng extract, Ganoderma lucidum powder",OBM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shangzhi-Xuega-Food-Co-Ltd-/1S00PE4W8?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S00668MY?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Shantou Zanxiang Food Co., Ltd",Chinese Mainland,,Manufacturer,"Canned Food, Dried & Preserved Food, Canned Food, Dried & Preserved Food, Canned Food, Dried & Preserved Food","Dried pork jerky, beef jerky, air dried meat, pork floss, pork strips and other cooked meat products","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2025 HKTDC Food Expo PRO 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shantou-Zanxiang-Food-Co-Ltd/1S00OSFG9?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S00652VD?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Shanxi Chateau Rongzi Co., Ltd.",Chinese Mainland,,Manufacturer,"Liquor / Fortified Wine, Sparkling Wine, Liquor / Fortified Wine, Sparkling Wine","Xiao Rong Zi Black Label Dry Red Wine: This wine features a deep gemstone red color. Upon first tasting, there is a faint aroma of oak, followed by rich floral and fruit notes such as cherries. The wine feels smooth and firm on the palate, with excel",OBM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shanxi-Chateau-Rongzi-Co-Ltd-/1S00PE56D?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S00667W5?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Shanxi Daijian Biotechnology Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,"Founded in 2021, Shanxi Daijian Biotechnology Co., Ltd. keeps the mission of offering reliable quality products. We integrate seabuckthorn harvesting, R&D, production and sales. Equipped with 8 full-automatic production lines, our annual capacity reaches 100,000 tons. We supply seabuckthorn puree, seabuckthorn juice, compound fruit & vegetable beverages, seabuckthorn oil, seabuckthorn paste and related products.We hold ISO22000, HACCP, China Organic, US NOP, EU Organic, JAS, FDA registration and export filing certificates. We are the Vice Chairman Unit of International Seabuckthorn Association.",Manufacturer,"Food Packing, Food Labelling","Our product range covers seabuckthorn puree, seabuckthorn juice, seabuckthorn fruit oil, seabuckthorn seed oil,, seabuckthorn fruit cake, seabuckthorn millet crisp, seabuckthorn goat milk tablets, sugar-free seabuckthorn corn cakes and more.","OBM, OEM, ODM",待见,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shanxi-Daijian-Biotechnology-Co-Ltd-/1S00PE54J?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S00667UB?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Shanxi JunSheng WanWu Technology Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,"Retailer, Exporter, Wholesaler","Organic Food & Beverage, Organic Food & Beverage, Organic Food & Beverage","White-backed wood ear fungus shreds (natural alkaline food, rich in high-quality dietary fiber, wood ear polysaccharides, and essential trace elements, easy to store dried, durable and resistant to spoilage); Button mushrooms (firm texture, delicate",OBM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shanxi-JunSheng-WanWu-Technology-Co-Ltd-/1S00PE4VB?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S00667YZ?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Shengzhou Shanhua Food Company Limited,Chinese Mainland,,Buying Cooperative,,frozen goods,OBM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shengzhou-Shanhua-Food-Company-Limited/1S00PDS6Q?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065HLS?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Shenzhen Aike Coffee Co., Ltd",Chinese Mainland,,"Chain Store, Buying Cooperative, Distributor","Coffee Maker, Coffee Grinder, Filter Paper For Coffee, Coffee Pot, Coffee, Coffee Maker, Coffee Grinder, Filter Paper For Coffee, Coffee Pot, Coffee, Coffee Maker, Coffee Grinder, Filter Paper For Coffee, Coffee Pot, Coffee","COFFEE BEANS ,DRIP COFFEE, CAPSULE COFFEE, FREEZE DRIED COFFEE","OBM, Others, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SHENZHEN-AIKE-COFFEE-CO-LTD/1S00PE8L1?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0066IAO?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Sichuan Charoen Pokphand Food Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,Manufacturer,"Sausage, Frozen Seafood, Canned Food, Frozen Meat, Canned Food, Frozen Meat, Sausage, Frozen Seafood, Canned Food, Frozen Meat, Sausage, Frozen Seafood, Canned Food, Frozen Meat, Sausage, Frozen Seafood","offers a wide range of products, including fresh foods such as eggs, poultry, pork, seafood, vegetables, and fruits; as well as convenience foods such as frozen pastries, snack foods, ready-to-eat meals, and sausages",OBM,cp food,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sichuan-Charoen-Pokphand-Food-Co-Ltd-/1S00PDXC3?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065ZKD?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Sichuan Forest Products Trading Co., Ltd.",Chinese Mainland,,"Distributor, Retailer, Chain Store","Canned Food, Canned Food, Canned Food","Four-flavor canned bamboo shoot sauce made with yak meat and bamboo shoots, using zero-sulfur, zero-additive freshness-locking technology.",OBM,"川林好物,森林雪",,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sichuan-Forest-Products-Trading-Co-Ltd-/1S00PDTTS?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065L50?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Sichuan Goshine Trading Co., Ltd",Chinese Mainland,,"Distributor, Manufacturer","Soft Drink, Sauce, Rice Noodle, Tea, Seasoning, Instant Food, Noodle, Snack, Soft Drink, Sauce, Rice Noodle, Tea, Seasoning, Instant Food, Noodle, Snack",Mingyang Brand Hot pot soup base,"OEM, Others","mingyang,huanglong,cuihong",www.goshinefood.com.cn,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/sichuan-goshine-trading-co-ltd/1S00PDJPE?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065LAL?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Sichuan Jule Food Co., Ltd.",Chinese Mainland,,"Manufacturer, Export Agent, Retailer","Milk, Ice Cream, Butter, Milk, Ice Cream, Butter, Milk, Ice Cream, Butter, Milk, Ice Cream, Butter",Fresh Milk Milk-containing Beverages Yak Milk Yak Milk Powder,OBM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 Food Expo 2007,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sichuan-Jule-Food-Co-Ltd-/1S00PDU9F?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065L9O?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Sichuan Lingqi Food Co., Ltd",Chinese Mainland    |    Factory in Chinese Mainland,,Manufacturer,"Biscuit, Candy, Instant Food, Cake, Bread, Biscuit, Candy, Instant Food, Cake, Bread, Biscuit, Candy, Instant Food, Cake, Bread","Lava Mousse Cake,Basque cake,Tiger skin cake,A bite of cheesecake",OBM,,www.sclqsp.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sichuan-Lingqi-Food-Co-Ltd/1S00PE2L7?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0066K44?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Sichuan Pixiandouban Co., Ltd.",Chinese Mainland,,Manufacturer,"Seasoning, Seasoning",Junchengpai Pixian Douban Instant Sauce Compound Seasoning Etc,OBM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sichuan-Pixiandouban-Co-Ltd/1S00OQR4X?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065KXP?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Sichuan Province Hupopo Food Co., Ltd.",Chinese Mainland,"We are Sichuan Province Hupopo Food Co., Ltd., a professional and established snack manufacturer from China with 20 years of experience in R&D, production and sales. We focus on authentic, safe, and healthy vegetarian snacks.",Distributor,"Snack, Snack, Snack","Hupopo Food Co., Ltd. was established in 2004. We are a Sichuan Time-honored Brand enterprise specialized in integrated R&D, production and sales of konjac, egg and dried tofu snacks.","OEM, ODM, OBM",胡婆婆,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sichuan-Province-Hupopo-Food-Co-Ltd-/1S00PDFT6?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065L1C?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Sichuan Shenghe Tianlingjian Agricultural Development Co., Ltd.",Chinese Mainland,,Department Store,"Vegetable, Vegetable",Jintang Morel Mushroom,Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sichuan-Shenghe-Tianlingjian-Agricultural-Development-Co-Ltd-/1S00PDJZK?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065LBI?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Sichuan Wanliang Food Technology Co Ltd,Chinese Mainland,,Manufacturer,"Vegetable, Snack, Vegetable, Snack",enoki mushroom/konjac/bamboo shoot three series of snack food,"ODM, OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sichuan-Wanliang-Food-Technology-Co-LTD/1S00PDI8U?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065KZJ?fairCode=foodexpopro&locale=en,,,,ISO22000 Issued By Wantai Certificaton Type ISO_22000 Valid Date 02 Jun 2026 - 01 Jun 2029 HACCP Issued By Wantai Certification Type HACCP Valid Date 02 Jun 2026 - 01 Jun 2029,,,,,,,,,
"Sichuan Xuanhe Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,"Chain Store, Distributor, Department Store, Buying Office, Buying Cooperative","Noodle, Noodle",椒麻拌面 捞汁豆腐 米通,"OEM, OBM, ODM","徽记,好巴食,有你一面",,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sichuan-Xuanhe-Co-Ltd-/1S00PDU5R?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065KWS?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Sichuan Yuanan Pharmaceutical Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,"Exporter, Manufacturer, Import Agent, Department Store, Chain Store, Distributor","Functional Food, Herbal Medicine, Health Food, Functional Food, Herbal Medicine, Health Food","Our main products cover more than 100 specifications in various categories: nourishing soupingredient series of food medicine homologous raw materials; tea series products including eucommia tea, eucommia male flower tea and polygonatum tea;","ODM, OBM, OEM","元安堂,唯一好,元安",cn.yuananherb.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sichuan-Yuanan-Pharmaceutical-Co-Ltd-/1S00PDUB9?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065LG3?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Starvision International Trade,Brazil    |    Factory in Brazil,"Starvision is an import and export trade company based in Brazil, with over 20 years of experience in developing and strengthening commercial relationships between Brazil and China. Our major differentiator is our physical and legal presence at both ends of the operation. Unlike conventional intermediaries, we operate with our own offices in Brazil and China. This binational structure allows us to manage processes on-site, eliminating cultural barriers, time zone challenges, and operational risks.","Export Agent, Importer, Exporter, Import Agent","Biscuit, Coffee, Table Wine, Fresh Meat, Health Supplement","Brazilian beef cuts (premium/exported); Coffee (whole/ground); Paju?ara (pasta & biscuits); Caballo de Fuego (Syrah 2022, 750ml); and Propolab (propolis capsules for physical & mental health)","ODM, OBM, OEM",,e-starvision.com/,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Starvision-International-Trade/1S00PDT9G?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065J8T?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Suqian Nanjing Aquatic Product Co., Ltd.",Chinese Mainland,,Manufacturer,Fresh Seafood,Live hairy crab，Frozen cooked crayfish，Frozen cooked crab,Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo 2014,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Suqian-Nanjing-Aquatic-Product-Co-Ltd-/1S00PDOR3?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065ARH?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Suzhou Dongshan Donghu Water Shield Factory,Chinese Mainland,"Suzhou Dongshan Donghu Water Shield Factory is located in Dongshan Town, a beautiful place on the shores of Taihu Lake. It specializes in the integrated development of Taihu water shield, including planting, processing, sales and research. The enterprise is committed to protecting the Taihu water shield industry, inheriting and promoting Taihu water shield culture, and striving to bring this traditional agricultural product to a broader market through continuous innovation and development.",Manufacturer,"Seasoning, Sauce",Suzhou water shield,Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Suzhou-Dongshan-Donghu-Water-Shield-Factory/1S00P4Z5M?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065ASE?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Suzhou Huqiang Agricultural Technology Co., Ltd.",Chinese Mainland,,Manufacturer,Fresh Seafood,Chinese mitten crab,Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Suzhou-Huqiang-Agricultural-Technology-Co-Ltd-/1S00P4Z9A?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065AOQ?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Suzhou Yangcheng Lake Hairy Crab Marketing Co., Ltd.",Chinese Mainland,,Manufacturer,Fresh Seafood,hairy crab,Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Suzhou-Yangcheng-Lake-Hairy-Crab-Marketing-Co-Ltd-/1S00PDOP9?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065APN?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"TAKOHACHI Co., Ltd.",Japan    |    Factory in Japan,,Chain Store,"Frozen Food, Frozen Food, Frozen Food, Frozen Food, Frozen Food, Frozen Food","frozen takoyaki,frozen okonomiyaki,blended sauce,wheat flour mix,rice flour mix.osaka doutonbori soul food.",OEM,,www.takohachi.jp,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/TAKOHACHI-Co-Ltd-/1S00PDM42?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065VTQ?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
