company name,location,,Nature of Business,Exhibit / Brand / Service Description,Product Strategy,Company Website,HKTDC Events,supplier_url,exhibitor_url,Company Background,Product / Service Range,Brand Name,Booth: 3E-C01   |   Hong Kong MedTech Association (HKMTA)   |   Hong Kong MedTech Association Pavilion,Certificates,Other Certificates,Booth: 3E-C09   |   Hong Kong MedTech Association (HKMTA)   |   Hong Kong MedTech Association Pavilion,Booth: 3E-A14   |   Medical Supplies and Disposables   |   ,Booth: 3D-D06   |   Rehabilitation and Elderly Care   |   ,Booth: 3D-D05   |   World of Health and Wellness   |   Chinese Mainland (Jilin),Booth: 3D-D40   |   Startup Zone   |   ,Booth: 3E-F33   |   Hospital Equipment and Digital Health   |   ,Booth: 3E-B25   |   Medical Supplies and Disposables   |   ,Booth: 3E-A38   |   Medical Supplies and Disposables   |   
SQ-Med Co Ltd,Chinese Mainland,,,"Patented brain–machine EMG interface enables non‑invasive electrical stimulation of paralyzed limbs using bioelectric signals from healthy limbs controlled by intention, supporting multi‑DOF coordination and stroke‑related hemiplegia rehabilitation.",,www.sq-med.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SQ-Med-Co-Ltd/1S00NZICI,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S0062QZD,"Founded by Professors Wang Zhigong and Lü Xiaoying's team from Southeast University, our company focuses on the research, development, production, and sales of a series of products related to brain-computer interfaces, motor function reconstruction of paralyzed limbs, and neuromodulation. We have established a collaborative innovation system integrating industry, academia, research, and medicine, undertaken multiple research projects, and obtained EU CE certification and ISO13485 international medical device manufacturing management system certification.",,,,,European CE/EC Certificate Issued By TUV SUD Type - Valid Date (N/A) - 26 May 2024 European CE/EC Certificate Issued By DNV Type - Valid Date (N/A) - 27 May 2024,,,,,,,,
"VVFLY Electronics Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,"Manufacturer, Distributor, Exporter",SNORE STOPPER/ CPAP/ APAP/ SLEEP MONITOR,"OBM, ODM, OEM, Others",www.vvfly.cn,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2019 HKTDC Hong Kong International Medical and Healthcare Fair 2019 HKTDC Hong Kong Electronics Fair (Spring Edition) 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/VVFLY-ELECTRONICS-CO-LTD/1X0AR1NA,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005ZMPB,"Founded on December 31, 2014, VVFLY Electronics Co., Ltd. is a Chinese high-tech enterprise specializing in the application of intelligent hardware, big data, and artificial intelligence technology to human sleep.",Positive Airway Pressure (PAP) Therapy,"Snore Circle,雲中飛",,,,,,,,,,,
Whole Health Studio Pty Ltd,Australia    |    Factory in Australia,,"Retailer, Exporter","Whole Health Studio is an Australian practitioner formulated supplement company that is TGA registered. Specialising in women health, gut health and hormone support. Our range combines evidence-based nutrients and herbal extracts.",OBM,www.wholehealthstudio.com.au,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Whole-Health-Studio/1S00PC4VB,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S0062PTW,,Health Supplement,,,,ENERGY & STRESS TGA CERTIFICATION Issued By Australian Government- Therapeutic Goods Administration Type OTHERS Valid Date 06 Sep 2022 - (N/A) TGA CERTIFICATION BALANCE HORMONE SUPORT Issued By TGA- Therapeutic Goods Administration Type OTHERS Valid Date 21 Feb 2023 - (N/A) Show More,,,,,,,,
"Accue Co., Limited",Hong Kong,,Manufacturer,"WiFi clock, Etrolley Logger","ODM, OBM",www.accue.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 Hong Kong International Stationery & School Supplies Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2021 SmartBiz Expo 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Accue-Co-Limited/1X0976MW,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YY9B,,"Ward Facilities, Rescue Equipment and Service, Hospital Automation Systems",ACCUE,,,,,,,,,,,
E-Health Therapy Limited,Hong Kong,,Service Company,"EECP體外反搏治療儀器, 是一種非侵入性的機械輔助循環裝置，以充氣特殊壓力褲配合心跳做下肢擠壓，靠機械作用提高主動脈舒張壓，減低主動脈收縮，使心臟冠脈血流量增加，進而改善心肌的代謝與功能。 長時間接受體外反搏治療，能增加心臟的血管新生，能進一步改善心肌功能。",Others,www.eecp.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/e-health-therapy-limited/1S00OVMKQ,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S0061U8I,,Physical Therapy Equipment,,,,,,,,,,,,
E-Sense Innovation & Technology Limited,Hong Kong,,Manufacturer,VitoCheck is our first flagship product developed using EIT as the backbone to conduct health assessment for vital organs. This product exemplifies our unwavering commitment to advancing biomedical imaging and enhancing patient care.,OEM,www.esense-inno.tech,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 Asia Summit on Global Health 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/E-SENSE-Innovation-Technology-Limited/1S00P1NJS,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S0060A2K,"E-SENSE's Mission Make Broad Early Disease Detection Practical in Communities - E-SENSE Innovation & Technology aims to develop a multimodal medical screening and monitoring platform to serve healthcare professionals, patients, and families in primary health settings with clinical standard readout, environmental versatility, accessible pricing, user-centric operation and connectivity. E-SENSE's Vision We aim to revolutionize Chronic Organ Disease Management for Millions with E-SENSE. We enable chronic disease screening, monitoring, and prevention for all vital organs (brain, heart, lung, liver, and kidney).","Patient Monitoring System, Healthcare Product, Wearable Devices/Sensors, Remote Patient Monitoring Solution, Elderly Care Product, Medical and Healthcare Service, Telemedicine Technology & Services, Electronic Health Product","E-SENSE,VitoCheck",,,,,,,,,,,
EURADIS International Limited,Hong Kong,,"Import Agent, Importer",Neuromuscular Electrical Stimulation for Postpartum Rehabilitation; Home-based Postpartum Rehabilitation; Smart Pelvic Floor Information Platform for Women's Health Center; 3D Posture Assessment device; WAFF Cushions for Exercise & Rehabilitation.,Others,euradis.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/EURADIS-INTERNATIONAL-LIMITED/1S00P9VST,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S0060F8X,,"Rehabilitation Equipment, Physiotherapy Treatment, Electronic Health Records System, Artificial Intelligence (AI) Diagnostic Tool, Physical Therapy Equipment, Healthcare & Medical Science Course, Electronmedical Equipment, Fitness & Gym Equipment, Smart Healthcare Platform & Solution, Recreational Therapy Tools (Games and Toys)","PHENIX,EURADIS,WAFF",,,,,,,,,,,
Exhibition+,Hong Kong,,,,,,Exhibited in HKTDC Event(s) in recent years Hong Kong International Lighting Fair 2026 (Autumn Edition) Eco Expo Asia 2026 HKTDC Hong Kong International Outdoor and Tech Light Expo 2026 HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Food Expo PRO 2026 HKTDC Hong Kong International Tea Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2026 DeLuxe PrintPack Hong Kong 2026 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/EXHIBITION-/1S00O2V5Q,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005ZNAJ,"The Hong Kong Trade Development Council (HKTDC) introduces ‘EXHIBITION+’, a brand-new exhibition model integrating online-and-offline trade show formats, extending face-to-face interactions from its world-class exhibitions in Hong Kong to an online smart business matching platform to help you connect business partners proactively.",,,,,HKTDC Issued By HKTDC Type OTHERS Valid Date 01 Nov 2023 - 01 Mar 2024,,,,,,,,
Ergo Healthtech Limited,Hong Kong    |    Factory in Chinese Mainland,,Manufacturer,TBC,"OBM, OEM, ODM",www.ergo222.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) Eco Expo Asia 2024 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong International Medical and Healthcare Fair 2022,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ergo-Healthtech-Limited/1S00O3NOD,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S0062R6R,,"Ward Facilities, Sterilization, Manufacturing Solution, Air Purifier, Elderly Care Product, Personal Protective Equipment, Infection Prevention - UV Light Devices, Personal Hygiene Supplies, Electronic Health Product, Wearable Devices/Sensors",,,,Test Report Issued By SGS Type SGS Valid Date 30 May 2022 - (N/A) CE EMC Test Report Issued By HTT Type OTHERS Valid Date 26 Apr 2022 - (N/A) Show More,,,,,,,,
Golden Biotech Limited,Hong Kong    |    Factory in Hong Kong,,"Manufacturer, Others","Golden GynoBio Intimate Care Gel is infused with our exclusively patented Plant Intelligent Microcapsule technology, efficiently boosts transdermal absorption of ingredients to deliver effects of anti-aging, antibacterial, firming and moisturizing.",OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Golden-Biotech-Limited/1S00PBWMA,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S0062RC9,,Healthcare Product,"Golden GynoBio Intimate Care Gel,Golden GynoBio,GoldenEV",,,,,,,,,,,
Harvest Link Furniture (H.K.) Limited,Hong Kong    |    Factory in Malaysia,,Manufacturer,"To achieve our Mission, we are guided by 4 Values. Sustainability: Protecting the environment is in our DNA We respect our social and physical environment by placing sustainable change at the core of our decisions and actions. Innovation: We look",ODM,https://www.harvestlink.com.hk/news,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Harvest-Link-Furniture-H-K-Limited/1S00P9JIZ,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005Z3ER,"With over 20 years' experience in the furniture and design industry, Harvest Link Furniture Hong Kong believes in helping to create better communities. Our mission is to build experiences for the next generation. Whether it be a school, auditorium, hospital, or community centre, we create holistic, welcoming, and efficient spaces for those within our community.",Ward Facilities,"Harvest Link,Markant,Krede",,,,,,,,,,,
Hong Kong Cancer Testing Center Limited,Hong Kong,,"Government, Professional Association, Trade/Industrial Organisation, Charity / Welfare Organisation, Statutory Body, Service Company, Private Individual",香港癌症檢測中心的超早期癌症篩查艾康簡及MCTL治療後監測，結合全球頂尖的 Waters XEVO G3 QTof「飛行時間質譜儀」技術，高通量檢測血液中腫瘤標靶的表達情況，突破傳統檢測局限，提供精準的檢測分析。香港癌症檢測中心成立於2024年，我們匯聚了來自多國的醫學專家團隊，國際認可的醫學檢測設備。採用分子水準（百摩爾級）技術，提供高質量的超早期癌症篩查艾康簡及MCTL治療後監測、治療(臨床)建議方案等等。確保每一位客戶都能獲得最精準的檢測結果。,Others,hkctcl.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hong-Kong-Cancer-Testing-Center-Limited/1S00PAXD0,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S00628K4,,"Precision Medicine, Gene Test, Rapid Test, Laboratory",,,,,,,,,,,,
Ivy AI Solutions Limited,Hong Kong    |    Factory in Hong Kong,,Manufacturer,"Ivy AI Oral Checkups: AI oral screening from mouth photos/videos; flags caries, gum issues, ulcers and guides next steps. ScanSkinAI: AI skin triage from photos; checks moles/rashes, gives risk signal + advice (monitor/GP/derm).","OBM, OEM, ODM, Others",www.ivyai.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ivy-AI-Solutions-Limited/1S00P9VQZ,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005ZMQ8,"Ivy AI Solutions Limited builds AI-powered preventive health tools. Our core products are Ivy AI Oral Checkups for early oral risk screening and ScanSkinAI for fast skin condition triage, helping users identify concerns early and take the right next step.",Artificial Intelligence (AI) Diagnostic Tool,Ivy AI,,,,,,,,,,,
"Kanghua Medical Technology (Hongkong) Co., Limited",Hong Kong    |    Factory in Chinese Mainland,,"Distributor, Exporter, Importer",medical consumables:1. Titanium ligating clips;2.Polymer ligating clips;3. Nasal packs with different sizes;4.Eye spears;5.Eye drainage wicks;6.Anal plugs;7.NPWT dressing kits,"OBM, ODM, OEM",https://kh-medical.en.made-in-china.com/,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kanghua-Medical-Technology-Hongkong-Co-Limited/1S00OZ7MZ,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S0060LML,"KANGHUA MEDICAL TECHNOLOGY (HONGKONG) CO., LIMITED is formally established in 2024 in Hongkong, while its parent company, Jiande Kanghua Medical Devices was established in 2009 at Hangzhou in Zhejiang. The company is a leading Manufacturer of Ligating Clips, Rapid Nasal Packing, Ear Tampon, NPWT Dressing Kit in China. With their extensive experience of supplying and trading the medical consumables, it has made a reputed name for themselves in the market with high quality Titanium Clips, Polymer Ligating Clips, PVA Hemostatic Nasal Sponge With Rapid Absorbent ,Medical Grade Ear Tampon ,Dry White PVA Foam NPWT Dressing Kit etc.","Wound Care & Dressing, Implant Material, Dental Supplies, First Aid Equipment, Medical Consumable, Incontinence Pad","Kanghua,Zhuo Likang",,,,,,,,,,,
Kimberly Clark HK Ltd,Hong Kong,,"Professional Association, Distributor",1. Paper Hand Towel 2. Tissue paper 3. Disposable Cleaning Wiper,OBM,https://www.kcprofessional.com/en-hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kimberly-Clark-Limited-Hong-Kong-/1S00ON9NU,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YZPY,"Kimberly-Clark Professional is a leading provider of hygiene and cleaning solutions in Hong Kong, offering a wide range of products and services designed to meet the needs of various industries, including healthcare, education, hospitality, and manufacturing. With a focus on improving hygiene, cleanliness, and protection for people when they are away from home, Kimberly-Clark Professional is committed to sustainability, innovation, and global reach. In Hong Kong, Kimberly-Clark Professional offers a range of solutions, such as hand hygiene products, surface disinfectants, personal protective equipment, and cleaning and maintenance products. The company also offers a range of services, such as training and education programs, to help businesses and organizations maintain a clean, safe, and healthy environment for their employees, customers, and visitors.","Medical Consumable, Healthcare Product","Wypall,Scott,Kleenex",,,,,,,,,,,
Kin Technology Limited,Hong Kong    |    Factory in Chinese Mainland,,"Service Company, Manufacturer","Our main product, Kindo, the Automatic Pill Dispenser, and its Remote Medication Management Application deliver accessible and innovative solutions for personal health management, directly tackling adherence pain points.","OEM, OBM",www.kintechnology.io/,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 Start Up Express HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kin-Technology-Limited/1X0B91R6,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005ZMR5,"Kin Technology is a Hong Kong-based health-tech company dedicated to empowering independence and peace of mind in personal healthcare. Our core mission is to revolutionize at-home care by simplifying complex medication and supplement management through smart robotics automation, IoT, and AI-driven solutions. Our diverse in-house team, featuring engineers, designers, pharmacists, and technologists, brings deep local insight and a global perspective to our work. Our flagship product, Kindo, is a patented automatic pill dispenser paired with a connected app platform. Kindo ensures safe and timely treatment for users, while simultaneously providing essential support and remote monitoring capabilities to caregivers and healthcare providers. Our vision is clear: to fundamentally transform personal healthcare at home, making it safer, smarter, and genuinely more accessible for everyone.","Elderly Care Product, Monitoring Support Devices and Solutions, Health Management and Consultancy, Healthcare Product",Kindo,,,,,,,,,,,
Maddox Technology Limited,Hong Kong,,"Manufacturer, Distributor, Importer",- Walking Assistance Robot (iClimber) - Ankle Joint Walking Assistance Training Device (Stropro / Strohope Light) - Lower Limb Exoskeleton Gait Training System (MoonWalker) - Bilateral Lower Limb Hip Mobility Aids (Rider RX) - Ankle Trainer,Others,www.maddox-technology.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Maddox-Technology-Limited/1S00P77X2,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005Z4DT,"Maddox Technology Limited is a pioneering Hong Kong-based technology firm committed to enhancing the quality of life for individuals facing mobility challenges due to aging, injury, or physical limitations. Our core mission is to develop cutting-edge wearable robotic technologies that empower people to gain the walking ability, and hence reclaim their independence, dignity, and freedom of movement. Our mission statement: ""Together we walk through the darkest hours before dawn; our destination is your next brightest chapter."" We are strategically positioned at the intersection of advanced robotics research, artificial intelligence and market demand, leveraging a strong research partnership with renowned research institutes. Our primary focus spans three high-impact sectors: elderly care, rehabilitation, and sports support. By combining innovative research, superior design, commercializing and trusted Hong Kong quality standards, Maddox aims to become a globally recognized leader in human-robot integrations-driving human potential forward. Our target customers are wide individual groups of people in need, as well as facilities including elderly care homes physiotherapy centers, and hospitals.","Wearable Devices/Sensors, Physiotherapy Treatment, Rehabilitation Equipment, Walking Sticks and Walkers, Elderly Care Product",Maddox,,,,,,,,,,,
Maliphant International Sales Ltd,Hong Kong,,Import Agent,"Hospital & Aged Care Furniture, Equipment, Disposable Items, Healthcare Products, Medication Management System and Pharmacy Refrigerator",Others,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2022 HKTDC Hong Kong International Medical and Healthcare Fair 2019 HKTDC Hong Kong International Medical Devices and Supplies Fair 2017 HKTDC Hong Kong International Medical Devices and Supplies Fair 2016 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Maliphant-International-Sales-Ltd/1X079G0O,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YYPZ,,"Fall Prevention and Preventive Care Solutions, Nursing Beds, Rehabilitation Equipment, Transfer and Lifting Aids, Ward Facilities, Remote Patient Monitoring Solution",,,,,,,,,,,,
Mitsui & Company (Hong Kong) Limited,Hong Kong,,"Importer, Import Agent, Exporter, Export Agent","We provide carefood products imported from Japan and Australia for dysphagia. These include soft meals, liquid thickeners, medication lubricant gel, high-calorie nutritional products(400Kcal/100mL), and IDDSI ready-to-drink thickened beverages etc.","Others, OEM",www.mitsui.com/cn/en/index.html,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mitsui-Co-Hong-Kong-Ltd/1X03N0GK,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005Z4M2,,"Diabetes Care, Elderly Care Product, Wound Care & Dressing, Health Supplement, Swallowing Aids","MITSUI & CO. (HONG KONG) LTD.,Precise,NUTRI Co.,Ltd.",,,,,,,,,,,
Namfield Medical Technology Ltd,Hong Kong,,Import Agent,"Canfield: The global leader in imaging systems for scientific research and healthcare applications; Cortex: In precision skin tools in skin analysis and cryosurgery; Strata: FDA -approved excimer laser for psoriasis, vitiligo, and atopic dermatitis.",Others,namfield.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Namfield-Medical-Technology-Ltd/1X09M8GW,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S0061N6V,"Founded in 1995 in Hong Kong, Namfield Medical Technology Limited specializes in distributing cutting-edge aesthetic medical devices, including skin analysis systems, from the USA and Europe. The company is dedicated to providing the latest, highest-quality technologies to a diverse range of clients, including beauty centers, clinics, hospitals, Clinical Research Organizations (CROs), universities, and healthcare professionals across Hong Kong, China, Macau, and Taiwan. As the exclusive distributor for leading brands like Canfield and Cortex, Namfield ensures top-tier solutions tailored to the needs of its customers. Website: www.namfield.com","Hardware Cosmetology, Laboratory Equipment & Supplies, Rapid Test, Biotechnology, Ultrasound Equipment, Surgical Instrument, Dental Equipment, Artificial Intelligence (AI) Diagnostic Tool, Diagnostic Imaging and IVD, Diagnostic Equipment","Canfield,Cortex,Strata",,,,,,,,,,,
Oxygen Two Point Zero Company Limited.,Hong Kong,,Service Company,"Medical manufacturers trust Oxygen to build award-winning websites and AI-powered sales systems that convert global buyer interest into revenue. ISO 27001 certified. HubSpot Diamond Partner. Hong Kong, China and the UAE.",Others,www.chooseoxygen.com/,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Oxygen-Two-Point-Zero-Company-Limited-/1S00PAVZ8,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S006230X,"Medical manufacturers spend years perfecting their product. Their digital systems tell a different story. Oxygen fixes that. Oxygen is a certified digital agency headquartered in Hong Kong with offices in China and the UAE. We help medical manufacturers build an international go-to-market presence, from award-winning websites to CRM implementation compatible with China-based ERP systems, converting global buyer interest into revenue. We work with organisations where brand credibility, data integrity, and operational precision are non-negotiable. For China-based manufacturers selling into global markets, we connect both sides: a digital presence international buyers trust, and an automated sales and marketing system that works long after the fair ends. 25+ certified strategists, designers, and developers. ISO 27001 certified. Clients across healthcare, manufacturing, and professional services throughout Asia and the Gulf.",Smart Healthcare Platform & Solution,Oxygen Strategic Partners,,,,,,,,,,,
PRIME Achiever Limited,Hong Kong    |    Factory in Chinese Mainland,,Manufacturer,"PRIME Crush electronic pill crusher was developed to crush medication automatically for the elderly, children, and patients who has swallow difficulty. Finest medication powder! No more repetitive strain injury! High working efficiency!","OEM, OBM, ODM",www.primeachiever.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/PRIME-Achiever-Limited/1S00O2T6P,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YYEW,"PRIME Achiever Limited is a global healthcare products development company, with base in Hong Kong and Vancouver. We are dedicated to improving the quality of patients and caregivers by designing technologies-integrated products. We insist on delivering values to end users through high quality production and quick turn technical support and after-sales services. We love to listen to patients, nurses, and caregivers so we keep improving and innovation products and services. With full support of our sister company, which has over 40 years of experience in R&D, project management of ODM and OEM, and manufacturing, PRIME Achiever is well equipped with in-house engineering, quality assurance and manufacturing teams. Our rich-experience head, Bill Tang, has led us to keep moving forward and pay closed attention to updated technologies and quick-change medical and healthcare trends and needs.",Medication Management Solution,PRIME Crush,,,,,,,,,,,
Smart Idea Health Technology Limited,Hong Kong,,"Service Company, Distributor","-Non-invasive Dementia screening and cognitive training methods -Non-invasive depression disorder screening methods We'll be offering exclusive discounts and are actively exploring partnerships. If you'd like to learn more, see you at the fair",OBM,www.smartidhk.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Smart-Idea-Health-Technology-Ltd/1S00OMC59,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005Z1B2,"Smart Idea was founded by a team of professionals in Hong Kong with extensive experience in healthcare and innovation. Leveraging our past experience, we understand how to effectively utilize innovative medical technology to enhance the efficiency of healthcare services in Hong Kong. Our goal is to use our expertise to provide quality and appropriate medical options for disadvantaged communities and improve their quality of life. The team is committed to introducing medical products that break from tradition, with clinical proof and international recognition (FDA, NMPA, CE). We collaborate with various sectors, including government agencies and community service organizations, to promote gerontechnology and mental health technology. By using high-tech products, we aim to reduce healthcare costs for the public and effectively benefit those in need. Additionally, we engage in health education initiatives, working with professional healthcare personnel to promote the importance of early detection. This helps deepen community understanding of early disease prevention, planting the seeds of preventive healthcare and fostering their growth.","Laboratory, Gene Test, Virtual Reality-based Rehabilitation System, Rapid Test, Mental Health Assessment Tool, VR and AR in Healthcare","Gernotechnology,Quality and afforable health tech,健康研點",,,,,,,,,,,
Supermax Global (HK) Limited,Hong Kong    |    Factory in Malaysia,,"Manufacturer, Distributor, Wholesaler",Latex & Nitrile Examination and Surgical Gloves,Others,www.supermax.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2022 HKTDC Hong Kong International Medical and Healthcare Fair 2019 HKTDC Hong Kong International Medical Devices and Supplies Fair 2017,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Supermax-Global-HK-Limited/1X0A07D2,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YZHM,SUPERMAX is a World-class manufacturer of medical Latex & Nitrile Examination and Surgical Gloves. We are exporting to 163 countries around the world.,Medical Gloves,"Transform,Robust,Vibrant",,,,,,,,,,,
